gene,Astrocyte__Sham,Astrocyte__Stroke,Endothelial__Sham,Endothelial__Stroke,Macrophage__Sham,Macrophage__Stroke,Microglia__Sham,Microglia__Stroke,NK_cell__Sham,NK_cell__Stroke,Neuron__Sham,Neuron__Stroke,OPC__Sham,OPC__Stroke,Oligodendrocyte__Sham,Oligodendrocyte__Stroke,Pericyte__Sham,Pericyte__Stroke,T_cell__Sham,T_cell__Stroke
H2-T23,0.5672883,0.43767408,1.5229598,1.1036086,1.5253575,0.96299356,0.98765075,0.68530315,0.29125535,0.2729612,0.19664636,0.2037706,0.5219556,0.4035136,0.11135879,0.16915241,0.46095178,0.24203426,1.4332882,1.3346177
Srgn,0.24433373,0.32011962,1.6179345,1.6052896,1.9594815,2.3849187,0.8641683,1.2823803,0.060089704,0.13076274,0.1319646,0.25814062,0.18476662,0.29477856,0.09919663,0.21669298,0.40205494,0.25560775,2.269537,2.4058158
Gbp2,0.2156969,0.21905254,0.5246229,0.38184628,0.17432535,0.17700347,0.081751466,0.07386858,0.010085115,0.025570726,0.025692238,0.046518054,0.06872598,0.08387282,0.024911383,0.063203976,0.15399104,0.11585728,0.046492327,0.17787607
Cd14,0.01815403,0.043823842,0.02100709,0.094605625,1.2754894,1.315919,0.9377705,1.073462,0.001065786,0.019343214,0.0,0.049931094,0.014719994,0.03422475,0.0019614086,0.041244134,0.026811823,0.028633857,0.0,0.10290384
Irf4,0.0,0.0,0.0014569324,0.0006393322,0.05479536,0.035789605,0.010695659,0.006375753,0.0,0.0,0.0011497058,0.000515118,0.0,0.0,0.0,8.962773e-05,0.0,0.00020061311,0.06579729,0.08318232
Gpnmb,0.0,0.013612719,0.00013019308,0.0012536893,0.0,0.23004584,0.0,0.051135216,0.009222292,0.021402178,0.0008058038,0.0062535745,0.009469904,0.107486695,0.00025660312,0.0026306189,0.0,0.0015225646,0.0,0.0056322543
Tnf,0.0,0.015429087,0.0066857124,0.01369634,0.13290334,0.31045014,0.49992415,0.81992435,0.0022466597,0.01197913,0.00072667276,0.011421987,0.0,0.027205251,0.0009010706,0.0064053754,0.0038967736,0.0063740695,0.31975698,0.4229057
Cdkn1a,0.4701897,0.46785927,0.9222873,0.8322712,0.6131137,0.80831164,0.5378581,0.69856155,0.29417863,0.19538854,0.32663384,0.2790803,0.2057522,0.20710368,0.10477716,0.5363,0.82022715,0.63553095,0.21041398,0.42910486
Trp53,0.14955033,0.1701098,0.23812957,0.20525034,0.19193095,0.19032885,0.24446075,0.17909242,0.07782021,0.087080605,0.19316171,0.24337189,0.30234802,0.23395626,0.10629757,0.11571777,0.19802411,0.19154954,0.4166237,0.38846448
Gfap,0.2550953,0.7085513,0.006781983,0.027190147,0.0072566844,0.031475056,0.0,0.059449036,0.0032915804,0.013389175,0.012383306,0.040033028,0.019894714,0.05768289,0.024641534,0.0781675,0.0035657191,0.0234916,0.0,0.025876785
Parg,0.16529208,0.14280137,0.18323055,0.13090517,0.18737115,0.09091943,0.11018443,0.08063694,0.1467702,0.12019006,0.22541675,0.19239034,0.15589075,0.16423534,0.17117807,0.15377957,0.14015476,0.13764364,0.16199434,0.15657237
Osmr,0.02880233,0.11251802,0.31059623,0.52432394,0.04934696,0.0483769,0.038835183,0.06457944,0.009220346,0.040367905,0.029434064,0.0764556,0.03757567,0.17431866,0.021777272,0.06671118,0.26362288,0.3851136,0.014565865,0.088986926
Ccl5,0.0057407576,0.009519667,0.0054027913,0.007614055,0.08639763,0.08027878,0.057259556,0.05461102,0.006380798,0.011180396,0.0,0.0007788852,0.008490333,0.024846056,0.0015125893,0.011666961,0.0029116138,0.0062996536,3.2321153,2.5532107
Vim,1.6515592,2.1521292,2.086361,1.9540659,1.0422618,1.4802793,0.3110162,0.6127268,0.4179202,0.57218295,0.46082804,0.701277,0.71931505,0.9550858,0.24961805,0.48803905,2.481692,2.3766758,1.8533121,1.4747325
Fcgr4,0.0,0.00053624227,0.00036482335,0.00040688625,0.2112581,0.35337356,0.025278155,0.23386689,0.0,0.0016439128,0.0,0.0014326461,0.0025366538,0.0,0.0,0.001218075,0.0002924001,0.000475594,0.0,0.0
Apoe,3.7823777,3.7751577,1.9543545,2.1987367,4.1161547,3.4682975,1.2542375,2.925042,3.2551334,3.8282907,0.6266387,0.8316852,3.4473279,3.3054116,2.4354196,2.816711,0.95464313,0.974864,0.5556524,0.5729103
Cx3cr1,0.009786009,0.014073561,0.003548117,0.015596708,0.31277582,0.3372969,2.2145765,1.9368113,0.0052677128,0.020622887,0.0,0.017986953,0.014245342,0.032806244,0.0041913767,0.019220654,0.0060149813,0.013942114,0.09811956,0.051292315
Klf4,0.51098716,0.481932,1.5066792,1.2037635,0.64728475,0.5532217,0.6778092,0.44945502,0.12220244,0.1602619,0.19138083,0.15072685,0.4754062,0.38855064,0.24609227,0.3136889,0.93563914,0.76382893,0.26088348,0.31246507
Siglech,0.0025093567,0.004785169,0.0024690272,0.00458299,0.13243565,0.06089944,1.4039618,0.9352463,0.0025138408,0.007275058,0.006345999,0.006657128,0.0037899232,0.0017256484,0.0016833636,0.00497085,0.0,0.004113982,0.0,0.0
Hk2,0.053544253,0.0313112,0.0033135992,0.0019469188,0.28277242,0.18994452,0.777615,0.4887051,0.0061920388,0.0073448634,0.013054503,0.012092726,0.113427624,0.06299127,0.018675296,0.0209435,0.018675689,0.014221406,0.22627042,0.09448046
Tmem119,0.07924792,0.12879181,0.0035128053,0.006089437,0.026760787,0.06532346,1.8674662,1.217366,0.0019028124,0.008624,0.0036163777,0.010062073,0.09757744,0.14687759,0.0026496875,0.0094060665,0.009641768,0.009550968,0.0,0.0
Cst7,0.0,0.001279005,0.0,0.0017449568,0.0017796322,0.013952392,0.02258245,0.27883303,0.0,0.0032591028,0.0,0.0005859208,0.0,0.0034547623,0.0,0.0017348323,0.0,0.0018644743,0.12036564,0.26177922
Il23a,0.0032790168,0.0030455943,0.0046042996,0.0019138915,0.0,0.016115602,0.01098657,0.0061986316,0.004157006,0.003315657,0.0039832136,0.0021531035,0.0,0.0073996675,0.0046984106,0.0046057547,0.0030051905,0.0015487522,0.0,0.0
Thbs4,0.017557487,0.014073851,0.00013665571,0.00022093818,0.0,0.0018232206,0.0,0.0,0.0032600542,0.0010788433,0.002082297,0.0010413962,0.0,0.0,0.0008538337,0.0005817906,0.0,0.00042834246,0.0,0.0
Il1b,0.0,0.012957908,0.0007040277,0.0050925706,0.51879126,1.4247035,0.18676397,0.4788031,0.00034745358,0.007833966,0.0,0.008828273,0.0,0.013930769,0.0013427766,0.014411978,0.00065539265,0.0062554805,0.0,0.0
Cxcl10,0.020149654,0.03508752,0.03824279,0.018697953,0.0916511,0.09508365,0.1989888,0.38307098,0.0024895219,0.013907294,0.002733448,0.022238478,0.04150308,0.025334079,0.0025915059,0.005966744,0.017567286,0.009733729,0.060396787,0.16340946
Ptx3,0.009571209,0.014138064,0.0001791193,0.0,0.0,0.0,0.0,0.00095211243,0.006571052,0.0011879221,0.002969593,0.007464097,0.0,0.0047348905,0.0,0.00040262373,0.0018597589,0.0038525178,0.0,0.0
Stat3,0.24712782,0.35002187,0.34704894,0.4153981,0.28483674,0.4739147,0.2965585,0.3145302,0.10878678,0.13778792,0.14412844,0.1777303,0.2628872,0.32894924,0.18953232,0.2602402,0.39633062,0.4004987,0.35347593,0.387516
Cd86,0.0,0.001982097,0.0,0.0012660287,0.5119573,0.32977983,0.60457283,0.49499428,0.00034391135,0.002600972,0.0,0.004230371,0.004208601,0.0015382636,0.00095308566,0.0018079247,0.0,0.0017463674,0.07921621,0.06367663
Usp18,0.11123157,0.04810354,0.5593629,0.17582795,0.31581,0.06826941,0.18958884,0.052695863,0.1329994,0.051294256,0.094158724,0.02219974,0.3137527,0.07032589,0.033615313,0.022502875,0.17365389,0.040029656,0.19430894,0.10762957
Ctsl,1.08616,1.2018919,0.86057127,0.764018,0.9490408,1.1527237,1.9054717,2.7159843,1.5150746,1.5948495,0.47607607,0.6017161,1.6901399,1.6006801,0.8793713,0.9496858,0.8856808,0.7941331,0.14143898,0.1608262
Arg1,0.0,0.000816268,0.0,0.0002172542,0.0,0.17515488,0.0,0.012385901,0.0,0.0,0.0040169726,0.0029987309,0.004628133,0.002473497,0.0,0.0005616794,0.0,0.00038235806,0.09667536,0.01645912
