gene,Astrocyte__Sham,Astrocyte__Stroke,Endothelial__Sham,Endothelial__Stroke,Macrophage__Sham,Macrophage__Stroke,Microglia__Sham,Microglia__Stroke,NK_cell__Sham,NK_cell__Stroke,Neuron__Sham,Neuron__Stroke,OPC__Sham,OPC__Stroke,Oligodendrocyte__Sham,Oligodendrocyte__Stroke,Pericyte__Sham,Pericyte__Stroke,T_cell__Sham,T_cell__Stroke
Pros1,0.16649717,0.3591955,0.34570915,0.38548937,0.1703804,0.15168583,0.41591242,0.48545548,0.011731864,0.039832097,0.02851274,0.0798833,0.1545514,0.39735055,0.025419336,0.06984282,0.2103329,0.2791567,0.03940898,0.040646765
Ccl3,0.0,0.020331882,0.0021950274,0.012102829,0.5804099,0.6725047,0.8956252,1.4165503,0.0024547759,0.022760224,0.0076881815,0.019190408,0.018457584,0.015420263,0.00096713763,0.01954408,0.011571676,0.025803884,0.62537587,0.40242773
Socs3,0.31830883,0.39823648,0.33885613,0.3997599,0.45473063,0.49877056,1.1912538,0.94639355,0.123454295,0.11149113,0.14044073,0.15812504,0.8878058,0.58448476,0.15369244,0.31043392,1.0587858,0.85910803,0.29264584,0.47851193
H2-Ab1,0.1038054,0.07953499,0.007233963,0.017721195,0.7459529,0.8897085,0.10665032,0.0524237,0.0009530597,0.0052225445,0.0012589984,0.0026252978,0.014273457,0.0039317994,0.0038356672,0.012791794,0.0066878092,0.010986158,0.0,0.01777876
Mertk,0.1987979,0.2444115,0.17622204,0.16980828,0.21601583,0.19985655,0.758653,0.5370185,0.034674175,0.047526833,0.011136024,0.020335507,0.11965914,0.134659,0.016640835,0.032066293,0.30200025,0.32836005,0.015430082,0.023242792
Lgals3,0.3344002,0.5492319,0.008921744,0.016042482,0.72196597,1.4094787,0.016798422,0.41181555,0.3933077,0.33504915,0.004366337,0.032186303,0.010931654,0.03948738,0.0064377934,0.03715352,0.07676939,0.12601294,0.23718439,0.39894265
Saa3,0.0,0.0047552967,0.0008230101,0.0023604815,0.0,0.2658893,0.0,0.06422816,0.00023441711,0.0009930733,0.0039044344,0.0024776526,0.0,0.013279614,0.0007088154,0.010572811,0.0027469029,0.003110972,0.0,0.0
Thbs1,0.11939683,0.18043447,0.004998408,0.008968324,0.14661327,0.45172033,0.022244059,0.041547082,0.08268271,0.102013424,0.008920471,0.0118919965,0.081467256,0.12743105,0.0032136878,0.030986683,0.13710295,0.16156037,0.0,0.0034876738
Myd88,0.049854692,0.076393224,0.08538889,0.06927822,0.22715703,0.200845,0.14437674,0.15633385,0.03273903,0.02921718,0.01598054,0.036776207,0.042818133,0.049844544,0.02140786,0.02886445,0.2626467,0.18046974,0.11331281,0.08772335
Tnfrsf1a,0.33134812,0.31999472,0.34865406,0.36554286,0.6076898,0.5752491,0.33483604,0.36299396,0.21461585,0.21445554,0.044395495,0.09351721,0.49248573,0.52096766,0.026252711,0.084123954,0.41938344,0.41588846,0.120704986,0.20408627
