"cell_type","condition","n_cells","mean_apoptosis","sd_apoptosis","mean_necroptosis","sd_necroptosis","mean_ferroptosis","sd_ferroptosis","dataset","n_apop_genes","n_necro_genes","n_ferro_genes"
"Astrocyte","MCAO",3567,0.0301201250239124,0.0516807602355647,0.0272003918302191,0.0738331539234254,0.0808405360281044,0.0798189806722414,"GSE244576",159,55,62
"Astrocyte","Sham",1471,0.0129677306129683,0.0357101310964549,0.0471999794651788,0.0735486295146256,0.0658584277607311,0.0707251741841515,"GSE244576",159,55,62
"Endothelial","MCAO",6084,0.0523223492962722,0.0477582308316739,0.0996346710335132,0.0877029306725768,0.0989999273840965,0.0892403383793142,"GSE244576",159,55,62
"Endothelial","Sham",216,0.0720494375849908,0.0575029194323253,0.0954576170983306,0.0896148173777925,0.0534748387313045,0.0832932713524909,"GSE244576",159,55,62
"Fibroblast","MCAO",1570,0.0386676004780455,0.0475521743376124,0.0421802066103504,0.074432607923696,0.0677811362762055,0.0773733448944849,"GSE244576",159,55,62
"Fibroblast","Sham",253,0.0364048237548013,0.0437070852066111,0.0753799853938688,0.0817698092951039,0.0564949571498896,0.0791767102383663,"GSE244576",159,55,62
"Microglia","MCAO",5340,0.0246511901264762,0.0473433084294606,0.0812555453152403,0.0852974773415125,0.042178906285923,0.0808402104371149,"GSE244576",159,55,62
"Microglia","Sham",373,0.0249310799586116,0.0406157560847815,0.11436654153674,0.0877571807434812,0.020869204684743,0.0710045969609851,"GSE244576",159,55,62
"Neuron","MCAO",22508,-0.0194833971176015,0.0432730743505081,-0.0104578148349822,0.0798232302711989,-0.0208959841912874,0.0977943619909143,"GSE244576",159,55,62
"Neuron","Sham",7900,-0.016973608805354,0.0303448527212993,-0.0232419339917409,0.0629078975415421,-0.0379722738519458,0.0521117169173925,"GSE244576",159,55,62
"OPC","MCAO",1659,-0.0105950884177372,0.0358965864189793,-7.02387056900558e-05,0.0669770009395712,-0.0283586810244836,0.0657421111747304,"GSE244576",159,55,62
"OPC","Sham",451,-0.00699480647166273,0.0330955089733173,0.0114441598010565,0.0661915335426553,-0.0317426134565301,0.0566163330685344,"GSE244576",159,55,62
"Oligodendrocyte","MCAO",7937,0.0211510871768586,0.0468066366230735,0.0291192862614429,0.0778511454352227,0.0472181718984026,0.0798582197791369,"GSE244576",159,55,62
"Oligodendrocyte","Sham",2451,0.0183983881634307,0.034761708413009,0.0428764669493218,0.0719566132347152,0.0166784266750977,0.0617013261527821,"GSE244576",159,55,62
"Pericyte","MCAO",1058,0.0463848182495587,0.0546550823123116,0.0530671434636764,0.0876343910101935,0.026588189122725,0.0775597152136958,"GSE244576",159,55,62
"Pericyte","Sham",250,0.0630699946524645,0.0647466122152524,0.0889704256633922,0.100171631583774,0.0611668156148253,0.0784974275401134,"GSE244576",159,55,62
