"cell_type","condition","n_cells","mean_apoptosis","sd_apoptosis","mean_necroptosis","sd_necroptosis","mean_ferroptosis","sd_ferroptosis","dataset","n_apop_genes","n_necro_genes","n_ferro_genes"
"Astrocyte","Control",84,0.037438530642456,0.0543413813434491,0.0863348584514258,0.100735195418412,0.137531172944207,0.0820530147885456,"GSE276202",155,54,61
"Astrocyte","Peri_infarct",1137,0.0170222296233231,0.0444593219626071,0.0520105993484908,0.0811676302722521,0.0964994276787807,0.0868146068122818,"GSE276202",155,54,61
"Astrocyte","Stroke_core",1733,0.00590504100584923,0.0448574035809758,0.00234282719082347,0.0711540135526939,0.0517608416640084,0.0836095811656869,"GSE276202",155,54,61
"Endothelial","Control",11,0.133054435592156,0.0411508018788994,0.13192264270418,0.0852677639476788,0.111147643349899,0.114905769771007,"GSE276202",155,54,61
"Endothelial","Peri_infarct",138,0.093593008348137,0.0601255664833178,0.0932925230747614,0.10375713068914,0.0896062979428922,0.0997190558066742,"GSE276202",155,54,61
"Endothelial","Stroke_core",502,0.0500523484806255,0.0455968736643377,0.055221168633726,0.0853416984226543,-0.00945037345297309,0.0777493316833866,"GSE276202",155,54,61
"Fibroblast","Control",18,0.0577301585929187,0.0551850345311818,0.107607698815251,0.112053311486448,0.0536403247962104,0.0748258957173026,"GSE276202",155,54,61
"Fibroblast","Peri_infarct",201,0.0398506787568613,0.0534604250496523,0.0701929574650238,0.0876560580420848,0.0745211451992958,0.0825634081440463,"GSE276202",155,54,61
"Fibroblast","Stroke_core",4866,0.0263180793172639,0.0506049141079887,0.0341175916504773,0.0816144690859388,0.0216804626892102,0.0815903011360983,"GSE276202",155,54,61
"Microglia","Control",35,0.0157127360152361,0.0344826756061667,0.0666687211798565,0.0916428027426082,0.0158809862895708,0.0922474526858429,"GSE276202",155,54,61
"Microglia","Peri_infarct",203,0.0138367308168534,0.0397102418789706,0.0659017146376092,0.0921092415676039,0.016950074778493,0.0731288250028906,"GSE276202",155,54,61
"Microglia","Stroke_core",726,0.0239527093540438,0.0515512837755102,0.06807755849796,0.0904365393746154,0.014133593731461,0.085463652811633,"GSE276202",155,54,61
"Neuron","Control",3844,-0.0132761016426865,0.0378821618001422,-0.000801024107549897,0.0721867820058508,-0.0147177698750796,0.0626100072700791,"GSE276202",155,54,61
"Neuron","Peri_infarct",6606,-0.0178732402822684,0.0347230790070398,-0.0169057456364385,0.0650792354587486,-0.0307903210813481,0.0608250897157333,"GSE276202",155,54,61
"Neuron","Stroke_core",1919,-0.0541596290392088,0.0323818787196337,-0.0725438250121657,0.0525931896097151,-0.101928231272543,0.0573446611074032,"GSE276202",155,54,61
"OPC","Control",32,-0.0110795926344168,0.0437294304541369,0.0221334677270175,0.0853097160994517,-0.0246351900186518,0.0554034004978981,"GSE276202",155,54,61
"OPC","Peri_infarct",245,-0.00515917648436862,0.0374182985785639,0.0171983727082083,0.0760817162027223,-0.0256154451019314,0.0634507734613145,"GSE276202",155,54,61
"OPC","Stroke_core",94,-0.0325036465220837,0.0397079275696575,-0.0171784781732016,0.070872700572921,-0.0756103370424763,0.0767623187169258,"GSE276202",155,54,61
"Oligodendrocyte","Control",3,0.0614799235045933,0.0525500402464783,0.0677129381483816,0.103878574074828,0.0600210173569985,0.0835521321487158,"GSE276202",155,54,61
"Oligodendrocyte","Peri_infarct",633,0.0228688829382694,0.0389084070163804,0.0373070985499376,0.0802495730539127,0.0389393402493149,0.0678832694781091,"GSE276202",155,54,61
"Oligodendrocyte","Stroke_core",996,-0.00311964228053525,0.0370649462447803,0.00617673091392297,0.0698950954279539,-0.0246626002653554,0.0665458671489533,"GSE276202",155,54,61
"Pericyte","Peri_infarct",23,0.0212610540716481,0.0456951115619982,0.0461642665805526,0.0763396878428804,0.024408100976877,0.0558053815754998,"GSE276202",155,54,61
"Pericyte","Stroke_core",96,0.00823462344437832,0.0415410119545832,0.00162613784358582,0.0684715349949521,-0.0133138513887107,0.0724185771579086,"GSE276202",155,54,61
