"cell_type","condition","n_cells","mean_apoptosis","sd_apoptosis","mean_necroptosis","sd_necroptosis","mean_ferroptosis","sd_ferroptosis","dataset","n_apop_genes","n_necro_genes","n_ferro_genes"
"Astrocyte","Sham",284,0.0423163307257612,0.0572983030050778,0.0825849514477925,0.0758689992179157,0.1520643585378,0.0933876172973817,"GSE227651",160,55,60
"Astrocyte","Stroke",1464,0.0727653824618179,0.0626695267654806,0.0885368682433242,0.0744743131707081,0.165512659786609,0.0851123464068973,"GSE227651",160,55,60
"Endothelial","Sham",6792,0.106379014966018,0.075651887983656,0.116116198949864,0.0951390923836661,0.106249733357837,0.0857329310660272,"GSE227651",160,55,60
"Endothelial","Stroke",25747,0.110329614269535,0.0769321145196527,0.108461615899994,0.096959981769143,0.117348399782571,0.0879178515540953,"GSE227651",160,55,60
"Fibroblast","Sham",160,0.136523485433407,0.078034616889213,0.115778303401909,0.0720787860354283,0.141086305706156,0.0933858237996612,"GSE227651",160,55,60
"Fibroblast","Stroke",833,0.14531384945213,0.072350223276264,0.12831804720114,0.0758186888704002,0.168835715761795,0.097440005112604,"GSE227651",160,55,60
"Macrophage","Sham",77,0.180420798136989,0.076078710578163,0.222731677186762,0.101630883958525,0.180988139476397,0.065972025696679,"GSE227651",160,55,60
"Macrophage","Stroke",463,0.180890837920356,0.0679370442410524,0.234656763525601,0.0862310043143815,0.196680772224788,0.0901761437807454,"GSE227651",160,55,60
"Microglia","Sham",222,0.0953391638516553,0.0956648604125043,0.151162472305873,0.104199761359573,0.0973883634119391,0.0779796323956982,"GSE227651",160,55,60
"Microglia","Stroke",2209,0.097484488931803,0.0883680757247321,0.157377713469601,0.108710608918127,0.123298200693427,0.0838440184550628,"GSE227651",160,55,60
"Neuron","Sham",365,-0.00799633484983361,0.0492848667338365,0.0760219512070164,0.0938517789456797,0.0600917306427043,0.0728478321164899,"GSE227651",160,55,60
"Neuron","Stroke",1802,-0.00479177609225031,0.0534027551741946,0.0843542979481263,0.0834501605861309,0.0611535461576478,0.0736725230904479,"GSE227651",160,55,60
"OPC","Sham",148,-0.00938330170584635,0.0541423056132933,0.0888264413626093,0.0774957250752701,0.0468299697502461,0.065074121805428,"GSE227651",160,55,60
"OPC","Stroke",455,-0.00637661625685525,0.0574340196845144,0.0878141030613267,0.0873644938778376,0.0407055422727746,0.0873488347872492,"GSE227651",160,55,60
"Oligodendrocyte","Sham",1746,0.0308620096718645,0.0372140179988746,0.129035144708746,0.0607525342919325,0.201009720086991,0.0668550794145077,"GSE227651",160,55,60
"Oligodendrocyte","Stroke",7112,0.0500130919490862,0.0503845186195417,0.116754078035001,0.0650493707418495,0.202176932847666,0.0749432942304301,"GSE227651",160,55,60
"Pericyte","Sham",532,0.0714692768209901,0.057782874274256,0.0660100474757144,0.0899672144565213,0.0724323907512094,0.0888747814443862,"GSE227651",160,55,60
"Pericyte","Stroke",2702,0.0683018729531203,0.0589117896428311,0.0640837799087921,0.088871581347362,0.0947223113412541,0.0886679900257852,"GSE227651",160,55,60
"SMC","Sham",968,0.096621333051265,0.0545209600139439,0.121707353640073,0.0636501739298044,0.078173436926203,0.0593545227283248,"GSE227651",160,55,60
"SMC","Stroke",4004,0.119047366176408,0.0616958493233464,0.116309125611187,0.0702852110125026,0.0905234573049816,0.0643615992513138,"GSE227651",160,55,60
