"gene_id","gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000180828.2","BHLHE22",145.79281204141,-2.92375724392806,0.451821533976215,-6.47104448120877,9.73277754683632e-11,2.73929024055708e-06
"ENSG00000198796.6","ALPK2",18.9623161352696,4.79071794706516,0.935299447097602,5.12212207751388,3.02116183658636e-07,0.00425152999453616
"ENSG00000164220.6","F2RL2",17.0792980302294,3.93417419493527,0.787067728897943,4.99852052179032,5.77718591664966e-07,0.00541996325413682
"ENSG00000163576.17","EFHB",25.155763888886,2.54212881781407,0.517106670694457,4.91606270404533,8.83021249706536e-07,0.00621315826824762
"ENSG00000130561.16","SAG",33.1491090614942,4.03445358371367,0.860973228198628,4.68592222333645,2.78702094927997e-06,0.0156881409234969
"ENSG00000148926.9","ADM",176.090094497621,3.61147758780616,0.784956117543371,4.60086558610281,4.20738875006778e-06,0.0197361593951096
"ENSG00000198400.11","NTRK1",18.1688207902292,4.20493706226015,0.931115224931058,4.51602223835562,6.30120500335904e-06,0.02533534497422
"ENSG00000172232.9","AZU1",16.6728549233201,3.93578257513758,0.878345211038375,4.48090628340163,7.43267454012411e-06,0.0261490781164741
"ENSG00000226051.6","ZNF503-AS1",11.0265173419865,3.64086891503863,0.86969093359821,4.18639401008253,2.83421187378999e-05,0.0439655705938513
"ENSG00000249962.1","RP11-80H5.5",24.8426424286686,-1.55778364693057,0.36933218317607,-4.21783889379587,2.46654943822343e-05,0.0439655705938513
"ENSG00000198774.4","RASSF9",22.7882756343309,2.72459563804525,0.645541827570616,4.22063377101184,2.43616440550719e-05,0.0439655705938513
"ENSG00000187621.14","TCL6",22.2473501213737,3.98320154614873,0.927180181973127,4.29603827130138,1.73877576853725e-05,0.0439655705938513
"ENSG00000166473.17","PKD1L2",99.6816468383406,2.19216805905915,0.529296482371164,4.14166375948426,3.44795561443748e-05,0.0439655705938513
"ENSG00000267452.1","LINC02073",9.90730179467418,2.48029172463632,0.595569670116872,4.16457024104266,3.11939583069834e-05,0.0439655705938513
"ENSG00000130159.13","ECSIT",238.469645824154,-0.921411929428521,0.223244065951442,-4.12737478822366,3.66928105756753e-05,0.0439655705938513
"ENSG00000167751.12","KLK2",18.7038573801646,4.05129346907583,0.983364790981714,4.11982766337539,3.79155882457874e-05,0.0439655705938513
"ENSG00000125538.11","IL1B",15.8519539321782,2.67856268147866,0.648558463073765,4.13002502316281,3.62723752189558e-05,0.0439655705938513
"ENSG00000183778.17","B3GALT5",99.0807583027641,1.59384099822479,0.387511725439612,4.11301360343783,3.90527363597898e-05,0.0439655705938513
"ENSG00000205632.3","LINC01310",40.3978258156364,1.59468053302452,0.380563462518689,4.19031433672173,2.78568273869059e-05,0.0439655705938513
"ENSG00000145287.10","PLAC8",15.0215992992795,3.08310823199769,0.748010564567473,4.12174423469601,3.76014538044271e-05,0.0439655705938513
