"gene","gene_upper","log2FC","pvalue","padj","dataset","cell_type","threshold_used"
"Rpl12","RPL12",1.7636359254264,1.85958763781486e-19,2.20603136212009e-17,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Capg","CAPG",1.76014432087839,1.43396107398488e-19,1.72473651398737e-17,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Gm43149","GM43149",1.75941544527514,0.000263513908874596,0.00185681891851424,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Pcdhb21","PCDHB21",1.75734498690407,7.64649964755918e-07,1.11012048529526e-05,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Mpp2","MPP2",1.75654135821853,4.09543388939567e-06,4.88182484269326e-05,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Cdc42ep4","CDC42EP4",1.75568650656099,6.39228718359895e-11,2.30175496922939e-09,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Ddit4","DDIT4",1.75423575910503,7.24616641562731e-09,1.65353889747912e-07,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Kdelr3","KDELR3",1.75130479581946,4.56758824831717e-05,0.000413758517054673,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Pcdhb18","PCDHB18",1.75105969940698,1.2002215375505e-06,1.63239427162731e-05,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Ipo4","IPO4",1.74927842087123,4.9988079918213e-17,4.58091822319285e-15,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Rhoc","RHOC",1.74405911575327,1.22815956729077e-14,7.73517225653678e-13,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Galns","GALNS",1.74362004712096,6.70657769234059e-09,1.54671006166896e-07,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Gm14120","GM14120",1.74271556795536,0.00117584002238379,0.00647443431381661,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Pim3","PIM3",1.74191331907516,2.69673181378126e-20,3.64901523552277e-18,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Sh3bp2","SH3BP2",1.73838190694735,0.00409323197155994,0.018041664512686,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Sat1","SAT1",1.73836167167108,3.39740579368979e-18,3.61000419304951e-16,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Pcdh10","PCDH10",1.73641753134951,0.00941297896986431,0.0353650316177982,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Mettl1","METTL1",1.73447790263625,1.74986721380009e-08,3.67477469194017e-07,"GSE223744","EC","padj<0.05 & log2FC>=1"
"9430064I24Rik","9430064I24RIK",1.73350379073337,0.000723951170179852,0.00433120354663732,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Rrp12","RRP12",1.73300976571122,2.6405584764954e-08,5.3179619549884e-07,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Gm26880","GM26880",1.73167670923332,0.00232890400995091,0.0113528335075569,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Kif23","KIF23",1.73150610309028,1.47413504452494e-09,3.88024604425106e-08,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Plpp3","PLPP3",1.73045819533129,0.00115589170229484,0.0063798738953941,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Pfkfb3","PFKFB3",1.72997783955059,4.59854450040474e-08,8.79103650629251e-07,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Pcdhgb6","PCDHGB6",1.72899872351052,5.35215429325116e-07,8.02591448996623e-06,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Gm5637","GM5637",1.72852180414526,0.0106113344163213,0.03896296631136,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Cpne5","CPNE5",1.72824002556483,0.010455667882108,0.0384647764906779,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Tpm3-rs7","TPM3-RS7",1.72628882826146,2.73647198385808e-06,3.40486312934066e-05,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Nqo1","NQO1",1.72549334453182,4.28481328653967e-05,0.000392246121156802,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Cd82","CD82",1.71743799208786,0.00147007243335849,0.00777930172495233,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Tmem120b","TMEM120B",1.71572675707051,2.26814518703756e-10,7.0655170214911e-09,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Ifrd1","IFRD1",1.71510877111066,1.23802324006039e-14,7.76904439052388e-13,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Itgb3","ITGB3",1.71373075002372,3.66019445800513e-05,0.000341381626347059,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Gm43412","GM43412",1.7123705638752,5.63715220097999e-05,0.000497886160739284,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Smpdl3b","SMPDL3B",1.71158171540247,2.32264759865833e-05,0.00022812476847646,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Piezo2","PIEZO2",1.70686881172384,0.0115270976155216,0.0416630489776363,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Gapdh","GAPDH",1.70458384340443,1.54524964091205e-10,4.99323204861878e-09,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Gm17315","GM17315",1.70444687045019,0.0129289976958705,0.0456627732651872,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Ccdc148","CCDC148",1.70212686512396,0.00974198562726487,0.0363331591438905,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Psat1","PSAT1",1.70039108366452,0.000196459196368698,0.00145103338213469,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Slc4a11","SLC4A11",1.6999767410132,0.00734174450969879,0.0289524168734023,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Nrarp","NRARP",1.69906734774002,2.67346824382562e-07,4.27557432899906e-06,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Plxnb2","PLXNB2",1.69796259039826,5.01965112542138e-09,1.18608946101362e-07,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Rph3al","RPH3AL",1.69250320335908,3.42057662970549e-12,1.48855244287686e-10,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Jak3","JAK3",1.68565263113644,1.65422491200029e-21,2.55814066748616e-19,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Ptgs2","PTGS2",1.68127241191214,0.00131477812409188,0.00709406763528702,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Dancr","DANCR",1.68119202922142,0.0108551156555167,0.0396746266538324,"GSE223744","EC","padj<0.05 & log2FC>=1"
"C230037L18Rik","C230037L18RIK",1.680258724778,0.00140954308434413,0.00749333524273795,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Gm38070","GM38070",1.674971742908,0.000957574209600225,0.00543598338586558,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Me1","ME1",1.67267292225759,1.25059728017866e-06,1.68957448460955e-05,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Acer2","ACER2",1.67236404127298,4.95078789776810e-10,1.43630898474612e-08,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Eva1c","EVA1C",1.6708525809866,3.69464279945679e-07,5.75460551138414e-06,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Arhgap8","ARHGAP8",1.67060794799647,3.02531068622152e-06,3.72676963622736e-05,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Eif1a","EIF1A",1.66958221190086,1.52493167131756e-17,1.48380991838315e-15,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Shroom2","SHROOM2",1.66923231462973,2.01777483143987e-19,2.37740544765568e-17,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Cmip","CMIP",1.66916440863968,2.00329817264483e-07,3.28571253316368e-06,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Plekha7","PLEKHA7",1.66767098290668,0.000131406392435042,0.00102752086545143,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Ctps","CTPS",1.66618818595528,9.86733049248879e-20,1.22072974378504e-17,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Tpm3","TPM3",1.666013795933,2.17684561956404e-13,1.14598681248782e-11,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Parp3","PARP3",1.6647532364367,1.68247937375715e-07,2.80467206481943e-06,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Ucp2","UCP2",1.66277656157673,1.17754363332465e-10,3.90709879869403e-09,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Gm5564","GM5564",1.66234499176878,0.00887805054112926,0.0337728608329362,"GSE223744","EC","padj<0.05 & log2FC>=1"
