"gene","gene_upper","log2FC","pvalue","padj","dataset","cell_type","threshold_used"
"Ccl2","CCL2",8.57236354131702,6.06800308779942e-10,1.6117223001504e-05,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Timp1","TIMP1",8.50956887797088,9.39170147215269e-11,2.49452982801847e-06,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Cxcl1","CXCL1",8.33282055338116,2.65699195019912e-09,7.0572363189239e-05,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Emp1","EMP1",8.17040478290039,3.95976963731549e-10,1.05175441336737e-05,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Hmox1","HMOX1",7.65222280899556,5.97744603063844e-07,0.0158766944019788,"GSE244576","EC","padj<0.05 & log2FC>=1"
"mt-Atp8","MT-ATP8",7.04370288603611,1.96942989654018e-64,5.23100274820038e-60,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Lcn2","LCN2",6.60087808922696,5.6577686525083e-26,1.50275993179273e-21,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Spp1","SPP1",6.26572998890733,1.52443285435222e-39,4.04904610444492e-35,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Prg4","PRG4",6.19623586404972,4.87650599966362e-10,1.29524875857065e-05,"GSE244576","EC","padj<0.05 & log2FC>=1"
"S100a6","S100A6",6.10749314983319,4.10381017485997e-46,1.09001302054456e-41,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Gfap","GFAP",5.9586258949783,1.69352596258633e-16,4.49817430922555e-12,"GSE244576","EC","padj<0.05 & log2FC>=1"
"mt-Nd5","MT-ND5",5.94704914482092,1.7053161954319e-74,4.52949034668667e-70,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Mt2","MT2",5.50899324068006,5.9284921051448e-105,1.57466678804751e-100,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Igfbp3","IGFBP3",5.113838779656,1.20760257816742e-30,3.20751320787048e-26,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Hba-a1","HBA-A1",4.82701150368496,3.29253646663306e-34,8.74530610902406e-30,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Serpina3n","SERPINA3N",4.81727579375176,3.27818668867316e-09,8.70719166378478e-05,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Lgals3","LGALS3",4.80718643116492,2.46292279735207e-08,0.000654176924204682,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Lrg1","LRG1",4.77379308293394,2.92572308447914e-11,7.77101308468506e-07,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Ctla2a","CTLA2A",4.64675837590946,2.28128643228356e-115,6.05932489278836e-111,"GSE244576","EC","padj<0.05 & log2FC>=1"
"mt-Nd4l","MT-ND4L",4.62324702654183,1.18790711577032e-45,3.15520009019756e-41,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Ednrb","EDNRB",4.5838143408995,1.88848190378352e-07,0.0050159967846394,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Pdlim1","PDLIM1",4.50998326669973,7.14915135604789e-07,0.0189888609167988,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Mt1","MT1",4.42053406813054,3.69905295706568e-115,9.82505455926216e-111,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Lgals1","LGALS1",4.33073882787814,3.12884203045985e-10,8.31051731710441e-06,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Lars2","LARS2",4.14079299306361,2.66279297635173e-81,7.07264442448784e-77,"GSE244576","EC","padj<0.05 & log2FC>=1"
"S100a11","S100A11",4.1132667281827,1.89991377963103e-20,5.04636099007799e-16,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Fos","FOS",4.08575483455392,1.00010322673582e-06,0.0265637418053302,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Socs3","SOCS3",4.05032460880826,5.62561547026044e-07,0.0149421972505588,"GSE244576","EC","padj<0.05 & log2FC>=1"
"mt-Nd2","MT-ND2",4.0374570840752,2.06954337984413e-80,5.496914171204e-76,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Gm42418","GM42418",3.91116055777587,2.75015463480848e-88,7.30468572551481e-84,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Sdc4","SDC4",3.82645018494585,7.43280429498557e-10,1.97422714879112e-05,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Cebpb","CEBPB",3.82405454741554,2.73112918491147e-08,0.000725415222804334,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Gm19951","GM19951",3.74238332539686,1.60366448974279e-50,4.25949325120582e-46,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Camk1d","CAMK1D",3.6714484045011,9.51960602988043e-89,2.52850255759654e-84,"GSE244576","EC","padj<0.05 & log2FC>=1"
"mt-Nd1","MT-ND1",3.6521888731168,4.85060132228346e-65,1.28836821721171e-60,"GSE244576","EC","padj<0.05 & log2FC>=1"
"mt-Nd6","MT-ND6",3.64697605364096,2.46717439423379e-07,0.00655306190852437,"GSE244576","EC","padj<0.05 & log2FC>=1"
"mt-Nd3","MT-ND3",3.61438988626211,4.74252371464736e-30,1.25966172384749e-25,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Hbb-bs","HBB-BS",3.59719891395161,1.54311062357042e-50,4.0986561272654e-46,"GSE244576","EC","padj<0.05 & log2FC>=1"
"S100a10","S100A10",3.57254985170999,3.6927318381088e-10,9.80826503520077e-06,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Cmss1","CMSS1",3.52422200713166,3.62411701301014e-85,9.62601719825624e-81,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Odc1","ODC1",3.51765003193561,4.52957346291144e-12,1.20310000748391e-07,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Ccn2","CCN2",3.41391899625327,3.39952830628726e-13,9.02948713432959e-09,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Cdk8","CDK8",3.41066376431934,1.61296074817052e-74,4.28418504321571e-70,"GSE244576","EC","padj<0.05 & log2FC>=1"
"mt-Nd4","MT-ND4",3.36826302743508,1.48039943920327e-64,3.9320889504678e-60,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Esd","ESD",3.35959384349837,5.4036061647796e-19,1.43525183342711e-14,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Hba-a2","HBA-A2",3.34424292554056,5.46229219694916e-22,1.45083943043167e-17,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Fth1","FTH1",3.31939405380787,9.01915680623761e-88,2.39557823930477e-83,"GSE244576","EC","padj<0.05 & log2FC>=1"
"mt-Co1","MT-CO1",3.31421559454541,9.1354118385229e-74,2.42645673843007e-69,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Adamts1","ADAMTS1",3.30305188065527,4.16700698100752e-19,1.10679872422541e-14,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Igfbp4","IGFBP4",3.29619960089834,4.76358222297761e-08,0.00126525507424508,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Ctsd","CTSD",3.21779477275789,6.7230264992569e-13,1.78570306846763e-08,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Sec61g","SEC61G",3.18647083922868,6.77663069654349e-16,1.79994087930892e-11,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Cd63","CD63",3.04897044887179,3.41243980830322e-17,9.06378137483419e-13,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Hbb-bt","HBB-BT",3.01201842939807,1.93253549570027e-09,5.1330075301295e-05,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Uba52","UBA52",2.97261631089397,1.79498577209094e-27,4.76766170925073e-23,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Bola2","BOLA2",2.92493317975804,1.70940161676474e-06,0.0454034163428881,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Apod","APOD",2.89087474203638,1.21269774202848e-44,3.22104647260183e-40,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Mgp","MGP",2.80946455506965,1.82725203720269e-30,4.85336413601407e-26,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rbm3","RBM3",2.79642501872029,2.30795252355897e-19,6.13015269782499e-15,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Tmem252","TMEM252",2.72931084390797,1.18333296173193e-27,3.14305067965618e-23,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rplp0","RPLP0",2.7178220364995,1.16862938162774e-27,3.10399650054144e-23,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Adamts9","ADAMTS9",2.67642359639849,2.40135997476178e-07,0.00637825222896476,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Ifitm2","IFITM2",2.61682809422729,1.04999438139145e-14,2.78889007641384e-10,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Vim","VIM",2.6161576189881,2.16171505856222e-43,5.74173136704711e-39,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Gphn","GPHN",2.59426558913865,1.78742864481521e-80,4.74758922349368e-76,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl12","RPL12",2.59143510907649,2.09733531633908e-25,5.57073233372824e-21,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Gm10076","GM10076",2.58782664534676,1.58228052617852e-20,4.20269530558276e-16,"GSE244576","EC","padj<0.05 & log2FC>=1"
"mt-Atp6","MT-ATP6",2.58730332758647,1.47139131129947e-57,3.90816246194252e-53,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rps28","RPS28",2.54780358444674,1.9380539726664e-33,5.14766515679923e-29,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rps18","RPS18",2.54166259011379,2.47927113583217e-33,6.58519206388384e-29,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Ppp1r14b","PPP1R14B",2.49458337366694,1.11535751408335e-06,0.0296250109315679,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rps2","RPS2",2.47710593567936,6.20282333688199e-38,1.64753190650922e-33,"GSE244576","EC","padj<0.05 & log2FC>=1"
"mt-Co2","MT-CO2",2.46696698187996,1.57848656017679e-56,4.19261815248557e-52,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rps12","RPS12",2.4444099145615,9.19381128283143e-32,2.44196821483285e-27,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Cstb","CSTB",2.42210434447754,1.80108666633304e-06,0.0478386629444719,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl39","RPL39",2.41783330189207,2.700137155384e-31,7.17183429841543e-27,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Ran","RAN",2.35843459262481,2.55527523139182e-07,0.0067870665420998,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Ecscr","ECSCR",2.35310089884873,1.37903169573384e-06,0.0366284608703866,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl32","RPL32",2.30457275262865,3.58335187966782e-34,9.5177409275857e-30,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rps27a","RPS27A",2.2309448060404,6.30698034678587e-34,1.6751970499098e-29,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Ftl1","FTL1",2.22808376488407,9.65988520779634e-26,2.56576211004279e-21,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl35","RPL35",2.21177599253725,6.7579789232012e-20,1.79498678179147e-15,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl38","RPL38",2.18420427632419,1.0154510362263e-44,2.69713949732067e-40,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Ctsb","CTSB",2.18304550122115,4.51670166920829e-10,1.19968113035842e-05,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Fkbp1a","FKBP1A",2.17863211100128,2.892630594784e-17,7.68311612280578e-13,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Cryab","CRYAB",2.17270848143964,2.5546866107471e-13,6.78550310680537e-09,"GSE244576","EC","padj<0.05 & log2FC>=1"
"AY036118","AY036118",2.15777656811045,3.72015971449487e-58,9.88111621766983e-54,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl27","RPL27",2.14863873527017,3.0956438436704e-21,8.22233961317294e-17,"GSE244576","EC","padj<0.05 & log2FC>=1"
"mt-Co3","MT-CO3",2.10880914440507,7.40034064610379e-51,1.96560447901163e-46,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl36","RPL36",2.10629734786224,1.32525610697021e-27,3.52001274572357e-23,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rps27l","RPS27L",2.10458283218023,2.68962551422747e-08,0.00071439143283396,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl36a","RPL36A",2.09105260119797,1.15902333391936e-13,3.07848187722321e-09,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Ucp2","UCP2",2.0474530335717,1.02950160015297e-07,0.00273445920016629,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rps25","RPS25",2.03486232764542,1.5405409612991e-24,4.09183084730655e-20,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Ctsl","CTSL",2.02081713581347,3.12526904124111e-12,8.30102710044051e-08,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rps6","RPS6",2.01537863792201,6.30178798380669e-18,1.6738179063789e-13,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl41","RPL41",2.01300227081207,6.21500821036698e-40,1.65076833075557e-35,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rps29","RPS29",2.01184903641263,3.98220420792322e-42,1.05771325966649e-37,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Prdx6","PRDX6",2.00326972465719,3.01545716348524e-07,0.00800935577193314,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl23a","RPL23A",2.00123629920762,2.21581520088234e-11,5.88542675506357e-07,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpsa","RPSA",1.99895535234133,1.03706103579135e-25,2.75453781716539e-21,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rps19","RPS19",1.98417879399565,5.30152261835604e-27,1.40813742266155e-22,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rps15a","RPS15A",1.98361759814737,1.09342607160847e-21,2.90424898879925e-17,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Cd200","CD200",1.98294079640897,7.47558500158563e-14,1.98559013227116e-09,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl9","RPL9",1.98232925553703,7.18750854053845e-27,1.90907414345242e-22,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl13a","RPL13A",1.96415439193088,4.58870817988825e-24,1.21880677966012e-19,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl22","RPL22",1.95799039706845,2.41673881767467e-11,6.41909997362569e-07,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl34","RPL34",1.94178899092276,7.00308440876301e-24,1.86008924981154e-19,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rps14","RPS14",1.93610015317517,3.97004903521608e-27,1.05448472424374e-22,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rps24","RPS24",1.92358576255393,2.93207610489597e-29,7.78788734221418e-25,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Sgk1","SGK1",1.90995545414489,1.21439216301021e-09,3.22554702417141e-05,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Prdx5","PRDX5",1.8921334802068,2.89508033620625e-07,0.00768962288099743,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl31","RPL31",1.88809279741565,9.82316372925793e-12,2.6091305181282e-07,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Nme2","NME2",1.88387527734218,1.6554884707617e-12,4.39714292719014e-08,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl14","RPL14",1.84735587829224,1.14407360592415e-16,3.03877390469513e-12,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl29","RPL29",1.84335804935658,2.17625766710227e-13,5.78035798959035e-09,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rps13","RPS13",1.83233679037045,2.46624957783891e-16,6.55060550369792e-12,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rps3a1","RPS3A1",1.82814848126692,6.92540482487723e-21,1.83945677553564e-16,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Pfn1","PFN1",1.82630840786729,9.33969350312845e-07,0.0248071599136595,"GSE244576","EC","padj<0.05 & log2FC>=1"
"mt-Cytb","MT-CYTB",1.81964763558966,2.31426286785639e-35,6.14691360331337e-31,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rps16","RPS16",1.81234081361573,5.55977605172715e-21,1.47673211709925e-16,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Txn1","TXN1",1.81186216312615,2.29647159083973e-09,6.09965819242941e-05,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rps7","RPS7",1.80430280443816,3.18317233368949e-17,8.45482403551265e-13,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rplp2","RPLP2",1.79320261004893,7.1174390520964e-22,1.89046298662732e-17,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rplp1","RPLP1",1.7867971107928,8.72685751132356e-35,2.31794062358265e-30,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl4","RPL4",1.78203279425662,2.17293062791926e-08,0.000577152104081634,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rps23","RPS23",1.75606500052511,7.91004686589134e-24,2.1009875480494e-19,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rack1","RACK1",1.74623035011405,1.36165422553087e-08,0.000361668978843253,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Sem1","SEM1",1.72051415417425,6.07201566548317e-07,0.0161278808090898,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl19","RPL19",1.71443256802177,4.18670610318118e-22,1.11203100806595e-17,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rps17","RPS17",1.70691236628275,3.5340815942571e-13,9.38687412250629e-09,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl23","RPL23",1.69579139284016,6.30633967810003e-24,1.67502688190015e-19,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Pkm","PKM",1.67982565677107,3.76676386931759e-10,1.00049015132944e-05,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl10a","RPL10A",1.67937254816511,4.46325813244486e-10,1.18548599255868e-05,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Eef1a1","EEF1A1",1.674948750875,2.52554606100366e-26,6.70810289263182e-22,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Psmb3","PSMB3",1.67145892496091,2.54766326280819e-07,0.00676684839234484,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl17","RPL17",1.66106116683867,1.22285529333083e-17,3.24802594461601e-13,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rps27","RPS27",1.65321567854146,5.18466175500741e-21,1.37709800874752e-16,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl7a","RPL7A",1.65138986288292,2.55476188712551e-08,0.000678570304839406,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl10","RPL10",1.63864462745753,7.82803292357691e-13,2.07920382483126e-08,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rps5","RPS5",1.63669003225602,2.9477702689114e-14,7.82957261125556e-10,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rps21","RPS21",1.62219803047274,7.06900182372631e-23,1.87759757439995e-18,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Atp5e","ATP5E",1.62079039072628,2.21408230417519e-08,0.000588082400811971,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Btf3","BTF3",1.61808975345711,1.08786718799642e-07,0.00288948403803728,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Gng11","GNG11",1.58710067322966,2.22907451657089e-07,0.00592064482346394,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Eef1b2","EEF1B2",1.57928234650502,3.56373596868797e-07,0.00946563910643212,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rps11","RPS11",1.57905297091379,5.01956919305719e-13,1.33324777336792e-08,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl37","RPL37",1.57017927838267,2.09470782337379e-19,5.56375344966312e-15,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl5","RPL5",1.5638519661605,6.11665283654938e-08,0.00162464415991588,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rps9","RPS9",1.55547436030981,2.55495548044617e-11,6.78621725161307e-07,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl18a","RPL18A",1.55281979383615,9.51509772296223e-16,2.527305106196e-11,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl35a","RPL35A",1.53502669548546,9.45814653330238e-19,2.51217830071044e-14,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Ifitm3","IFITM3",1.5339531930534,1.68735926175912e-17,4.48179493515839e-13,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl37a","RPL37A",1.5257612661184,3.56349188289629e-22,9.46499079016085e-18,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Tmsb4x","TMSB4X",1.52460192750591,6.54717519165064e-39,1.73899520265433e-34,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Cd9","CD9",1.52039855772691,2.9787313071589e-09,7.91180822494475e-05,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rps26","RPS26",1.51693683150767,3.97442116233852e-12,1.05564600492873e-07,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Tpt1","TPT1",1.50606738074582,2.8836407970319e-26,7.65923832099643e-22,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl36al","RPL36AL",1.48052157057679,1.13578544033201e-06,0.0301675970806585,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Pomp","POMP",1.46871022354037,6.7213874240274e-07,0.0178526771369592,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl30","RPL30",1.4614899058579,1.32069403118213e-14,3.50789541622287e-10,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Tmsb10","TMSB10",1.46041238799845,1.46471649122931e-07,0.00389043347235416,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Prdx1","PRDX1",1.43926743501054,7.0042770149458e-08,0.00186040601793975,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rps4x","RPS4X",1.4231299800026,2.29601024857372e-10,6.09843282123665e-06,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl27a","RPL27A",1.42271228515488,2.85650989722922e-18,7.58717593803052e-14,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Sparc","SPARC",1.40217498584773,3.14488393906187e-15,8.35312623054223e-11,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl26","RPL26",1.39689753988476,4.61312628027928e-14,1.22529247130498e-09,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl8","RPL8",1.39155510789627,1.49232774695347e-15,3.96377172868311e-11,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Gapdh","GAPDH",1.38980272742618,6.56287935668025e-16,1.74316638592784e-11,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rps3","RPS3",1.38683869760977,1.82469314265522e-10,4.84656745620652e-06,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rps20","RPS20",1.38078285869126,4.26922440429314e-12,1.1339486940243e-07,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Ptgds","PTGDS",1.37090458561528,2.80131621070475e-19,7.4405759872529e-15,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rac1","RAC1",1.36248586393185,1.05101183479801e-06,0.02791592534407,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl11","RPL11",1.34969820580841,3.5708163058652e-12,9.48444519000856e-08,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl28","RPL28",1.34956621856526,1.02808241173008e-13,2.73068969379626e-09,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl18","RPL18",1.31750284818594,1.4204311340048e-10,3.77280713503015e-06,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rps15","RPS15",1.28618129144055,7.05176664393751e-12,1.87301973829624e-07,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl24","RPL24",1.27717185522551,4.98570389468691e-13,1.32425281146779e-08,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Tm4sf1","TM4SF1",1.22277942784387,2.32900173114185e-08,0.000618606149808586,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl6","RPL6",1.21022141930797,1.1072394112369e-10,2.94093860018634e-06,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl7","RPL7",1.2058355387549,2.09674729192349e-07,0.00556917048207797,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rps10","RPS10",1.17874306227261,3.7193874780382e-11,9.87906508041725e-07,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Ubc","UBC",1.16674053681712,2.22627581593962e-07,0.00591321119471722,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl21","RPL21",1.15289840497702,5.96115574770681e-11,1.58334257814841e-06,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl13","RPL13",1.12236421409974,7.71436129393108e-18,2.04901150328103e-13,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Rpl15","RPL15",1.11338996459813,4.86927499998944e-07,0.0129332813274719,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Fau","FAU",1.09824644770686,4.31416201621449e-12,1.14588457312673e-07,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Ptma","PTMA",1.07003736713492,1.97459586248442e-07,0.00524472407034487,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Cox8a","COX8A",1.05454688833323,4.78125416103066e-07,0.0126994891771135,"GSE244576","EC","padj<0.05 & log2FC>=1"
"Tnc","TNC",10.1071964659772,8.08381269378194e-24,2.14714148959542e-19,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Hmga2","HMGA2",9.14457950353153,1.78919928541793e-15,4.75229222199856e-11,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Serpine1","SERPINE1",8.53364383062921,3.33683027372751e-13,8.86295489004763e-09,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"8030451A03Rik","8030451A03RIK",8.38844773895222,3.93441164898224e-13,1.04501907808617e-08,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Cxcl1","CXCL1",8.10196646008673,1.38999035438632e-11,3.69195338028551e-07,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Cd44","CD44",7.67247412102734,1.50546471295473e-15,3.99866482407906e-11,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Il6","IL6",7.58633637285803,3.22775235420344e-10,8.57323302799975e-06,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Lcn2","LCN2",7.29987838461464,1.63014793431409e-11,4.32983592833165e-07,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Serpina3n","SERPINA3N",7.16993279183007,7.33097521321972e-12,1.94718032638329e-07,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Socs3","SOCS3",7.13734933542263,1.95406657127441e-14,5.19019621996197e-10,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Lrg1","LRG1",7.10138160027556,5.786621625589e-11,1.53698456997269e-06,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Sphk1","SPHK1",6.77930282776909,5.99132639480449e-10,1.59135620372402e-05,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
