"gene_upper","n_datasets","datasets","mean_log2FC","max_log2FC","min_padj","confidence_tier"
"4930503L19RIK",1,"GSE244576",1.184,1.184,0.0177,"Tier3_1dataset"
"PICALM",1,"GSE244576",1.184,1.184,0,"Tier3_1dataset"
"FAM114A1",1,"GSE244576",1.183,1.183,0.03795,"Tier3_1dataset"
"SMAD1",1,"GSE244576",1.183,1.183,0,"Tier3_1dataset"
"ETF1",1,"GSE244576",1.182,1.182,0,"Tier3_1dataset"
"NRAS",1,"GSE244576",1.18,1.18,5e-06,"Tier3_1dataset"
"NCKAP5",1,"GSE244576",1.179,1.179,0.04123,"Tier3_1dataset"
"CEP135",1,"GSE244576",1.178,1.178,0.003203,"Tier3_1dataset"
"NCBP3",1,"GSE244576",1.178,1.178,6.8e-05,"Tier3_1dataset"
"CBFB",1,"GSE244576",1.177,1.177,0,"Tier3_1dataset"
"PTPRN",1,"GSE244576",1.176,1.176,0,"Tier3_1dataset"
"HECA",1,"GSE244576",1.175,1.175,0.018935,"Tier3_1dataset"
"SMURF2",1,"GSE244576",1.173,1.173,0,"Tier3_1dataset"
"NUP35",1,"GSE244576",1.171,1.171,0.016124,"Tier3_1dataset"
"NUP88",1,"GSE244576",1.171,1.171,0.035062,"Tier3_1dataset"
"PXN",1,"GSE244576",1.171,1.171,0.010279,"Tier3_1dataset"
"THRAP3",1,"GSE244576",1.171,1.171,0,"Tier3_1dataset"
"TNPO1",1,"GSE244576",1.171,1.171,0,"Tier3_1dataset"
"NFKB1",1,"GSE244576",1.17,1.17,0,"Tier3_1dataset"
"NUP133",1,"GSE244576",1.169,1.169,0.001422,"Tier3_1dataset"
"CREB3L2",1,"GSE244576",1.167,1.167,0,"Tier3_1dataset"
"GOLGA5",1,"GSE244576",1.167,1.167,1e-06,"Tier3_1dataset"
"NAALAD2",1,"GSE244576",1.167,1.167,1e-06,"Tier3_1dataset"
"ANGPTL2",1,"GSE244576",1.165,1.165,5.9e-05,"Tier3_1dataset"
"CAMK2G",1,"GSE244576",1.165,1.165,0,"Tier3_1dataset"
"CCZ1",1,"GSE244576",1.164,1.164,0,"Tier3_1dataset"
"GORASP2",1,"GSE244576",1.163,1.163,0.013491,"Tier3_1dataset"
"SFSWAP",1,"GSE244576",1.163,1.163,0,"Tier3_1dataset"
"BAZ2A",1,"GSE244576",1.161,1.161,0,"Tier3_1dataset"
"ERF",1,"GSE244576",1.161,1.161,0.011473,"Tier3_1dataset"
"ZFP710",1,"GSE244576",1.161,1.161,0.024721,"Tier3_1dataset"
"IREB2",1,"GSE244576",1.158,1.158,0,"Tier3_1dataset"
"MAPK6",1,"GSE244576",1.158,1.158,0.001298,"Tier3_1dataset"
"SIDT2",1,"GSE244576",1.157,1.157,0.013152,"Tier3_1dataset"
"GPR4",1,"GSE244576",1.154,1.154,0.001583,"Tier3_1dataset"
"AFG3L1",1,"GSE244576",1.151,1.151,0.002549,"Tier3_1dataset"
"SEPT10",1,"GSE244576",1.151,1.151,0.000369,"Tier3_1dataset"
"USP47",1,"GSE244576",1.151,1.151,0,"Tier3_1dataset"
"RAI1",1,"GSE244576",1.15,1.15,0,"Tier3_1dataset"
"RALGPS1",1,"GSE244576",1.149,1.149,0,"Tier3_1dataset"
"FNIP2",1,"GSE244576",1.148,1.148,0,"Tier3_1dataset"
"PARP12",1,"GSE244576",1.148,1.148,0.028156,"Tier3_1dataset"
"SPATA5",1,"GSE244576",1.148,1.148,0,"Tier3_1dataset"
"CTTN",1,"GSE244576",1.147,1.147,0,"Tier3_1dataset"
"RPAP2",1,"GSE244576",1.147,1.147,0.045082,"Tier3_1dataset"
"BRF1",1,"GSE244576",1.146,1.146,0.011009,"Tier3_1dataset"
"LBR",1,"GSE244576",1.141,1.141,0.009191,"Tier3_1dataset"
"ADAR",1,"GSE244576",1.138,1.138,0.002323,"Tier3_1dataset"
"COMMD8",1,"GSE244576",1.138,1.138,0.012868,"Tier3_1dataset"
"STARD5",1,"GSE244576",1.137,1.137,0.000438,"Tier3_1dataset"
"ZFC3H1",1,"GSE244576",1.137,1.137,0,"Tier3_1dataset"
"FBXW11",1,"GSE244576",1.133,1.133,0,"Tier3_1dataset"
"TANGO2",1,"GSE244576",1.133,1.133,0.014178,"Tier3_1dataset"
"SCFD2",1,"GSE244576",1.132,1.132,9e-05,"Tier3_1dataset"
"ARFGAP1",1,"GSE244576",1.131,1.131,0.001485,"Tier3_1dataset"
"CEP170",1,"GSE244576",1.129,1.129,0,"Tier3_1dataset"
"YARS",1,"GSE244576",1.129,1.129,3.1e-05,"Tier3_1dataset"
"AGBL3",1,"GSE244576",1.128,1.128,0.000276,"Tier3_1dataset"
"ERBIN",1,"GSE244576",1.128,1.128,0,"Tier3_1dataset"
"XPO4",1,"GSE244576",1.128,1.128,0,"Tier3_1dataset"
"GALNT2",1,"GSE244576",1.124,1.124,0.046119,"Tier3_1dataset"
"GRIP1",1,"GSE244576",1.124,1.124,0,"Tier3_1dataset"
"KSR1",1,"GSE244576",1.123,1.123,0.000218,"Tier3_1dataset"
"PI4KB",1,"GSE244576",1.122,1.122,0,"Tier3_1dataset"
"MINDY2",1,"GSE244576",1.121,1.121,0.005616,"Tier3_1dataset"
"LAMA4",1,"GSE244576",1.119,1.119,0,"Tier3_1dataset"
"NIPA2",1,"GSE244576",1.118,1.118,7e-06,"Tier3_1dataset"
"DNAJC13",1,"GSE244576",1.117,1.117,0,"Tier3_1dataset"
"HEATR5A",1,"GSE244576",1.115,1.115,3e-05,"Tier3_1dataset"
"PTBP3",1,"GSE244576",1.113,1.113,0,"Tier3_1dataset"
"ODF2",1,"GSE244576",1.112,1.112,0,"Tier3_1dataset"
"P3H3",1,"GSE244576",1.111,1.111,0.029307,"Tier3_1dataset"
"SLC9A1",1,"GSE244576",1.111,1.111,0.009219,"Tier3_1dataset"
"RERG",1,"GSE244576",1.11,1.11,0,"Tier3_1dataset"
"ATP6V0A2",1,"GSE244576",1.109,1.109,0.00493,"Tier3_1dataset"
"DHX36",1,"GSE244576",1.109,1.109,0,"Tier3_1dataset"
"LSG1",1,"GSE244576",1.109,1.109,0.010607,"Tier3_1dataset"
"LRRC8A",1,"GSE244576",1.108,1.108,0.031023,"Tier3_1dataset"
"FANCC",1,"GSE244576",1.107,1.107,0.000203,"Tier3_1dataset"
"CACNA1C",1,"GSE244576",1.106,1.106,0,"Tier3_1dataset"
"GCNT2",1,"GSE244576",1.106,1.106,0,"Tier3_1dataset"
"GM28055",1,"GSE244576",1.105,1.105,0.000436,"Tier3_1dataset"
"NUP160",1,"GSE244576",1.104,1.104,0.021444,"Tier3_1dataset"
"VTI1A",1,"GSE244576",1.104,1.104,0,"Tier3_1dataset"
"ATXN3",1,"GSE244576",1.103,1.103,0.006316,"Tier3_1dataset"
"GMEB2",1,"GSE244576",1.103,1.103,0.001763,"Tier3_1dataset"
"TLK2",1,"GSE244576",1.102,1.102,0,"Tier3_1dataset"
"RIOK1",1,"GSE244576",1.101,1.101,1.9e-05,"Tier3_1dataset"
"2210408F21RIK",1,"GSE244576",1.1,1.1,0.000374,"Tier3_1dataset"
"CTIF",1,"GSE244576",1.1,1.1,0.013946,"Tier3_1dataset"
"STAU1",1,"GSE244576",1.099,1.099,3e-06,"Tier3_1dataset"
"SCAF11",1,"GSE244576",1.097,1.097,0,"Tier3_1dataset"
"SRSF6",1,"GSE244576",1.097,1.097,2e-06,"Tier3_1dataset"
"AGFG2",1,"GSE244576",1.094,1.094,0.004471,"Tier3_1dataset"
"AHDC1",1,"GSE244576",1.093,1.093,0.000851,"Tier3_1dataset"
"CS",1,"GSE244576",1.093,1.093,3.1e-05,"Tier3_1dataset"
"ARHGEF17",1,"GSE244576",1.091,1.091,0,"Tier3_1dataset"
"RNF169",1,"GSE244576",1.09,1.09,0,"Tier3_1dataset"
"ATRNL1",1,"GSE244576",1.088,1.088,0,"Tier3_1dataset"
"VPS13D",1,"GSE244576",1.088,1.088,0,"Tier3_1dataset"
"FAM172A",1,"GSE244576",1.087,1.087,0,"Tier3_1dataset"
"FOXO1",1,"GSE244576",1.084,1.084,0.009398,"Tier3_1dataset"
"LRPPRC",1,"GSE244576",1.083,1.083,0.002554,"Tier3_1dataset"
"SSR3",1,"GSE244576",1.083,1.083,0.001389,"Tier3_1dataset"
"ZFP64",1,"GSE244576",1.083,1.083,0.006684,"Tier3_1dataset"
"MAP2K5",1,"GSE244576",1.082,1.082,0,"Tier3_1dataset"
"IARS2",1,"GSE244576",1.081,1.081,0.000306,"Tier3_1dataset"
"COL1A2",1,"GSE244576",1.08,1.08,0.014683,"Tier3_1dataset"
"DPYSL2",1,"GSE227651",1.08,1.08,0,"Tier3_1dataset"
"PDE7A",1,"GSE244576",1.08,1.08,8.3e-05,"Tier3_1dataset"
"SMARCE1",1,"GSE244576",1.08,1.08,1e-05,"Tier3_1dataset"
"SNHG9",1,"GSE244576",1.08,1.08,0.004445,"Tier3_1dataset"
"SOX4",1,"GSE244576",1.08,1.08,0.015615,"Tier3_1dataset"
"TNS1",1,"GSE244576",1.079,1.079,0,"Tier3_1dataset"
"BICRA",1,"GSE244576",1.078,1.078,0,"Tier3_1dataset"
"FAM120A",1,"GSE244576",1.078,1.078,3e-06,"Tier3_1dataset"
"ATPAF1",1,"GSE244576",1.077,1.077,0.020253,"Tier3_1dataset"
"LIN52",1,"GSE244576",1.077,1.077,0,"Tier3_1dataset"
"CHMP4B",1,"GSE244576",1.075,1.075,1.3e-05,"Tier3_1dataset"
"RNF10",1,"GSE244576",1.075,1.075,4.3e-05,"Tier3_1dataset"
"HSD17B12",1,"GSE244576",1.074,1.074,7e-06,"Tier3_1dataset"
"SNRNP40",1,"GSE244576",1.073,1.073,8.3e-05,"Tier3_1dataset"
"ZCCHC4",1,"GSE244576",1.071,1.071,0.015777,"Tier3_1dataset"
"EIF1A",1,"GSE244576",1.07,1.07,0.000223,"Tier3_1dataset"
"TBCD",1,"GSE244576",1.07,1.07,2e-06,"Tier3_1dataset"
"AKT1",1,"GSE244576",1.068,1.068,0.015435,"Tier3_1dataset"
"B3GLCT",1,"GSE244576",1.068,1.068,7.9e-05,"Tier3_1dataset"
"PSMD14",1,"GSE244576",1.068,1.068,0,"Tier3_1dataset"
"CACNA2D1",1,"GSE244576",1.067,1.067,0,"Tier3_1dataset"
"ETV6",1,"GSE244576",1.067,1.067,0,"Tier3_1dataset"
"NAV2",1,"GSE244576",1.066,1.066,0,"Tier3_1dataset"
"MTF1",1,"GSE244576",1.065,1.065,0.006629,"Tier3_1dataset"
"RPAP3",1,"GSE244576",1.065,1.065,0.023926,"Tier3_1dataset"
"STAM2",1,"GSE244576",1.065,1.065,0.000671,"Tier3_1dataset"
"ELF2",1,"GSE244576",1.064,1.064,4.7e-05,"Tier3_1dataset"
"GOLGA3",1,"GSE244576",1.063,1.063,0.041813,"Tier3_1dataset"
"DNAJB12",1,"GSE244576",1.062,1.062,0.023634,"Tier3_1dataset"
"BTAF1",1,"GSE244576",1.057,1.057,0,"Tier3_1dataset"
"SNAPC3",1,"GSE244576",1.055,1.055,0,"Tier3_1dataset"
"PDLIM1",1,"GSE244576",1.052,1.052,0,"Tier3_1dataset"
"SETX",1,"GSE244576",1.051,1.051,0.000169,"Tier3_1dataset"
"CWC27",1,"GSE244576",1.049,1.049,0,"Tier3_1dataset"
"GATM",1,"GSE227651",1.049,1.049,0,"Tier3_1dataset"
"TCF7L1",1,"GSE244576",1.047,1.047,0.000413,"Tier3_1dataset"
"FNDC3B",1,"GSE244576",1.046,1.046,0,"Tier3_1dataset"
"NUS1",1,"GSE244576",1.046,1.046,0.004097,"Tier3_1dataset"
"UBA52",1,"GSE244576",1.046,1.046,0.002251,"Tier3_1dataset"
"RRAS2",1,"GSE244576",1.045,1.045,0.000289,"Tier3_1dataset"
"ARHGEF7",1,"GSE244576",1.042,1.042,0,"Tier3_1dataset"
"HIPK3",1,"GSE244576",1.042,1.042,0,"Tier3_1dataset"
"MEF2D",1,"GSE244576",1.042,1.042,0,"Tier3_1dataset"
"NEK6",1,"GSE244576",1.041,1.041,0,"Tier3_1dataset"
"RND3",1,"GSE244576",1.041,1.041,0.005407,"Tier3_1dataset"
"TBK1",1,"GSE244576",1.041,1.041,0,"Tier3_1dataset"
"DOCK1",1,"GSE244576",1.04,1.04,0,"Tier3_1dataset"
"HRCT1",1,"GSE227651",1.04,1.04,1.8e-05,"Tier3_1dataset"
"RHOQ",1,"GSE244576",1.039,1.039,0.010836,"Tier3_1dataset"
"USP54",1,"GSE244576",1.036,1.036,0.001168,"Tier3_1dataset"
"ALKBH3",1,"GSE244576",1.035,1.035,0.002533,"Tier3_1dataset"
"EXT2",1,"GSE244576",1.035,1.035,0.006476,"Tier3_1dataset"
"HAT1",1,"GSE244576",1.034,1.034,0.03981,"Tier3_1dataset"
"PSMD1",1,"GSE244576",1.034,1.034,0,"Tier3_1dataset"
"SDCBP",1,"GSE244576",1.034,1.034,0,"Tier3_1dataset"
"ADAM9",1,"GSE244576",1.033,1.033,0.000686,"Tier3_1dataset"
"ANXA3",1,"GSE244576",1.033,1.033,0.000233,"Tier3_1dataset"
"MKLN1",1,"GSE244576",1.032,1.032,0,"Tier3_1dataset"
