baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol,timepoint,comparison,cell_type,dataset
10.95317774008482,0.7089157617307636,0.6121026122251756,1.1581649017207154,0.24679674848712174,,0610009B22Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
7.898373507065969,-0.41261830981424175,0.6832111404368416,-0.6039396687097575,0.545883753939076,,0610009E02Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
2.204567840652794,0.2533061120707604,1.2417926390745107,0.2039842273985016,0.8383658244881237,,0610009L18Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
11.964334374008251,-0.11582192482932675,0.5568783293588071,-0.2079842556679926,0.8352412607065333,,0610010F05Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
6.329979647054821,-0.10416916598279591,0.7610218413786338,-0.13688065219532675,0.8911251321871063,,0610010K14Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
42.68132213762051,0.28096295935333604,0.3290599031829173,0.8538352945334541,0.3931962555201377,0.6649012932276485,0610012G03Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
12.046451225388065,0.3059559371113686,0.6412700442248388,0.4771093548915188,0.6332842535247467,,0610030E20Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
44.37050946526737,0.19249873431812597,0.3470686033978419,0.5546417406632033,0.5791397325987575,0.7997805817074124,0610037L13Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
1.925528581508691,0.1933222533028109,1.409626857393558,0.1371442749468249,0.890916756727545,,0610039K10Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
0.6757724452522355,-1.001386189110141,2.517526344850789,-0.3977659225526365,0.6908027388882096,,0610040B10Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
0.7716968648088084,-2.150351933421711,2.343714225405307,-0.9174974961163803,0.35888200439181994,,1010001B22Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
3.9777086610807695,-0.11817831249675297,0.9436300909955462,-0.125237965198919,0.9003351619556067,,1110002L01Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
0.4688510674396077,-1.351820157645083,2.8248717140482618,-0.4785421408421479,0.6322643881583383,,1110003F10Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
51.596980628431375,-0.025104526034440012,0.30530777029252376,-0.08222694761547235,0.9344662449014791,0.9789943625610018,1110004F10Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
0.6748992999590594,0.9488450358791795,2.401001520618527,0.3951871865681891,0.6927047483429255,,1110006O24Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
15.431933482137737,-0.4042082964181154,0.5975171289391177,-0.6764798477589771,0.49873603656800725,0.7442286876157546,1110008L16Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
14.431266454053267,0.2914662088682315,0.5344919845449979,0.545314461761949,0.585537259441406,0.8029068394600252,1110008P14Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
7.873292577111572,0.7001852544586353,0.7109431904615137,0.9848680792681976,0.32468887464054563,,1110012L19Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
3.2124532435930484,0.5747756390810224,1.0809609652021237,0.5317265447911412,0.5949154042228175,,1110019D14Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
1.7724450959596534,-1.0098891254238822,1.407670763047393,-0.7174185554849671,0.4731158736649006,,1110025M09Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
10.679425994845582,0.11127781092280625,0.6234849221491021,0.17847714831537645,0.8583482660676125,,1110032A03Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
1.3431298509826628,-1.3528877246740085,1.4786636256929704,-0.9149394772188182,0.3602234039786767,,1110035H17Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
9.397041714878947,1.9379255514110738,0.7636794565522386,2.5376164499175737,0.011161022962063312,,1110038B12Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
24.909889237501122,0.03372973291928361,0.42547341396465255,0.07927577096999487,0.9368132776016277,0.9798527755836248,1110038F14Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
