gene_symbol,scores,logfoldchanges,pvals,pvals_adj,timepoint,comparison,cell_type,dataset
Tmsb4x,24.116,1.484965,1.698583503716648e-128,3.325316925226082e-124,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ctla2a,20.4412,2.4890006,7.194739485740452e-93,4.695047163744695e-89,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Sparc,18.305841,1.5396906,7.433573579763052e-75,2.9105413994204257e-71,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ifitm3,18.138065,1.9792675,1.595507663918377e-73,5.2058755894216783e-70,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl32,17.953442,1.976494,4.510613905859915e-72,1.2614898347859935e-68,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Igfbp7,16.99069,1.3502715,9.624907376253777e-65,1.884268117049202e-61,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps2,16.52272,2.0495465,2.5178106736358246e-61,4.481016323433503e-58,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ly6a,16.376144,1.1702265,2.8313220962014277e-60,4.26375328287195e-57,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rplp0,15.813585,1.982825,2.507815418244709e-56,3.0684689026860415e-53,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps18,14.693021,1.7197647,7.145546391667671e-49,8.228727159392823e-46,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Vim,14.420476,1.7242444,3.846805928604519e-47,4.18382887023837e-44,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rplp1,14.183403,1.3271102,1.1607769172753448e-45,1.1960278794473381e-42,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps5,14.036191,1.5536418,9.361045929928373e-45,9.163059808510388e-42,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Tmem252,14.029857,1.8850803,1.0235760841778989e-44,9.542166190452727e-42,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Fkbp1a,14.01022,2.1648304,1.349877866239195e-44,1.2012072266983962e-41,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl41,13.954487,1.2920786,2.9542095073397135e-44,2.5145460663125903e-41,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps11,13.77627,1.6469469,3.541001869869483e-43,2.7728877442573947e-40,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl13,13.741506,1.3486015,5.727193563818937e-43,4.312356476880128e-40,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps8,13.210211,1.4435918,7.66092217123825e-40,5.554736049864119e-37,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps19,13.19925,1.3204931,8.861317238745177e-40,6.195643127961226e-37,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ecscr,13.135622,2.509362,2.057944421186543e-39,1.3892544115023777e-36,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps7,12.762602,1.6189336,2.6519316824856367e-37,1.7305622182673768e-34,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl23a,12.709342,1.789887,5.2474030598771975e-37,3.313819667845674e-34,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl9,12.36912,1.6671373,3.840071144535564e-35,2.349283524892898e-32,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps3,12.214128,1.2633419,2.6129014033381854e-34,1.5044932580338723e-31,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl10,12.197324,2.0160058,3.212085154904075e-34,1.7966568879302023e-31,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps9,11.931807,1.2851379,8.080081875835484e-33,4.3939934134230906e-30,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Atp5e,11.6577425,1.6706486,2.0952347826722897e-31,1.1086057119020383e-28,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ndufa4,11.610022,1.4546385,3.6652283057469534e-31,1.8882677510949503e-28,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl7a,11.496446,1.8619491,1.3746053008900716e-30,6.900166147570496e-28,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps17,11.265215,1.605754,1.9487561633675228e-29,9.5376998525615e-27,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps14,11.14879,0.98029524,7.258666640151196e-29,3.465924800347316e-26,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps23,11.111235,1.4989693,1.1061893725144568e-28,5.156159368027505e-26,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps15a,11.076833,1.2637882,1.6252098261627305e-28,7.231075628815403e-26,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Anxa2,11.0349245,1.6063643,2.5926884995860123e-28,1.1279347279198972e-25,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl11,10.917328,1.5152246,9.525674612032124e-28,4.014119393736057e-25,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl6,10.916272,1.4923052,9.637003192807616e-28,4.014119393736057e-25,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps25,10.86657,1.2562938,1.6633651065394072e-27,6.784103893900412e-25,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl17,10.7523,1.550131,5.7801996612804065e-27,2.3093667095691127e-24,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl3,10.646128,1.4204714,1.817695418859238e-26,7.11700464300146e-24,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps13,10.614835,1.4708091,2.5424492689178833e-26,9.759515556393215e-24,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
S100a11,10.5947485,1.7235441,3.151883147657503e-26,1.186623391955595e-23,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps27a,10.569022,1.3671672,4.147970992551046e-26,1.5321665683239968e-23,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps16,10.558018,1.2631786,4.6640880388881474e-26,1.6909046580983937e-23,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl27,10.449849,1.5854782,1.4675787527076788e-25,5.22377986213786e-23,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps26,10.319239,1.2452639,5.767888356230587e-25,2.0163919705343966e-22,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpsa,10.307351,1.6237493,6.527544994459284e-25,2.241925409763674e-22,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps27l,10.2907505,1.7342068,7.756955529550329e-25,2.618239972448393e-22,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Prdx1,10.267295,1.3492315,9.894030565262201e-25,3.2829734979006457e-22,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Fth1,10.247671,0.9908424,1.2122916444956084e-24,3.955505587381754e-22,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Lyz2,10.003339,-14.019057,1.4734321450075314e-23,4.5786319210813395e-21,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl19,9.903848,1.4201165,4.00559943218843e-23,1.225275313811764e-20,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps20,9.884369,1.1735102,4.86637763638324e-23,1.46567807673038e-20,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Gpx1,9.800929,1.2380503,1.1155442036709002e-22,3.308940738676547e-20,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl26,9.721568,1.0542456,2.439953298932567e-22,6.922748656985922e-20,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Sec61b,9.574732,1.6281965,1.0212237614414548e-21,2.7767357746860224e-19,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl12,9.504018,1.9458522,2.0194538654433994e-21,5.415732647093895e-19,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps12,9.496006,1.2633079,2.1809502814556588e-21,5.769792386494248e-19,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Cd200,9.453259,1.2471373,3.2844024563711558e-21,8.573166251783748e-19,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl14,9.323342,1.0435833,1.1273175754454861e-20,2.903881075591616e-18,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Actb,9.267003,0.7330108,1.914502243609204e-20,4.867559795212647e-18,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl18,9.122307,1.3060945,7.35421763847041e-20,1.8458143424145544e-17,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl36a,9.078634,1.6162884,1.0994547239178466e-19,2.724560143055656e-17,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Cox6b1,9.069582,1.2357919,1.194745135639403e-19,2.923690690051574e-17,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ldha,9.055786,1.3117841,1.355874364542371e-19,3.277031164771111e-17,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl8,9.0019045,1.0596077,2.218349407327775e-19,5.296173944787298e-17,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl7,8.890194,1.1178235,6.100229323610416e-19,1.4388456562448327e-16,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps6,8.847722,1.2605736,8.932362307761916e-19,2.0817721059411316e-16,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl4,8.73539,1.0340527,2.4281756964993446e-18,5.59251713063149e-16,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ftl1,8.729735,0.99378693,2.552689844752312e-18,5.810931289618141e-16,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl34,8.7115,0.98656946,2.998792130731955e-18,6.747971671648217e-16,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Hspa5,8.621683,1.1908884,6.5976947606769764e-18,1.4677621628383314e-15,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Cox7a2,8.619587,1.1420143,6.719632439844052e-18,1.4780926323014272e-15,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ctsb,8.582132,1.2968336,9.313013850270275e-18,2.0257874682971244e-15,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps27,8.5187645,1.0999887,1.6126390631797124e-17,3.4693005428427724e-15,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Pdia3,8.502077,1.2533991,1.862283421143057e-17,3.920206724270713e-15,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Lrg1,8.494355,3.3606298,1.9903547652666414e-17,4.1452314084707484e-15,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl36,8.487167,1.1818532,2.1173412747515854e-17,4.3632831721907145e-15,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Cox6a1,8.274968,1.0466067,1.2849023663032833e-16,2.6202639192832687e-14,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Tm4sf1,8.260898,1.120402,1.4458132101416664e-16,2.9180087850457113e-14,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl31,8.1981945,1.0826869,2.440237421815777e-16,4.874747755804844e-14,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rab11a,8.15484,1.1504104,3.4963988833803013e-16,6.91404049898345e-14,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Cox7b,8.0567665,1.3951079,7.833889495305362e-16,1.5184559866296345e-13,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Cox5a,8.033688,1.3549176,9.458619716992821e-16,1.8154058647016515e-13,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Cox6c,8.030216,0.98436654,9.730078838306149e-16,1.8493762467720338e-13,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Txn1,7.964665,1.2248784,1.6567185786433944e-15,3.118613424432859e-13,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ifitm2,7.960688,1.1127386,1.7108482672939128e-15,3.1898358598869454e-13,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Tuba1a,7.9431615,1.1458429,1.9709177218817122e-15,3.640061909554555e-13,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Sem1,7.9336176,1.0388407,2.128530547203112e-15,3.8944151890276005e-13,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl15,7.92912,1.3833888,2.2070401155272538e-15,4.000668920525652e-13,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Psmb1,7.8857226,1.1173502,3.1272000983580483e-15,5.61662351610601e-13,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Atp5j2,7.8717537,1.1492325,3.4970448626240236e-15,6.223786115962773e-13,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Eef1g,7.7557335,1.4013472,8.783432718390096e-15,1.5352969850707402e-12,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Hint1,7.705655,1.1868588,1.3017362478565827e-14,2.2552292499370194e-12,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ppia,7.698989,0.9517333,1.371472460412573e-14,2.3552031892541178e-12,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Msn,7.6458015,1.1470033,2.0764792161399834e-14,3.5348898795106482e-12,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Uqcc2,7.6098948,1.2437669,2.743188799516919e-14,4.629604062770924e-12,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl29,7.542579,1.1375555,4.607659437587125e-14,7.709756308516508e-12,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Atp5mpl,7.5003676,1.3236916,6.363902695680001e-14,1.0558146023163336e-11,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl35,7.482219,1.036192,7.307786922600457e-14,1.2022230637289846e-11,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
1810037I17Rik,7.460499,0.9503536,8.619543386019136e-14,1.3945851311412944e-11,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
S100a16,7.421946,1.1098465,1.154117809404651e-13,1.8519806848126928e-11,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Uqcrq,7.4116645,1.138093,1.2472407875184817e-13,1.9851408859552287e-11,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Krtcap2,7.409524,1.2932129,1.2675338586219418e-13,2.0011701895356254e-11,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Cdc42,7.372533,0.9478486,1.6741603428210547e-13,2.622002962512623e-11,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Tspo,7.365534,1.1000926,1.764391675598836e-13,2.7381441437551035e-11,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Cox7c,7.3143134,1.125957,2.5870083134395217e-13,3.9567079493910564e-11,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Esd,7.2654934,1.8186662,3.716795772202875e-13,5.5972085255704375e-11,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Atp5h,7.2606344,1.0580629,3.8527917020635004e-13,5.757717797808943e-11,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Pfdn5,7.2581325,1.0062467,3.9247071799062144e-13,5.778226962218671e-11,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Hspa8,7.258104,0.83283895,3.9255462326969565e-13,5.778226962218671e-11,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ybx1,7.246766,0.789568,4.268394960279437e-13,6.235997622193325e-11,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Egfl7,7.1817064,0.8376093,6.884657352857343e-13,9.983773110880607e-11,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Dbi,7.153609,1.2181553,8.452564184946727e-13,1.216734184181633e-10,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rplp2,7.128577,0.83048606,1.0141181733343112e-12,1.4491526627274313e-10,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Nme1,7.098889,1.9780564,1.257639862115806e-12,1.7841170710609516e-10,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Spp1,7.085498,-20.962456,1.385452430672377e-12,1.9512951248397932e-10,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl28,7.0736547,1.2945324,1.5090582088589614e-12,2.1102023253451348e-10,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Psma2,7.0122967,1.1951495,2.3443744103128983e-12,3.2550225411840856e-10,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Canx,6.9778075,0.9990123,2.9982244828237896e-12,4.1335380774817836e-10,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl10a,6.8407464,1.7683444,7.878152748298125e-12,1.0785356388351917e-09,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Serpinh1,6.837276,1.4577751,8.071318769088908e-12,1.097306996822594e-09,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl27a,6.827558,0.8606409,8.63721017512517e-12,1.166142507575348e-09,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Minos1,6.8210654,1.1110004,9.0367899269582e-12,1.2117344958908266e-09,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Mrpl33,6.799764,1.5213467,1.0479048015089374e-11,1.39556682307078e-09,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl37a,6.756555,0.78552306,1.4131137362316575e-11,1.869224838797781e-09,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Sdcbp,6.746172,1.3371722,1.517966350724887e-11,1.9944447817544374e-09,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Selenof,6.72798,1.21788,1.720343639977373e-11,2.2452778293224687e-09,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Dad1,6.6897745,1.3770412,2.2351494933561192e-11,2.8695931962307663e-09,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps15,6.689283,0.8014152,2.242671292962697e-11,2.8695931962307663e-09,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Atp5b,6.683426,1.0061431,2.3341972566314112e-11,2.9673103696800738e-09,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Pomp,6.6596665,0.9204916,2.7444926298828588e-11,3.466382723562369e-09,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl21,6.6583076,0.9421098,2.769990232147375e-11,3.4761601778685364e-09,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Uqcr11,6.6509614,1.0223788,2.911850203536791e-11,3.630910282461131e-09,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Oaz1,6.64227,0.8962897,3.0888805444986506e-11,3.827279393648739e-09,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ppib,6.641316,1.1380864,3.1089518227167286e-11,3.82792137316512e-09,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Cox4i1,6.6245265,0.7948772,3.483627419518409e-11,4.262435874494493e-09,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Fau,6.583443,0.86968756,4.5967657426043163e-11,5.589495834966751e-09,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Uqcr10,6.550501,1.1065482,5.7344342628301744e-11,6.929816022433725e-09,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Banf1,6.545599,1.3249962,5.925745845190723e-11,7.11707523995698e-09,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Tmem256,6.497386,1.2236576,8.172754884273965e-11,9.755976973745818e-09,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Pkm,6.4817395,1.1066059,9.067120212660707e-11,1.0758000751712647e-08,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Litaf,6.4560857,1.8016688,1.0744583763540669e-10,1.2671488936074439e-08,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl30,6.452615,0.8807148,1.0993640532138582e-10,1.2887574892076468e-08,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
BC028528,6.4278,0.8638014,1.2946389998331382e-10,1.508639744031747e-08,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Atp5g1,6.3564496,1.780818,2.0646993199383745e-10,2.3776834462607976e-08,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Chchd2,6.3517933,0.78787494,2.12819120926397e-10,2.436467795541564e-08,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Timm10b,6.3473973,1.5258803,2.1898820000986569e-10,2.4925185997634538e-08,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Edn1,6.3203263,1.1813709,2.610115145432464e-10,2.9536545781578813e-08,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Xbp1,6.295367,1.4127,3.0667389396796906e-10,3.450433805868351e-08,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ubl5,6.2833495,0.9821935,3.3135451918780296e-10,3.706815669794068e-08,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Nop10,6.2645073,1.3113915,3.740064864003894e-10,4.160184650147968e-08,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Vwa1,6.2560906,0.8136177,3.947468505007179e-10,4.3660785831935337e-08,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Pdia6,6.208688,1.4248579,5.342881423872283e-10,5.876269080626274e-08,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ssr4,6.203771,1.3663723,5.512592296492723e-10,6.029051362482571e-08,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Npm1,6.1818485,1.1516514,6.335535542751003e-10,6.890598851135356e-08,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Cox5b,6.1788692,1.0752709,6.45622576322581e-10,6.983068053407275e-08,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps24,6.1596217,0.6881233,7.291881707756676e-10,7.843580669931453e-08,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Arpc1b,6.148487,0.7763664,7.822553175447465e-10,8.347253558387981e-08,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl22l1,6.148024,1.2479924,7.845403558989571e-10,8.347253558387981e-08,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Dynll1,6.134561,0.7504552,8.539460441889527e-10,9.036595517344393e-08,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Mrpl52,6.1303096,1.4103895,8.770821822523216e-10,9.231525742985862e-08,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Tubb5,6.1271424,1.1525314,8.947124154213712e-10,9.366729923371222e-08,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Pfn1,6.1120167,0.8960803,9.837999250490343e-10,1.0244601666321778e-07,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Col4a2,6.1074324,1.406266,1.0124666576802325e-09,1.0487333204976673e-07,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Slc25a3,6.1020384,1.1313775,1.0472415355318e-09,1.0790446074266341e-07,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Glul,6.065698,0.72541755,1.3138168310201894e-09,1.3386823572917164e-07,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Naca,6.0649753,0.8500326,1.3197409968703135e-09,1.3386823572917164e-07,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Hspe1,6.057716,2.0106504,1.3806813045947236e-09,1.3932782422706652e-07,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Fxyd5,6.006929,0.7472329,1.8907038589063844e-09,1.8981697151697585e-07,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ndufb6,5.9954324,1.413688,2.029446466981812e-09,2.0270649736787212e-07,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Uqcrb,5.9884768,0.8638129,2.118154280986744e-09,2.1049292567958115e-07,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Calr,5.9718757,0.82705337,2.3454137839986953e-09,2.318998265118306e-07,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Eif5a,5.959063,1.1549588,2.5368799822873893e-09,2.4957034881025236e-07,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Mif,5.954233,1.6276603,2.6129394732267933e-09,2.557675803368047e-07,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Tomm7,5.948507,0.8751437,2.705998058345954e-09,2.6355882581213306e-07,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ndufa8,5.9350004,1.2150738,2.93845160972984e-09,2.8337964120039943e-07,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Hnrnpa3,5.9283195,1.1836135,3.060510698235368e-09,2.9370400950663627e-07,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Col4a1,5.8929768,1.2002103,3.7929989809189534e-09,3.6222215146073345e-07,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Psmb6,5.888378,0.9860673,3.900039895108223e-09,3.706363156627849e-07,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ch25h,5.87438,2.4369702,4.244289478242782e-09,4.0140316480946346e-07,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rack1,5.863881,0.79457814,4.521707861241669e-09,4.2558401345927003e-07,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Atox1,5.8488708,0.6986306,4.949211824484592e-09,4.635919611862912e-07,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Clic1,5.8418427,0.90714854,5.162650354654913e-09,4.812819333003773e-07,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
S100a6,5.8319225,2.1203437,5.479232737761061e-09,5.083741199390915e-07,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Atp5d,5.734051,1.1122148,9.805982486820261e-09,8.97064108151777e-07,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Cd81,5.732055,0.75573695,9.922085724085612e-09,9.034635917229025e-07,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Cox8a,5.7284403,0.84624994,1.0135829662962289e-08,9.186534134806144e-07,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ndufa11,5.6915936,1.1965555,1.2585906664665472e-08,1.1354575796044054e-06,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Psma3,5.6766267,1.2789501,1.3737688081061818e-08,1.233682199830033e-06,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Taldo1,5.6701336,1.1680936,1.426861631273204e-08,1.2755100527596125e-06,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl39,5.65923,0.74299383,1.5205356741603197e-08,1.3474009347562668e-06,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps28,5.659172,0.74482167,1.5210482023861418e-08,1.3474009347562668e-06,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl23,5.6484423,0.7196885,1.6190822372163406e-08,1.421499499137737e-06,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
P4hb,5.6412697,1.2683312,1.6880078598420834e-08,1.4752736550057352e-06,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Pim3,5.637452,1.0318307,1.725847528189995e-08,1.501640758194468e-06,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Capzb,5.635254,0.9478995,1.748006331419097e-08,1.514191148238569e-06,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Manf,5.624061,1.3628088,1.865196211363486e-08,1.6085879396415403e-06,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Pkig,5.6220946,1.1457231,1.8865609796482616e-08,1.6198773815164042e-06,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Psma6,5.606332,0.9772165,2.0665937855788463e-08,1.766712075994632e-06,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ndufb2,5.598827,1.2144661,2.1580730653897646e-08,1.8289435671487194e-06,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Atp5j,5.595949,0.6949137,2.1941814379703502e-08,1.851529741859722e-06,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
