"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
12.8349846074479,6.41749230372394,7.40322870037472,0.00135828638279961,0.174380489158553,-2.89654083808818,"CUX1"
-11.129832532408,5.56491626620402,-6.5050543604562,0.00227374679849707,0.174380489158553,-2.96560083339826,"CD40LG"
10.9289381839224,5.46446909196121,6.50104008856778,0.00227929316698415,0.174380489158553,-2.96596248315896,"MAOA"
11.0432853243325,5.52164266216625,6.38239637681902,0.00245089426794293,0.174380489158553,-2.97689878798578,"COPS5"
10.7633390965823,5.38166954829117,6.36938485246825,0.00247065333517854,0.174380489158553,-2.97812792122889,"HOXA5"
10.4689121203562,5.2344560601781,6.22099336287868,0.00271026081317272,0.174380489158553,-2.99258034352814,"ASCL1"
10.7541440104834,5.37707200524169,6.21882316954313,0.00271396920510803,0.174380489158553,-2.99279778963807,"TADA3"
10.6031973484297,5.30159867421484,6.17816976737172,0.00278458797759097,0.174380489158553,-2.99690451322848,"GAD1"
10.3609868342253,5.18049341711264,6.16123056934703,0.00281466950430447,0.174380489158553,-2.99863456317334,"FOXK2"
10.4994142825894,5.24970714129468,6.13114515974831,0.00286907419099591,0.174380489158553,-3.00173504357781,"ATN1"
12.0347287672963,6.01736438364816,6.0929954771985,0.00293990699555318,0.174380489158553,-3.0057183817649,"CD33"
10.5100727095307,5.25503635476536,6.03390978853291,0.00305384410154568,0.174380489158553,-3.01200433761266,"HIF1A"
10.4366185634585,5.21830928172925,5.97839854649003,0.00316579741353113,0.174380489158553,-3.01804230723388,"PIM1"
11.083232834566,5.54161641728299,5.97091206399503,0.00318127361798918,0.174380489158553,-3.01886661280573,"SCG5"
9.96206572565655,4.98103286282827,5.90591054217129,0.00331957080814462,0.174380489158553,-3.02612561495189,"PNOC"
10.0698031666966,5.03490158334829,5.86853004021102,0.00340239951016648,0.174380489158553,-3.03038433335662,"COL4A2"
10.3950741532172,5.19753707660861,5.83001037783295,0.00349038406914319,0.174380489158553,-3.03483868037945,"HSF1"
9.94385496499342,4.97192748249671,5.75392666352072,0.00367240154336703,0.174380489158553,-3.04383809456545,"RAB2A"
9.88131483797361,4.9406574189868,5.74470181365686,0.00369524268106299,0.174380489158553,-3.04494776350941,"CNBP"
10.3714200617878,5.1857100308939,5.72829189157049,0.0037363005517794,0.174380489158553,-3.04693179962446,"IRF7"
9.80005110527665,4.90002555263833,5.72154572573653,0.00375333944902737,0.174380489158553,-3.04775119999466,"TAF6L"
9.95972390741657,4.97986195370829,5.7159242589273,0.00376760948643272,0.174380489158553,-3.04843567262157,"RAPSN"
10.1470760188173,5.07353800940866,5.69321335450878,0.00382593294332256,0.174380489158553,-3.05121660100691,"P2RX6"
10.4257990928619,5.21289954643095,5.67235787668351,0.00388045545436846,0.174380489158553,-3.05379259100242,"AMPH"
9.73595048508382,4.86797524254191,5.66308644912645,0.00390499511507322,0.174380489158553,-3.05494466351271,"RALA"
