"gene_upper","n_datasets","datasets","mean_log2FC","max_log2FC","min_padj","confidence_tier"
"ZSCAN10",1,"GSE223744",1.454,1.454,0.02575,"Tier5_1dataset"
"PNO1",1,"GSE223744",1.45,1.45,0,"Tier5_1dataset"
"RAPGEF5",1,"GSE223744",1.448,1.448,3e-06,"Tier5_1dataset"
"INSL3",1,"GSE223744",1.446,1.446,0,"Tier5_1dataset"
"PCDHGB2",1,"GSE223744",1.446,1.446,8.2e-05,"Tier5_1dataset"
"RPS8",1,"GSE225948",1.444,1.444,0,"Tier5_1dataset"
"OSMR",1,"GSE223744",1.443,1.443,0,"Tier5_1dataset"
"DNAH1",1,"GSE223744",1.442,1.442,0.038738,"Tier5_1dataset"
"GM43960",1,"GSE223744",1.441,1.441,3.7e-05,"Tier5_1dataset"
"COL5A3",1,"GSE223744",1.439,1.439,0.013102,"Tier5_1dataset"
"GM4735",1,"GSE223744",1.438,1.438,0.004829,"Tier5_1dataset"
"PDLIM7",1,"GSE223744",1.438,1.438,0,"Tier5_1dataset"
"MCOLN2",1,"GSE223744",1.437,1.437,0.018932,"Tier5_1dataset"
"DEPP1",1,"GSE234052",1.436,1.436,6.1e-05,"Tier5_1dataset"
"P4HA2",1,"GSE223744",1.435,1.435,0,"Tier5_1dataset"
"ARHGDIB",1,"GSE225948",1.429,1.429,0.002123,"Tier5_1dataset"
"BIRC3",1,"GSE223744",1.429,1.429,1.5e-05,"Tier5_1dataset"
"AC170188.1",1,"GSE223744",1.427,1.427,0.021737,"Tier5_1dataset"
"PDIA6",1,"GSE225948",1.425,1.425,0,"Tier5_1dataset"
"GM11560",1,"GSE225948",1.423,1.423,0.003604,"Tier5_1dataset"
"RPL27A",1,"GSE244576",1.423,1.423,0,"Tier5_1dataset"
"RPS4X",1,"GSE244576",1.423,1.423,6e-06,"Tier5_1dataset"
"RPL3",1,"GSE225948",1.42,1.42,0,"Tier5_1dataset"
"GM11914",1,"GSE223744",1.417,1.417,0,"Tier5_1dataset"
"PTPN1",1,"GSE234052",1.416,1.416,0.029872,"Tier5_1dataset"
"GM26603",1,"GSE223744",1.414,1.414,0.042484,"Tier5_1dataset"
"NDUFB6",1,"GSE225948",1.414,1.414,0,"Tier5_1dataset"
"TNFAIP3",1,"GSE223744",1.413,1.413,0.000311,"Tier5_1dataset"
"CFAP43",1,"GSE223744",1.411,1.411,0.000212,"Tier5_1dataset"
"DPH5",1,"GSE223744",1.409,1.409,3e-06,"Tier5_1dataset"
"PLA2G6",1,"GSE223744",1.407,1.407,0.000126,"Tier5_1dataset"
"MEST",1,"GSE223744",1.404,1.404,0.009156,"Tier5_1dataset"
"PGS1",1,"GSE223744",1.404,1.404,0,"Tier5_1dataset"
"ZFP593",1,"GSE223744",1.404,1.404,0.00013,"Tier5_1dataset"
"PCDHGA2",1,"GSE223744",1.402,1.402,0.011104,"Tier5_1dataset"
"CCHCR1",1,"GSE223744",1.401,1.401,9.3e-05,"Tier5_1dataset"
"IMPDH2-PS",1,"GSE223744",1.401,1.401,0.007021,"Tier5_1dataset"
"SHMT1",1,"GSE223744",1.401,1.401,0.028659,"Tier5_1dataset"
"D030028A08RIK",1,"GSE223744",1.4,1.4,0.000253,"Tier5_1dataset"
"CPE",1,"GSE225948",1.399,1.399,0.006215,"Tier5_1dataset"
"FGFR3",1,"GSE223744",1.399,1.399,1.8e-05,"Tier5_1dataset"
"GM38043",1,"GSE223744",1.398,1.398,0.030364,"Tier5_1dataset"
"STAMBPL1",1,"GSE223744",1.398,1.398,0.00015,"Tier5_1dataset"
"BTG2",1,"GSE234052",1.396,1.396,1e-06,"Tier5_1dataset"
"EVI2",1,"GSE223744",1.396,1.396,0.01316,"Tier5_1dataset"
"COX7B",1,"GSE225948",1.395,1.395,0,"Tier5_1dataset"
"EMILIN1",1,"GSE223744",1.395,1.395,4e-06,"Tier5_1dataset"
"SPC25",1,"GSE223744",1.395,1.395,0.001052,"Tier5_1dataset"
"TSPAN4",1,"GSE225948",1.395,1.395,0.000229,"Tier5_1dataset"
"ETV5",1,"GSE223744",1.392,1.392,8.3e-05,"Tier5_1dataset"
"LDB2",1,"GSE223744",1.391,1.391,4.8e-05,"Tier5_1dataset"
"TNFAIP2",1,"GSE223744",1.39,1.39,0.042131,"Tier5_1dataset"
"ZFP64",1,"GSE223744",1.39,1.39,0.001469,"Tier5_1dataset"
"PTGER4",1,"GSE223744",1.389,1.389,0.002007,"Tier5_1dataset"
"SLCO5A1",1,"GSE223744",1.385,1.385,0.042987,"Tier5_1dataset"
"POLR3D",1,"GSE223744",1.384,1.384,2.4e-05,"Tier5_1dataset"
"NOL10",1,"GSE223744",1.383,1.383,3.7e-05,"Tier5_1dataset"
"PAKAP",1,"GSE223744",1.383,1.383,3.2e-05,"Tier5_1dataset"
"CUBN",1,"GSE223744",1.382,1.382,0.047695,"Tier5_1dataset"
"CLCN5",1,"GSE223744",1.381,1.381,0.000797,"Tier5_1dataset"
"SMIM7",1,"GSE225948",1.379,1.379,0.023421,"Tier5_1dataset"
"1700001C19RIK",1,"GSE223744",1.378,1.378,0.008087,"Tier5_1dataset"
"FIGNL2",1,"GSE223744",1.378,1.378,0.010054,"Tier5_1dataset"
"DAD1",1,"GSE225948",1.377,1.377,0,"Tier5_1dataset"
"SEMA6B",1,"GSE223744",1.377,1.377,1.1e-05,"Tier5_1dataset"
"NPTXR",1,"GSE223744",1.376,1.376,0.011474,"Tier5_1dataset"
"S1PR1",1,"GSE223744",1.376,1.376,0,"Tier5_1dataset"
"ALG8",1,"GSE223744",1.374,1.374,3e-06,"Tier5_1dataset"
"CD38",1,"GSE223744",1.374,1.374,0,"Tier5_1dataset"
"CEP85",1,"GSE223744",1.373,1.373,1.6e-05,"Tier5_1dataset"
"FAM149A",1,"GSE223744",1.373,1.373,0.000718,"Tier5_1dataset"
"GM39090",1,"GSE223744",1.373,1.373,0.008276,"Tier5_1dataset"
"1700030C10RIK",1,"GSE223744",1.372,1.372,0.036254,"Tier5_1dataset"
"PTGDS",1,"GSE244576",1.371,1.371,0,"Tier5_1dataset"
"A030001D20RIK",1,"GSE223744",1.37,1.37,0,"Tier5_1dataset"
"SSR4",1,"GSE225948",1.366,1.366,0,"Tier5_1dataset"
"TAF4B",1,"GSE223744",1.365,1.365,1.2e-05,"Tier5_1dataset"
"TCP1",1,"GSE225948",1.365,1.365,0.004811,"Tier5_1dataset"
"RAC1",1,"GSE244576",1.362,1.362,0.027916,"Tier5_1dataset"
"SLC7A5",1,"GSE300442",1.362,1.362,0,"Tier5_1dataset"
"FMNL2",1,"GSE223744",1.361,1.361,0,"Tier5_1dataset"
"H2AFJ",1,"GSE225948",1.36,1.36,0.000126,"Tier5_1dataset"
"GM7809",1,"GSE223744",1.356,1.356,0.014544,"Tier5_1dataset"
"PCDHB15",1,"GSE223744",1.356,1.356,0.003808,"Tier5_1dataset"
"TECRL",1,"GSE300442",1.356,1.356,0,"Tier5_1dataset"
"2700038G22RIK",1,"GSE223744",1.355,1.355,0.013861,"Tier5_1dataset"
"COX5A",1,"GSE225948",1.355,1.355,0,"Tier5_1dataset"
"TTPAL",1,"GSE223744",1.354,1.354,0,"Tier5_1dataset"
"CDH13",1,"GSE223744",1.351,1.351,0,"Tier5_1dataset"
"LAMC3",1,"GSE300442",1.351,1.351,0,"Tier5_1dataset"
"NLN",1,"GSE223744",1.35,1.35,4.1e-05,"Tier5_1dataset"
"RPS6KA3",1,"GSE223744",1.35,1.35,0,"Tier5_1dataset"
"AGPAT5",1,"GSE223744",1.349,1.349,0,"Tier5_1dataset"
"CSF2RA",1,"GSE223744",1.349,1.349,0.049636,"Tier5_1dataset"
"MRPL20",1,"GSE225948",1.346,1.346,0.000186,"Tier5_1dataset"
"9830144P21RIK",1,"GSE223744",1.345,1.345,0.003499,"Tier5_1dataset"
"SSR2",1,"GSE225948",1.345,1.345,9.5e-05,"Tier5_1dataset"
"ADARB1",1,"GSE223744",1.344,1.344,0,"Tier5_1dataset"
"HN1L",1,"GSE223744",1.343,1.343,0,"Tier5_1dataset"
"CNN3",1,"GSE223744",1.342,1.342,0,"Tier5_1dataset"
"GM5127",1,"GSE223744",1.342,1.342,0.001302,"Tier5_1dataset"
"TCEAL9",1,"GSE223744",1.342,1.342,0,"Tier5_1dataset"
"PIGW",1,"GSE223744",1.341,1.341,0.004561,"Tier5_1dataset"
"GSTCD",1,"GSE223744",1.34,1.34,9e-06,"Tier5_1dataset"
"SDF2L1",1,"GSE223744",1.34,1.34,3e-06,"Tier5_1dataset"
"1810055G02RIK",1,"GSE223744",1.339,1.339,0.005135,"Tier5_1dataset"
"ARRDC3",1,"GSE223744",1.339,1.339,0,"Tier5_1dataset"
"FGFR1",1,"GSE223744",1.339,1.339,0,"Tier5_1dataset"
"IL3RA",1,"GSE223744",1.339,1.339,0,"Tier5_1dataset"
"SLC4A7",1,"GSE223744",1.339,1.339,0,"Tier5_1dataset"
"RINL",1,"GSE223744",1.338,1.338,7e-05,"Tier5_1dataset"
"AKAP2",1,"GSE223744",1.335,1.335,0,"Tier5_1dataset"
"BYSL",1,"GSE223744",1.335,1.335,0,"Tier5_1dataset"
"CTTNBP2NL",1,"GSE223744",1.335,1.335,2e-06,"Tier5_1dataset"
"GM20390",1,"GSE223744",1.335,1.335,0,"Tier5_1dataset"
"PCDHB16",1,"GSE223744",1.335,1.335,0,"Tier5_1dataset"
"STAT3",1,"GSE223744",1.335,1.335,0,"Tier5_1dataset"
"EEF1E1",1,"GSE223744",1.332,1.332,0,"Tier5_1dataset"
"VCAM1",1,"GSE223744",1.329,1.329,2e-06,"Tier5_1dataset"
"PCDHGA12",1,"GSE223744",1.328,1.328,0.000382,"Tier5_1dataset"
"GM44045",1,"GSE223744",1.326,1.326,0.046845,"Tier5_1dataset"
"BANF1",1,"GSE225948",1.325,1.325,0,"Tier5_1dataset"
"ATP5MPL",1,"GSE225948",1.324,1.324,0,"Tier5_1dataset"
"MICALL1",1,"GSE223744",1.321,1.321,2e-06,"Tier5_1dataset"
