"gene_upper","n_datasets","datasets","mean_log2FC","max_log2FC","min_padj","confidence_tier"
"PDIA4",1,"GSE225948",1.2,1.2,0.021257,"Tier5_1dataset"
"NDUFA11",1,"GSE225948",1.197,1.197,1e-06,"Tier5_1dataset"
"CYP1B1",1,"GSE223744",1.196,1.196,0.001329,"Tier5_1dataset"
"PSMA2",1,"GSE225948",1.195,1.195,0,"Tier5_1dataset"
"TAGLN2",1,"GSE223744",1.194,1.194,0,"Tier5_1dataset"
"ZFP36",1,"GSE225948",1.194,1.194,0.016143,"Tier5_1dataset"
"MAP2K3",1,"GSE223744",1.192,1.192,6e-06,"Tier5_1dataset"
"GM20735",1,"GSE223744",1.191,1.191,0.040842,"Tier5_1dataset"
"ADAM11",1,"GSE223744",1.19,1.19,0.000649,"Tier5_1dataset"
"SCO2",1,"GSE223744",1.188,1.188,0.01521,"Tier5_1dataset"
"CAR5A",1,"GSE300442",1.187,1.187,0,"Tier5_1dataset"
"HINT1",1,"GSE225948",1.187,1.187,0,"Tier5_1dataset"
"CLIP1",1,"GSE300442",1.186,1.186,0,"Tier5_1dataset"
"RAPGEF1",1,"GSE223744",1.186,1.186,1e-06,"Tier5_1dataset"
"B4GALT5",1,"GSE223744",1.185,1.185,5e-06,"Tier5_1dataset"
"HNRNPA3",1,"GSE225948",1.184,1.184,0,"Tier5_1dataset"
"CKS1B",1,"GSE223744",1.183,1.183,0.020817,"Tier5_1dataset"
"RIN3",1,"GSE223744",1.182,1.182,1e-06,"Tier5_1dataset"
"UNG",1,"GSE223744",1.182,1.182,0.011708,"Tier5_1dataset"
"DDC",1,"GSE300442",1.181,1.181,0,"Tier5_1dataset"
"EDN1",1,"GSE225948",1.181,1.181,0,"Tier5_1dataset"
"PCDHGA6",1,"GSE223744",1.18,1.18,0.000817,"Tier5_1dataset"
"AC166323.1",1,"GSE223744",1.179,1.179,0.018308,"Tier5_1dataset"
"CMTM3",1,"GSE223744",1.179,1.179,0.000159,"Tier5_1dataset"
"PXN",1,"GSE223744",1.179,1.179,3e-06,"Tier5_1dataset"
"RASSF1",1,"GSE223744",1.179,1.179,1.6e-05,"Tier5_1dataset"
"RPS10",1,"GSE244576",1.179,1.179,1e-06,"Tier5_1dataset"
"ANXA7",1,"GSE223744",1.178,1.178,0,"Tier5_1dataset"
"PRNP",1,"GSE223744",1.178,1.178,4e-06,"Tier5_1dataset"
"MEGF11",1,"GSE223744",1.176,1.176,0.015773,"Tier5_1dataset"
"MVP",1,"GSE223744",1.176,1.176,1e-06,"Tier5_1dataset"
"PGM2L1",1,"GSE223744",1.174,1.174,6e-05,"Tier5_1dataset"
"PCDHGB5",1,"GSE223744",1.173,1.173,0.001064,"Tier5_1dataset"
"ACTN1",1,"GSE223744",1.172,1.172,2.4e-05,"Tier5_1dataset"
"IRAK2",1,"GSE223744",1.171,1.171,0.000315,"Tier5_1dataset"
"HACD1",1,"GSE223744",1.17,1.17,0.000941,"Tier5_1dataset"
"GM17638",1,"GSE223744",1.168,1.168,0.04221,"Tier5_1dataset"
"GM7666",1,"GSE223744",1.168,1.168,0.00039,"Tier5_1dataset"
"TALDO1",1,"GSE225948",1.168,1.168,1e-06,"Tier5_1dataset"
"UBC",1,"GSE244576",1.167,1.167,0.005913,"Tier5_1dataset"
"NSMCE1",1,"GSE225948",1.165,1.165,0.002493,"Tier5_1dataset"
"COQ10B",1,"GSE223744",1.164,1.164,0,"Tier5_1dataset"
"GM45053",1,"GSE223744",1.164,1.164,0.047667,"Tier5_1dataset"
"SMAD1",1,"GSE234052",1.164,1.164,7e-06,"Tier5_1dataset"
"TBC1D4",1,"GSE300442",1.164,1.164,0,"Tier5_1dataset"
"TREX1",1,"GSE223744",1.164,1.164,0.000942,"Tier5_1dataset"
"LIPE",1,"GSE223744",1.163,1.163,0,"Tier5_1dataset"
"MCFD2",1,"GSE225948",1.162,1.162,0.017009,"Tier5_1dataset"
"NAV2",1,"GSE223744",1.162,1.162,0,"Tier5_1dataset"
"XDH",1,"GSE300442",1.162,1.162,0,"Tier5_1dataset"
"ECE1",1,"GSE223744",1.159,1.159,1.7e-05,"Tier5_1dataset"
"RBBP8",1,"GSE223744",1.159,1.159,5.5e-05,"Tier5_1dataset"
"ZYX",1,"GSE223744",1.159,1.159,0.000127,"Tier5_1dataset"
"TNFRSF11A",1,"GSE223744",1.158,1.158,8e-06,"Tier5_1dataset"
"EIF5A",1,"GSE225948",1.155,1.155,0,"Tier5_1dataset"
"HSP90AA1",1,"GSE234052",1.155,1.155,0.000565,"Tier5_1dataset"
"SMAD6",1,"GSE223744",1.155,1.155,0.000664,"Tier5_1dataset"
"MFSD2A",1,"GSE300442",1.154,1.154,0,"Tier5_1dataset"
"MPZL3",1,"GSE223744",1.153,1.153,0.023058,"Tier5_1dataset"
"MRPL17",1,"GSE225948",1.153,1.153,0.002925,"Tier5_1dataset"
"RPL21",1,"GSE244576",1.153,1.153,2e-06,"Tier5_1dataset"
"TUBB5",1,"GSE225948",1.153,1.153,0,"Tier5_1dataset"
"NPM1",1,"GSE225948",1.152,1.152,0,"Tier5_1dataset"
"CCT6A",1,"GSE225948",1.151,1.151,1.5e-05,"Tier5_1dataset"
"RAD54L",1,"GSE223744",1.151,1.151,0.031456,"Tier5_1dataset"
"RAB11A",1,"GSE225948",1.15,1.15,0,"Tier5_1dataset"
"SEMA7A",1,"GSE223744",1.15,1.15,0,"Tier5_1dataset"
"ATP5J2",1,"GSE225948",1.149,1.149,0,"Tier5_1dataset"
"BCL6",1,"GSE223744",1.149,1.149,0,"Tier5_1dataset"
"SEMA4C",1,"GSE223744",1.144,1.144,0.003344,"Tier5_1dataset"
"NECTIN2",1,"GSE223744",1.143,1.143,6.3e-05,"Tier5_1dataset"
"HDAC6",1,"GSE223744",1.141,1.141,2e-05,"Tier5_1dataset"
"NUCB2",1,"GSE223744",1.141,1.141,8.5e-05,"Tier5_1dataset"
"GM1821",1,"GSE225948",1.14,1.14,0.000155,"Tier5_1dataset"
"RPL10-PS1",1,"GSE223744",1.14,1.14,1e-06,"Tier5_1dataset"
"PPIB",1,"GSE225948",1.138,1.138,0,"Tier5_1dataset"
"PPP1R9B",1,"GSE223744",1.138,1.138,0,"Tier5_1dataset"
"UQCRQ",1,"GSE225948",1.138,1.138,0,"Tier5_1dataset"
"ABCA1",1,"GSE223744",1.136,1.136,4.3e-05,"Tier5_1dataset"
"DRAM1",1,"GSE223744",1.136,1.136,0.00261,"Tier5_1dataset"
"MBNL1",1,"GSE234052",1.136,1.136,0.001454,"Tier5_1dataset"
"PPP1R2",1,"GSE223744",1.136,1.136,0,"Tier5_1dataset"
"SH2D3C",1,"GSE223744",1.136,1.136,6.2e-05,"Tier5_1dataset"
"TNFAIP1",1,"GSE223744",1.136,1.136,1e-06,"Tier5_1dataset"
"AEN",1,"GSE223744",1.135,1.135,0,"Tier5_1dataset"
"HSP90AB1",1,"GSE225948",1.135,1.135,0,"Tier5_1dataset"
"MCU",1,"GSE223744",1.134,1.134,1.8e-05,"Tier5_1dataset"
"IQGAP1",1,"GSE234052",1.133,1.133,0.008926,"Tier5_1dataset"
"SEC11C",1,"GSE225948",1.133,1.133,0.005545,"Tier5_1dataset"
"EEF1D",1,"GSE225948",1.131,1.131,2.1e-05,"Tier5_1dataset"
"SLC25A3",1,"GSE225948",1.131,1.131,0,"Tier5_1dataset"
"CTGF",1,"GSE223744",1.13,1.13,0.000162,"Tier5_1dataset"
"TMA16",1,"GSE223744",1.13,1.13,0,"Tier5_1dataset"
"COX7C",1,"GSE225948",1.126,1.126,0,"Tier5_1dataset"
"MRPS18B",1,"GSE223744",1.126,1.126,0,"Tier5_1dataset"
"CHRNB1",1,"GSE223744",1.125,1.125,0,"Tier5_1dataset"
"TIMP3",1,"GSE223744",1.125,1.125,5.3e-05,"Tier5_1dataset"
"BMP1",1,"GSE223744",1.124,1.124,0.000224,"Tier5_1dataset"
"GIMAP9",1,"GSE223744",1.12,1.12,1e-06,"Tier5_1dataset"
"PTGIS",1,"GSE223744",1.12,1.12,0.038213,"Tier5_1dataset"
"CPM",1,"GSE223744",1.119,1.119,0.000526,"Tier5_1dataset"
"RASIP1",1,"GSE223744",1.119,1.119,0.002772,"Tier5_1dataset"
"COL18A1",1,"GSE223744",1.118,1.118,0.0024,"Tier5_1dataset"
"DENND4A",1,"GSE223744",1.117,1.117,0.00015,"Tier5_1dataset"
"PSMB1",1,"GSE225948",1.117,1.117,0,"Tier5_1dataset"
"A930006L05RIK",1,"GSE223744",1.116,1.116,0.006328,"Tier5_1dataset"
"AVPI1",1,"GSE223744",1.116,1.116,3e-06,"Tier5_1dataset"
"PSMA1",1,"GSE225948",1.116,1.116,7e-06,"Tier5_1dataset"
"FCER1G",1,"GSE310324",1.113,1.113,0.038217,"Tier5_1dataset"
"TRMT10A",1,"GSE223744",1.113,1.113,0.000246,"Tier5_1dataset"
"ATP5D",1,"GSE225948",1.112,1.112,1e-06,"Tier5_1dataset"
"BCL3",1,"GSE223744",1.112,1.112,0.018848,"Tier5_1dataset"
"MYO1C",1,"GSE223744",1.112,1.112,0,"Tier5_1dataset"
"TMEM150A",1,"GSE223744",1.112,1.112,0.016947,"Tier5_1dataset"
"MINOS1",1,"GSE225948",1.111,1.111,0,"Tier5_1dataset"
"S100A16",1,"GSE225948",1.11,1.11,0,"Tier5_1dataset"
"SLC38A2",1,"GSE234052",1.11,1.11,0.000972,"Tier5_1dataset"
"FUCA2",1,"GSE223744",1.108,1.108,0,"Tier5_1dataset"
"RASL10A",1,"GSE223744",1.108,1.108,0.017952,"Tier5_1dataset"
"POLR1E",1,"GSE223744",1.107,1.107,9.2e-05,"Tier5_1dataset"
"RRP15",1,"GSE223744",1.107,1.107,0,"Tier5_1dataset"
"UQCR10",1,"GSE225948",1.107,1.107,0,"Tier5_1dataset"
"CCT5",1,"GSE225948",1.101,1.101,0.000644,"Tier5_1dataset"
"ISM1",1,"GSE300442",1.101,1.101,0,"Tier5_1dataset"
"RPL19-PS11",1,"GSE223744",1.101,1.101,0.000554,"Tier5_1dataset"
"GHR",1,"GSE223744",1.1,1.1,3e-06,"Tier5_1dataset"
"PTPN12",1,"GSE223744",1.1,1.1,3e-06,"Tier5_1dataset"
"TSPO",1,"GSE225948",1.1,1.1,0,"Tier5_1dataset"
"FAU",1,"GSE244576",1.098,1.098,0,"Tier5_1dataset"
"LRRC8D",1,"GSE223744",1.096,1.096,9.5e-05,"Tier5_1dataset"
"TXNIP",1,"GSE223744",1.096,1.096,0.000167,"Tier5_1dataset"
"GM45102",1,"GSE223744",1.095,1.095,0.010166,"Tier5_1dataset"
"KCNQ1",1,"GSE223744",1.095,1.095,8e-06,"Tier5_1dataset"
"SLC16A1",1,"GSE300442",1.095,1.095,0,"Tier5_1dataset"
"TRAM1",1,"GSE225948",1.094,1.094,0.027277,"Tier5_1dataset"
"ARF4",1,"GSE225948",1.093,1.093,0.000613,"Tier5_1dataset"
"PEBP1",1,"GSE225948",1.092,1.092,0.013943,"Tier5_1dataset"
"TIMM13",1,"GSE225948",1.092,1.092,0.000167,"Tier5_1dataset"
"TIMM8A1",1,"GSE223744",1.092,1.092,5e-06,"Tier5_1dataset"
"CCNY",1,"GSE223744",1.091,1.091,0,"Tier5_1dataset"
"SNRK",1,"GSE223744",1.091,1.091,0.000313,"Tier5_1dataset"
"HSPB8",1,"GSE223744",1.09,1.09,0,"Tier5_1dataset"
"DISC1",1,"GSE223744",1.089,1.089,0.002681,"Tier5_1dataset"
"TMEM176B",1,"GSE223744",1.089,1.089,0,"Tier5_1dataset"
"APAF1",1,"GSE223744",1.088,1.088,6.6e-05,"Tier5_1dataset"
"UQCRFS1",1,"GSE225948",1.088,1.088,0.026093,"Tier5_1dataset"
"TOP1MT",1,"GSE223744",1.087,1.087,2.3e-05,"Tier5_1dataset"
"TPRN",1,"GSE223744",1.087,1.087,0,"Tier5_1dataset"
"CALR",1,"GSE234052",1.086,1.086,0,"Tier5_1dataset"
"PGK1",1,"GSE234052",1.086,1.086,7e-06,"Tier5_1dataset"
"VASP",1,"GSE223744",1.086,1.086,1.1e-05,"Tier5_1dataset"
"CORO1C",1,"GSE223744",1.085,1.085,1e-06,"Tier5_1dataset"
"CTSZ",1,"GSE225948",1.084,1.084,0.020599,"Tier5_1dataset"
"GM4540",1,"GSE223744",1.084,1.084,0.026117,"Tier5_1dataset"
"ADGRG1",1,"GSE223744",1.082,1.082,0,"Tier5_1dataset"
"PCDHGA8",1,"GSE223744",1.082,1.082,0.011928,"Tier5_1dataset"
"PMAIP1",1,"GSE223744",1.081,1.081,1e-06,"Tier5_1dataset"
"PSMB4",1,"GSE225948",1.081,1.081,5e-06,"Tier5_1dataset"
"RPN2",1,"GSE225948",1.08,1.08,0.011176,"Tier5_1dataset"
"RALGAPA2",1,"GSE223744",1.079,1.079,0.000117,"Tier5_1dataset"
"VCP",1,"GSE225948",1.077,1.077,0.000144,"Tier5_1dataset"
"CALM3",1,"GSE225948",1.075,1.075,0.031242,"Tier5_1dataset"
"COX5B",1,"GSE225948",1.075,1.075,0,"Tier5_1dataset"
"PCBP1",1,"GSE225948",1.075,1.075,8.8e-05,"Tier5_1dataset"
"BUD31",1,"GSE225948",1.074,1.074,0.013892,"Tier5_1dataset"
"B3GLCT",1,"GSE223744",1.073,1.073,5.3e-05,"Tier5_1dataset"
"FAM107B",1,"GSE223744",1.071,1.071,0.00033,"Tier5_1dataset"
"PTMA",1,"GSE244576",1.07,1.07,0.005245,"Tier5_1dataset"
"TICAM1",1,"GSE223744",1.069,1.069,0.00886,"Tier5_1dataset"
"ABTB2",1,"GSE223744",1.068,1.068,0.003951,"Tier5_1dataset"
"SNRPD2",1,"GSE225948",1.067,1.067,0.000887,"Tier5_1dataset"
"FLT4",1,"GSE223744",1.066,1.066,0,"Tier5_1dataset"
"RNF144B",1,"GSE300442",1.066,1.066,0,"Tier5_1dataset"
"ERN1",1,"GSE223744",1.065,1.065,0.000401,"Tier5_1dataset"
"GRASP",1,"GSE223744",1.065,1.065,0.004507,"Tier5_1dataset"
"RPN1",1,"GSE225948",1.065,1.065,0.042438,"Tier5_1dataset"
"CHCHD1",1,"GSE225948",1.064,1.064,0.003982,"Tier5_1dataset"
"EHD1",1,"GSE223744",1.064,1.064,0,"Tier5_1dataset"
"SHANK3",1,"GSE223744",1.064,1.064,4e-06,"Tier5_1dataset"
"PNP",1,"GSE223744",1.063,1.063,0,"Tier5_1dataset"
"PSMA4",1,"GSE225948",1.063,1.063,0.000106,"Tier5_1dataset"
"GM42611",1,"GSE223744",1.062,1.062,0.021561,"Tier5_1dataset"
"TNFRSF1B",1,"GSE223744",1.062,1.062,1.2e-05,"Tier5_1dataset"
"ZAP70",1,"GSE223744",1.061,1.061,3.9e-05,"Tier5_1dataset"
"GM17971",1,"GSE223744",1.06,1.06,0.015697,"Tier5_1dataset"
"NDUFS2",1,"GSE225948",1.06,1.06,0.0498,"Tier5_1dataset"
"GM13835",1,"GSE223744",1.059,1.059,0.008352,"Tier5_1dataset"
"ATP5H",1,"GSE225948",1.058,1.058,0,"Tier5_1dataset"
"RRAS",1,"GSE234052",1.057,1.057,0.010084,"Tier5_1dataset"
"BRK1",1,"GSE225948",1.056,1.056,3.3e-05,"Tier5_1dataset"
"COX8A",1,"GSE244576",1.055,1.055,0.012699,"Tier5_1dataset"
"DUSP6",1,"GSE234052",1.055,1.055,0.001228,"Tier5_1dataset"
"PDK4",1,"GSE223744",1.054,1.054,0.024937,"Tier5_1dataset"
"ATRNL1",1,"GSE223744",1.053,1.053,4.8e-05,"Tier5_1dataset"
"UFC1",1,"GSE225948",1.053,1.053,0.040637,"Tier5_1dataset"
"GM45716",1,"GSE223744",1.052,1.052,0.002606,"Tier5_1dataset"
"PSME2",1,"GSE225948",1.052,1.052,0.000589,"Tier5_1dataset"
"NOP58",1,"GSE223744",1.051,1.051,3e-06,"Tier5_1dataset"
"RANBP1",1,"GSE225948",1.051,1.051,3.9e-05,"Tier5_1dataset"
"YBX1",1,"GSE223744",1.051,1.051,0.003849,"Tier5_1dataset"
"AATK",1,"GSE223744",1.05,1.05,0.000261,"Tier5_1dataset"
"MPP6",1,"GSE223744",1.05,1.05,0.001845,"Tier5_1dataset"
"RPP40",1,"GSE223744",1.05,1.05,0.042107,"Tier5_1dataset"
"BC026585",1,"GSE223744",1.049,1.049,0.04982,"Tier5_1dataset"
"LRRC59",1,"GSE234052",1.048,1.048,0.005526,"Tier5_1dataset"
"OSTC",1,"GSE225948",1.048,1.048,0.005887,"Tier5_1dataset"
"COX6A1",1,"GSE225948",1.047,1.047,0,"Tier5_1dataset"
"RNF125",1,"GSE223744",1.047,1.047,0.006537,"Tier5_1dataset"
"RTRAF",1,"GSE225948",1.047,1.047,0.000591,"Tier5_1dataset"
"GM43984",1,"GSE223744",1.046,1.046,0.025501,"Tier5_1dataset"
"RPS16-PS2",1,"GSE225948",1.044,1.044,0.001133,"Tier5_1dataset"
"GSTM7",1,"GSE300442",1.043,1.043,0,"Tier5_1dataset"
"NOS3",1,"GSE223744",1.042,1.042,3.3e-05,"Tier5_1dataset"
"TMA7",1,"GSE225948",1.042,1.042,0.011906,"Tier5_1dataset"
"SLC1A1",1,"GSE300442",1.041,1.041,0,"Tier5_1dataset"
"GMIP",1,"GSE223744",1.04,1.04,0.001542,"Tier5_1dataset"
"SUMO3",1,"GSE234052",1.04,1.04,2e-06,"Tier5_1dataset"
"FXYD7",1,"GSE223744",1.039,1.039,0.031456,"Tier5_1dataset"
"DNAJA1",1,"GSE234052",1.038,1.038,0.001567,"Tier5_1dataset"
"LPIN2",1,"GSE300442",1.038,1.038,0,"Tier5_1dataset"
"DYNC1I1",1,"GSE223744",1.037,1.037,0.019175,"Tier5_1dataset"
"EIF5",1,"GSE234052",1.037,1.037,0.002201,"Tier5_1dataset"
"RARS",1,"GSE234052",1.037,1.037,0.015245,"Tier5_1dataset"
"SPOP",1,"GSE223744",1.037,1.037,1e-06,"Tier5_1dataset"
"CCT3",1,"GSE225948",1.036,1.036,0.037069,"Tier5_1dataset"
"HMGN5",1,"GSE223744",1.036,1.036,0,"Tier5_1dataset"
"MAP4K4",1,"GSE223744",1.036,1.036,0,"Tier5_1dataset"
"EIF3K",1,"GSE225948",1.035,1.035,2.3e-05,"Tier5_1dataset"
"ITGB1",1,"GSE223744",1.034,1.034,2.4e-05,"Tier5_1dataset"
"PARK7",1,"GSE225948",1.034,1.034,2.9e-05,"Tier5_1dataset"
"CD3EAP",1,"GSE223744",1.033,1.033,0.000207,"Tier5_1dataset"
"EHBP1L1",1,"GSE223744",1.028,1.028,0,"Tier5_1dataset"
"THOC6",1,"GSE223744",1.027,1.027,2e-05,"Tier5_1dataset"
"TMEM43",1,"GSE223744",1.027,1.027,0,"Tier5_1dataset"
"SMYD5",1,"GSE223744",1.026,1.026,3.8e-05,"Tier5_1dataset"
"SOX4",1,"GSE234052",1.025,1.025,0.033881,"Tier5_1dataset"
"ARHGEF7",1,"GSE223744",1.023,1.023,4e-06,"Tier5_1dataset"
"NDUFB5",1,"GSE225948",1.023,1.023,0.000413,"Tier5_1dataset"
"SERTAD1",1,"GSE223744",1.023,1.023,5e-06,"Tier5_1dataset"
"UQCR11",1,"GSE225948",1.022,1.022,0,"Tier5_1dataset"
"HK1",1,"GSE223744",1.02,1.02,1.7e-05,"Tier5_1dataset"
"CKAP4",1,"GSE223744",1.019,1.019,0.000433,"Tier5_1dataset"
"GM15910",1,"GSE223744",1.019,1.019,0.034515,"Tier5_1dataset"
"NDUFB3",1,"GSE225948",1.019,1.019,0.000168,"Tier5_1dataset"
"SHISA5",1,"GSE223744",1.018,1.018,0,"Tier5_1dataset"
"VDAC2",1,"GSE225948",1.018,1.018,0.003934,"Tier5_1dataset"
"WNK4",1,"GSE223744",1.017,1.017,0.035365,"Tier5_1dataset"
"DCLRE1B",1,"GSE223744",1.015,1.015,1e-06,"Tier5_1dataset"
"PLEC",1,"GSE223744",1.014,1.014,0,"Tier5_1dataset"
"B2M",1,"GSE225948",1.013,1.013,0,"Tier5_1dataset"
"BTG1",1,"GSE234052",1.013,1.013,0.007465,"Tier5_1dataset"
"HNRNPA1",1,"GSE223744",1.013,1.013,0,"Tier5_1dataset"
"RABGEF1",1,"GSE223744",1.013,1.013,0.00481,"Tier5_1dataset"
"VPS29",1,"GSE225948",1.012,1.012,0.004804,"Tier5_1dataset"
"ACY1",1,"GSE223744",1.01,1.01,0,"Tier5_1dataset"
"GM4737",1,"GSE223744",1.01,1.01,3.1e-05,"Tier5_1dataset"
"GM10108",1,"GSE223744",1.009,1.009,5.9e-05,"Tier5_1dataset"
"NDUFB8",1,"GSE225948",1.009,1.009,9e-06,"Tier5_1dataset"
"EIF2S1",1,"GSE223744",1.008,1.008,0,"Tier5_1dataset"
"CDKN2AIPNL",1,"GSE223744",1.007,1.007,0,"Tier5_1dataset"
"PCDHGA4",1,"GSE223744",1.007,1.007,0.004896,"Tier5_1dataset"
"SORBS3",1,"GSE223744",1.007,1.007,0,"Tier5_1dataset"
"ATP5B",1,"GSE225948",1.006,1.006,0,"Tier5_1dataset"
"PFDN5",1,"GSE225948",1.006,1.006,0,"Tier5_1dataset"
"ROMO1",1,"GSE225948",1.006,1.006,0.00906,"Tier5_1dataset"
"PLPP1",1,"GSE223744",1.005,1.005,0.000103,"Tier5_1dataset"
"MRRF",1,"GSE223744",1.004,1.004,0,"Tier5_1dataset"
"TTLL7",1,"GSE300442",1.004,1.004,0,"Tier5_1dataset"
"NR1D2",1,"GSE223744",1.002,1.002,0.004555,"Tier5_1dataset"
"ATP1B3",1,"GSE223744",1,1,0,"Tier5_1dataset"
"EIF6",1,"GSE223744",1,1,5.3e-05,"Tier5_1dataset"
"H2-D1",1,"GSE225948",1,1,0,"Tier5_1dataset"
"ENO1",1,"GSE300564",0.825,0.825,0.003901,"Tier5_1dataset"
"CST3",1,"GSE300564",0.679,0.679,0,"Tier5_1dataset"
"ATP5K",1,"GSE300564",0.654,0.654,3e-05,"Tier5_1dataset"
"PSME1",1,"GSE300564",0.651,0.651,0.000859,"Tier5_1dataset"
"SNRNP27",1,"GSE300564",0.58,0.58,0.022365,"Tier5_1dataset"
