gene_norm,n_dataset_tp,n_datasets,datasets,cell_types,timepoints,max_log2FC,min_padj
Prmt1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.9680834,5.395202252044362e-06
Rrbp1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.96745306,5.475521293244244e-21
Rangap1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.9669519,0.0020355160883974
Slc25a3,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,0.9669233448647612,0.0005476788266344
Triobp,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.955368045642708,6.778678938026902e-06
Nsmce1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.9491479318942372,4.416874973329856e-06
Chmp4b,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.9447329708867308,0.0001653029669226
Snhg1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.9445606,0.001854098852604
Rpl29,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,0.9442489282901496,0.0003815574344827
Cct2,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.9338705472310772,1.294198187873544e-06
Adam15,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.922534855591376,1.117671511638019e-07
Rnh1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.9173650786052204,1.608587765662529e-05
Rab5c,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.9123891937841894,1.8764113749455697e-06
Cct3,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.9111653,1.6908477894765962e-06
Canx,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,0.9110963272773676,3.183251044420255e-07
Rps19,2,2,GSE225948|GSE234052,Endothelial|Pericyte,24h|Day2,0.8903600012654713,0.0256223497318326
Rpl10a,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.8862620386734109,4.370426435542995e-15
Myo1b,2,2,GSE223744|GSE234052,Endothelial,12h|1d,0.88596135,2.399050383708335e-05
Selenos,2,2,GSE223744|GSE234052,Endothelial,12h|1d,0.8857875,0.0013686446203027
Hspa9,2,2,GSE223744|GSE234052,Endothelial,12h|1d,0.8840032079446888,0.0002017570424696
Mbd2,2,2,GSE223744|GSE234052,Endothelial,12h|1d,0.8814060098568698,0.0009789387084763
Apbb2,2,2,GSE223744|GSE234052,Endothelial,12h|1d,0.8789921482064849,9.112212751629848e-05
Hsp90ab1,2,2,GSE223744|GSE234052,Endothelial|Pericyte,1d|24h,0.8785308,8.461477775993211e-40
Psmd14,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.8689992324999436,1.6491197569155463e-08
Chic2,2,2,GSE223744|GSE234052,Endothelial,12h|1d,0.85276806,7.156008471165751e-05
Rpl4,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,0.8318521688026059,0.0006236446382198
Vcp,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.8296663698284946,1.259814152851403e-07
Psmd3,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.8201284511918158,1.395925287666316e-05
Rpl15,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.8093312280684161,1.2193546623704163e-32
Gpx1,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,0.8063320183309943,2.4537074950650303e-05
Atp5b,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,0.8018339767489417,0.0007227200578407
Rps15,2,2,GSE225948|GSE234052,Endothelial|Pericyte|SMC,24h|Day2,0.79162896,0.0157942742490317
Tmsb10,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.7823824230192914,4.29634956966092e-05
Colgalt1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.7787042859607726,2.003611743894428e-06
Zeb1,2,2,GSE223744|GSE234052,Endothelial,12h|1d,0.7769861250084098,0.000846579329766
Rab11a,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,0.7720931256862621,1.0563565491175753e-08
Gas5,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,0.7648436314955881,1.5527273434304152e-05
Psmc5,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.7522488285442128,4.064812722645402e-07
Ddx54,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.7490044,0.0097166920572936
Pa2g4,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.7477700267275565,0.0003210328364394
Hnrnpdl,2,2,GSE223744|GSE234052,Endothelial,12h|1d,0.7414475893914408,0.0002961562349137
Lyar,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.7306291,0.013968713265801
Stip1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.7190683066422144,5.1524025549214765e-05
Ncl,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.7036677643232556,9.993881907647373e-06
