"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
7.31329786630314e-11,-0.465900344383498,0.265,0.358,1.20961946708654e-06,"Peak1"
0.000145789496091469,-0.466503691559608,0.092,0.131,1,"Nagk"
6.38712168812524e-06,-0.466952045838476,0.194,0.254,0.105642992721591,"Znfx1"
8.88865127684082e-06,-0.470627077558497,0.232,0.288,0.147018292118947,"Nr2f2"
1.66340601797881e-07,-0.470848987510861,0.176,0.245,0.00275127355373696,"Tspan12"
0.030024499387343,-0.471244425777345,0.275,0.298,1,"Zfp36"
4.14682835837881e-05,-0.474328314208873,0.077,0.115,0.685885410475855,"Oxct1"
0.0065704559604392,-0.476554250842132,0.084,0.11,1,"Dyrk2"
8.52212356441502e-12,-0.476702792532435,0.364,0.459,1.40955923755424e-07,"Mtss1"
0.000912571793175817,-0.477799436856204,0.162,0.201,1,"Herc6"
3.71618673243083e-07,-0.477957791958422,0.229,0.298,0.0061465728554406,"Fat4"
7.66945426673068e-08,-0.478893134296586,0.184,0.256,0.00126852773571725,"Tmem64"
5.65688195283613e-09,-0.479504101960638,0.302,0.39,9.35648274999096e-05,"Kcnq1ot1"
0.00102560560162558,-0.479625242877688,0.466,0.503,1,"Crim1"
5.61752153240208e-06,-0.480195042569837,0.185,0.244,0.0929138061459304,"Parp12"
5.27748371842493e-05,-0.480197262223584,0.152,0.201,0.872895807027483,"Acvr1"
2.19631499803948e-05,-0.481166834266878,0.368,0.433,0.36327050067573,"Ndufc1"
1.31658051289787e-12,-0.482283267949422,0.28,0.385,2.17762416833308e-08,"Cd9"
0.00024379341478393,-0.482537791451473,0.109,0.148,1,"Mettl16"
2.18396631169033e-09,-0.48279068514033,0.217,0.302,3.6122802795358e-05,"Tap2"
4.21082448473474e-05,-0.485325873389352,0.103,0.147,0.696470369775126,"Phyh"
2.15033541774834e-12,-0.485605361221,0.162,0.252,3.55665478095576e-08,"Ecm2"
2.63746902297548e-17,-0.485866126860645,0.815,0.86,4.36237376400144e-13,"mt-Nd3"
0.000106861538602785,-0.485905791066007,0.158,0.206,1,"Dennd1a"
0.00422622481788413,-0.487114085294093,0.146,0.18,1,"Fam135a"
0.155629604673617,-0.48753402045886,0.165,0.179,1,"Igfbp3"
3.88379455864515e-10,-0.488438658330847,0.769,0.781,6.42379619999908e-06,"Rdx"
3.90689703577851e-06,-0.488596458540991,0.077,0.12,0.0646200769717765,"Ftsj1"
0.000115875769596612,-0.488697736001886,0.08,0.116,1,"Ifngr2"
2.05125358782826e-14,-0.48951436391842,0.441,0.546,3.39277343426794e-10,"Thbd"
4.13877771567099e-10,-0.49090536015582,0.441,0.52,6.84553834171983e-06,"Hdac7"
0.00011178100079243,-0.49108821300946,0.289,0.334,1,"Lmo7"
6.22594163392690e-11,-0.491847482184217,0.255,0.348,1.02977074625151e-06,"Irf9"
5.78124262915242e-05,-0.492063835967786,0.089,0.129,0.95621753086181,"Wdr89"
2.15533039545578e-24,-0.493350933916589,0.774,0.824,3.56491647408386e-20,"Podxl"
0.0167088763378442,-0.494249530035212,0.164,0.189,1,"Gja1"
1.25033933473781e-18,-0.494710119067184,0.537,0.638,2.06806125965634e-14,"Cav1"
1.44667349994202e-06,-0.49519557009098,0.102,0.153,0.0239279796890411,"Spata13"
0.00132849970652178,-0.496888270584185,0.079,0.108,1,"Mc1r"
0.000169308493922412,-0.497073029926518,0.187,0.232,1,"Fez2"
0.0114707891196634,-0.497794006810797,0.082,0.106,1,"Ebpl"
0.00474862214210941,-0.499611411493104,0.242,0.272,1,"Sema3g"
0.0353174539722731,-0.502642562991996,0.091,0.111,1,"Slc35b3"
0.000275922896290508,-0.50295588818945,0.171,0.213,1,"Nxpe2"
2.04451728006105e-07,-0.503189908827769,0.538,0.592,0.00338163158122097,"Cp"
1.04773372137898e-09,-0.50337500652746,0.289,0.371,1.73295157516084e-05,"Ptprr"
0.000118297247513013,-0.505811886457679,0.123,0.166,1,"Sec24c"
1.49238474578872e-05,-0.50676715141072,0.126,0.174,0.246840436953455,"Lysmd2"
2.73681108162141e-06,-0.507158951876631,0.395,0.452,0.0452668552900182,"Xbp1"
0.000427029096629755,-0.507230861627712,0.171,0.212,1,"Sema6d"
0.196681691777262,-0.508847720955554,0.103,0.116,1,"Tprkb"
0.000755825882585678,-0.50961383033438,0.121,0.159,1,"Plekha5"
0.00113388428999648,-0.509766376612067,0.087,0.117,1,"4930594M22Rik"
1.62289456509154e-06,-0.514920895111259,0.236,0.301,0.026842676106614,"Sbno2"
0.0145839209747107,-0.514965340357561,0.1,0.125,1,"Idi1"
1.52759715360163e-08,-0.515131606386003,0.281,0.364,0.00025266456920571,"Stat1"
0.00117466093193075,-0.516216603065147,0.129,0.165,1,"Lzts2"
0.0386569331716286,-0.517022663511976,0.084,0.102,1,"Tmem63a"
1.38491773799399e-06,-0.517280413663752,0.189,0.249,0.0229065393864207,"Trim12c"
1.54871164665188e-12,-0.518843564664952,0.245,0.346,2.5615690635622e-08,"Samd12"
0.0374483319330511,-0.519026420161047,0.303,0.323,1,"Hspg2"
0.0172449088857034,-0.52056711890732,0.088,0.111,1,"Slc25a12"
0.000201918200737603,-0.522086341906787,0.083,0.118,1,"Zfp979"
4.14110935754786e-08,-0.522110180658942,0.257,0.335,0.000684939487738415,"Dleu2"
2.16335703447851e-06,-0.522143986748929,0.182,0.24,0.0357819253502746,"Fos"
0.00183447783130317,-0.523166495299698,0.099,0.13,1,"Gm10062"
0.00114663160120353,-0.524221800101071,0.111,0.144,1,"Zeb2"
8.59649852812699e-11,-0.524433576118838,0.489,0.564,1.4218608565522e-06,"Atp1b3"
3.80931918746477e-07,-0.524460320696084,0.061,0.105,0.00630061393606673,"Arsa"
2.74066552483015e-05,-0.525537700140302,0.113,0.157,0.453306077806906,"Sp110"
0.00409838428113055,-0.528233029716142,0.077,0.103,1,"Gan"
7.05474649519686e-06,-0.529175564271301,0.081,0.124,0.116685507030556,"Tcirg1"
0.0389874354406273,-0.530119546218178,0.082,0.101,1,"Thumpd3"
1.1031956789043e-17,-0.530989555871173,0.599,0.682,1.82468565290771e-13,"Ifitm2"
1.93587758896198e-17,-0.53249175042824,0.472,0.578,3.20194153214312e-13,"Psme1"
1.77038401255028e-05,-0.533079810489655,0.15,0.201,0.292821515675815,"Vezt"
1.105041222963e-05,-0.534207921448159,0.105,0.15,0.182773818278081,"Rcn3"
7.29676467885713e-06,-0.534618948112995,0.089,0.134,0.120688487788297,"Ap1s1"
2.99600789520782e-06,-0.535303388037588,0.176,0.237,0.0495539705867373,"Wdr43"
6.48042863897205e-08,-0.536031451062784,0.13,0.191,0.00107186289688598,"Prdm16"
3.05235354622145e-05,-0.537962075470413,0.153,0.203,0.504859276545027,"Tal1"
0.00125052468172358,-0.545287370261276,0.086,0.116,1,"Glt8d1"
4.97491944467476e-09,-0.546362808971221,0.278,0.363,8.22851676149205e-05,"Plk2"
3.07627871421804e-05,-0.546704305448417,0.174,0.225,0.508816499331664,"Lgals3bp"
0.0361144509592153,-0.546798317582013,0.086,0.105,1,"Fbxw5"
6.52736423797336e-05,-0.546885447028731,0.082,0.12,1,"Atp2a3"
0.000517326936583067,-0.548692828743205,0.087,0.121,1,"Sspn"
0.000656978196117662,-0.549397801885174,0.089,0.122,1,"Pigt"
7.75042518358733e-05,-0.549539246030661,0.101,0.14,1,"Pfkfb3"
9.7760302972758e-05,-0.550332211000131,0.095,0.135,1,"Cyp20a1"
3.58463206830079e-05,-0.55380452244848,0.206,0.255,0.59289814409695,"Hmgcs2"
