"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
31.5519579289522,6.77123359175757,1.54800410022621,4.37417032084612,1.21895183799957e-05,0.00177451257954938,"Atp8b1"
37.0010707704862,5.5179788032277,1.6376641307755,3.36942032223343,0.000753264656507915,0.0309902904878528,"Taco1"
12.1891276300456,5.40133307620252,1.61292648777708,3.34877820975374,0.000811687433737283,0.0321261324538615,"Kit"
9.87931627206071,5.09774548526758,1.61697018250918,3.15265274549281,0.00161794149752363,0.0485644048251272,"Asap3"
9.60819052162816,5.05590524897532,1.61103300591948,3.13830022749269,0.00169930725351499,0.0491805969487438,"Slc7a7"
9.51781527148398,5.04165409490573,1.61366112828086,3.1243574047526,0.00178193867778854,0.0499602807068862,"Pdlim1"
27.4039087284663,4.00803435480063,1.26833879352081,3.16006604487325,0.00157733379628141,0.0480911765108873,"Morrbid"
68.2478563142764,3.75532300202337,0.894000128065432,4.20058441171556,2.66226884791113e-05,0.0029637316439246,"Gm26917"
84.9455173803934,3.66308176562978,0.752239331023475,4.86956958318824,1.11841595152836e-06,0.000235178020918602,"Adamts9"
26.1335367982348,3.38047292837488,1.0433805279441,3.23992334324642,0.00119561837638272,0.0415175738954918,"Chd7"
25.2972108314864,3.2747389119274,1.02582877339383,3.19228607820516,0.00141151456799723,0.045604367767918,"Map1b"
48.0453375120491,2.7685666046175,0.779687082376545,3.55086888983552,0.00038396163875125,0.0201846500371317,"Opcml"
29.4271534789539,2.71307565870671,0.851206562589038,3.18732934865374,0.00143593164715861,0.0456722797016414,"Dysf"
43.3484455842516,2.54356222514398,0.748328194045378,3.39899290897189,0.000676344698697855,0.0289367050549337,"Airn"
61.894289098039,2.47787774691673,0.670486362677373,3.6956422752912,0.000219331613079483,0.0131773040556483,"Rai14"
68.1117531379016,1.97789389902903,0.619990727992818,3.19019915899765,0.00142174779302888,0.045604367767918,"Zfp521"
75.8516861234139,1.96758618836547,0.621965834565903,3.16349561184295,0.0015588670182152,0.0480703935042048,"Rbfox1"
64.6143643143198,1.94614797909983,0.606880487260998,3.20680598561223,0.00134217482078882,0.0445625587428568,"Col4a2"
154.544196044887,1.94389841964066,0.521938282989458,3.72438367330859,0.000195792966764022,0.0124860869815089,"Magi1"
71.2843686895373,1.84316578702666,0.58834996127258,3.13277115382137,0.00173164397374941,0.0491805969487438,"Ext1"
548.052665155349,-1.44394463407355,0.446594106564594,-3.23323710019605,0.00122395933190915,0.0420485115700162,"Flt1"
