"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
117.691460183349,-2.49087112406243,0.620754521092518,-4.01265079741752,6.00406996352226e-05,0.00997104476084947,"Ptn"
37.5874078318379,-2.67104673151216,0.738492181514644,-3.61689236307668,0.000298161216579233,0.0301402099368137,"Itm2b"
71.3934806095774,-2.68726730877123,0.638849882589939,-4.20641434240682,2.59454358131472e-05,0.00754039228319592,"Adap2os"
39.1517756912713,-2.73430971851982,0.712490191704252,-3.83768050473712,0.000124201932559275,0.0159338079413461,"Art3"
17.32410523013,-2.80479203838518,0.802549258158376,-3.49485344341528,0.000474322129323326,0.0441119580270693,"Calm1"
19.5268627666631,-2.94325518587125,0.779291994722573,-3.77683231164083,0.000158835591957313,0.0184646375650376,"Kcnj8"
18.6609247090608,-3.01093938761651,0.778659214229809,-3.86682560559526,0.000110261217143181,0.0159338079413461,"Srpr"
14.8825536523249,-3.11176558702059,0.848054816595311,-3.66929769883675,0.000243217718820764,0.0257036907390125,"Fth1"
20.6672451051629,-3.11901843026729,0.764029128914425,-4.08232921001189,4.45865764993646e-05,0.00851673218798602,"Ackr3"
11.0064176600734,-3.13333120898064,0.904881150098385,-3.46269917175307,0.000534785946491561,0.0460510120589955,"Gng11"
10.3416448989224,-3.21430895284438,0.928084086107214,-3.46338117521934,0.000533432140364168,0.0460510120589955,"Gja4"
9.44952026061023,-3.34644369733534,0.973669322866286,-3.43694067251095,0.000588324454183314,0.0488519412848645,"Higd1b"
16.6721531319399,-3.38770800419247,0.819893045571876,-4.13189015626977,3.59792357053288e-05,0.00851673218798602,"Cd81"
15.2464103294388,-3.40634678928206,0.83755578764768,-4.06700883632954,4.7620438040352e-05,0.00851673218798602,"Gm48678"
10.9522551499247,-3.43445491334969,0.933437858578257,-3.67936106489274,0.000233819030140648,0.0257036907390125,"Ggact"
11.3556007964804,-3.60093931153682,0.939280811358227,-3.83371965869265,0.000126219985148288,0.0159338079413461,"Akr1b3"
12.0957979891284,-3.61562477994785,1.00286931100985,-3.60528011003455,0.000311816417993267,0.0302072154930978,"Slc19a1"
33.654000430845,-3.63392731209965,0.74386575800145,-4.88519235226387,1.03327928560367e-06,0.000600593584757135,"Cst3"
14.3850039245154,-3.64371163618677,0.89339761806659,-4.07848819215811,4.5329504130595e-05,0.00851673218798602,"4930447N08Rik"
9.99533704078965,-3.70702043859104,0.968887742081006,-3.82605773361214,0.000130211763821753,0.0159338079413461,"Rabac1"
14.814536151781,-3.80052883583175,0.891049197013778,-4.26522895544788,1.99697311295344e-05,0.00750680229329862,"Gm14964"
238.445237594848,-3.8633057193432,0.672613380661586,-5.74372415181993,9.26166213895201e-09,1.07666822365317e-05,"Vtn"
84.6520484633044,-3.8857405580833,0.668081649332585,-5.81626596384612,6.01766947140477e-09,1.07666822365317e-05,"Gm15261"
11.3215255590464,-3.89974011065353,0.948563535458736,-4.11120601296104,3.93597808216524e-05,0.00851673218798602,"Gm11713"
9.15943164058865,-4.03165338386653,1.0318976563822,-3.90702833651291,9.34381992953497e-05,0.0144829208907792,"Gm16064"
12.5059285196669,-4.05766365056514,0.957558235779727,-4.23751109744363,2.26011251841249e-05,0.00750680229329862,"Ubb"
28.7950271279821,-4.28819289006023,0.832234078527765,-5.1526283298157,2.56860726568936e-07,0.000199067063090925,"Igsf8"
15.905287632811,-4.67723698288455,0.981782366129219,-4.76402626920776,1.89767783513301e-06,0.000882420193336849,"Gm42556"
