"Macrophage--Sham","Microglia--Sham","Microglia--Stroke","Macrophage--Stroke","gene","pathway"
0.0465927648065193,0.487878488804312,0.266233589873489,0.0370104793384749,"Slc40a1","Ferroptosis"
0.375800000895564,0.710825369677469,0.523076871653391,0.352972951639747,"Cflar","Apoptosis"
0.579013818323654,0.469552802543951,0.34355656174818,0.513101432847057,"Casp8","Apoptosis"
0.0475157737234045,0.0358063689387679,0.0311619008246328,0.0384950014716479,"Acsl3","Ferroptosis"
0.0297992165776432,0.00689635381415722,0.0112764523422359,0.0462171926249912,"Steap3","Ferroptosis"
2.16474350859567,2.10599895872884,1.39195480540863,1.82063146114522,"Btg2","Apoptosis"
0.207284298828168,0.135187907830936,0.117847209099916,0.175342069180434,"Rnasel","Apoptosis"
0.000937211382969902,0.0240491891014353,0.0220405115158171,0.000287213294025285,"Fasl","Apoptosis"
0.250946495036167,0.33324593894136,0.255356126789179,0.246749316635242,"Pea15a","Apoptosis"
0.24941713456742,0.103082020460917,0.12938697243066,0.353017130714575,"Psen2","Apoptosis"
0.00175837101213332,0.00235354220285225,0.00268139567333402,0.000649550524932847,"Tgfb2","Apoptosis"
1.8301454664652,1.16913079547326,0.741814975834915,1.74911503825319,"Atf3","Apoptosis"
0.0693164743431377,0.0669326720394246,0.0539214563553666,0.0595815132970166,"Traf2","Necroptosis"
0.217966328228245,0.160325771844485,0.131941722333727,0.185231463862879,"Sptan1","Apoptosis"
0.605639078122866,0.0743765241766175,0.178749659041026,0.630994055773511,"Gsn","Apoptosis"
0.179336376985891,0.0190816647384514,0.0242432953629862,0.105404445375844,"Dpp4","Ferroptosis"
0.239975220209868,0.206431502742554,0.19033831038581,0.235945574192906,"Madd","Apoptosis"
0.792304207456786,0.0957608011260245,0.196453073919607,0.74724754218582,"Cd44","Apoptosis"
0.0675252736751402,0.141709585479809,0.0785634768742666,0.0762993397661579,"Bmf","Apoptosis"
0.131392984262688,0.161989446814098,0.128067003185802,0.108299915253781,"Plcb2","Apoptosis"
0.316458816834174,0.203389643546264,0.178344000097884,0.328090686321925,"Bcl2l11","Apoptosis"
0.0696968579379387,0.0603855282657629,0.0648462492057425,0.0554292504438436,"Slc20a1","Apoptosis"
0.0800959688940547,0.407556557676359,0.208159842841425,0.0415829413570357,"Il1a","Apoptosis"
2.18304724319107,0.326374324051123,0.673554415203295,1.79654214395027,"Il1b","Apoptosis"
0.0108788329396307,0.00954946215852828,0.0204818227166604,0.0235614084466905,"Cdc25b","Apoptosis"
0.0205536334888619,0.0233368542815896,0.0476601923113322,0.0299232652660657,"Prnp","Ferroptosis"
0.00717934495602487,0.0144404493343957,0.00305145474954624,0.00596164631958198,"Bmp2","Apoptosis"
0.114852232459825,0.208524542171277,0.149511804359395,0.151988568433088,"Bcl2l1","Apoptosis"
1.55632005440054,0.595847987544703,0.633448979598237,1.40405142313773,"Chmp4b","Necroptosis"
0.488583219080647,0.540749081483962,0.40337376309821,0.39835094993458,"Itch","Necroptosis"
0.300953293099395,0.384261884617422,0.277965628165442,0.310796938703062,"Map1lc3a","Ferroptosis"
0.0550070263219207,0.0334600490189303,0.0300031220487351,0.0518388314035859,"Gss","Ferroptosis"
0.0134337272133777,0.0372638176249176,0.0184634267664659,0.00424667204186272,"Cp","Ferroptosis"
0.0581251325628229,0.0377051642884882,0.0381327158042798,0.0398034854115093,"Tnfsf10","Apoptosis"
0.170376578739329,0.0671536081369992,0.125909951022337,0.15435605019076,"Slc7a11","Ferroptosis"
0.167030612140932,0.0240178046783808,0.0453417019987339,0.148344728261107,"Lmna","Apoptosis"
0.218180950040744,0.105926631727899,0.122066869722398,0.222174129043064,"Dap3","Apoptosis"
2.13390894147993,1.48432310756676,1.24497930518116,1.86164325801223,"Mcl1","Apoptosis"
0.54698183814651,1.45918098742228,0.923627981677415,0.508736635966074,"Txnip","Apoptosis"
0.00760175176441,0.0639347022293194,0.0604087352101441,0.00910615002194122,"Cd2","Apoptosis"
0.00316347910395129,0.0172357292667544,0.00918116028403715,0.00085466419617863,"Plppr4","Apoptosis"
0.175739117063411,0.160861445178328,0.149579173538509,0.225155852309821,"Gclm","Ferroptosis"
0.216608075216718,0.0717130681151157,0.057867739746064,0.169536320743229,"Casp6","Apoptosis"
0.00360524450214465,0.0199136036186853,0.030926178628562,0.00193735144187982,"Lef1","Apoptosis"
0.00989300024515078,0.075777916489882,0.049021056964867,0.013312821535717,"Slc39a8","Ferroptosis"
0.689428583005051,0.574060598086828,0.367233938673362,0.504678151946546,"Bcl10","Apoptosis"
1.42244878705492,0.84175591142443,0.801382840700252,1.51577744761178,"Sdcbp","Necroptosis"
1.2120698859842,0.935592962002297,0.702968193376891,1.0861041794801,"Dnaja1","Apoptosis"
0.656790257800664,0.383482382736108,0.341423347314654,0.575714103548084,"Chmp5","Ferroptosis"
1.6506739285383,3.04569263522889,1.85805735618837,1.70454731515143,"Jun","Apoptosis"
0.709154672868558,0.800943304994879,0.582288886877718,0.682235979066373,"Ppt1","Apoptosis"
0.0595458339059582,0.0582071680587417,0.0454972291479908,0.0625223743327936,"Casp9","Apoptosis"
0.0289230563657308,0.0352928259414234,0.029035603858597,0.0308060270266419,"Dffa","Apoptosis"
0.0475815256262978,0.0166204491251488,0.0254900354941243,0.073384483231036,"Hgf","Apoptosis"
0.029053834036565,0.0452505993744565,0.0134168360095294,0.00784207649959263,"Il6","Apoptosis"
0.227950298321576,0.299243512716876,0.227421607355225,0.223769714270882,"Add1","Apoptosis"
0.146449714910976,0.0474425780443114,0.0584483468010755,0.209497437856282,"Cd38","Apoptosis"
0.166995439402189,0.117953566026449,0.0952910765709178,0.134576924459769,"Coq2","Ferroptosis"
0.00217536610544466,0.00494473502725147,0.00836695865428778,0.00186011693999512,"Tgfbr3","Apoptosis"
0.164691697007283,0.152190933022975,0.127614517841792,0.154605523547729,"Diablo","Apoptosis"
1.51357033599285,2.0093707712428,1.46413035283874,1.55236993169757,"Ubc","Necroptosis"
0.278920614079588,0.191212134536577,0.157609669969051,0.34072372614579,"Por","Ferroptosis"
0.00618871442982782,0.017252848216926,0.0176593008591435,0.0039881165124029,"Hspb1","Apoptosis"
1.5609317827178,1.57104887255704,1.42669717918981,1.5401477985162,"Hmgb1","Necroptosis"
0.00323456026932455,0.00403295282830891,0.0038410330690347,0.00208212540539947,"Cav1","Apoptosis"
0.0674963321461879,0.0501351592975211,0.0375685828125999,0.0548612619671638,"Casp2","Apoptosis"
0.098906590571786,0.149966630781937,0.0804405062322955,0.0726198290797816,"Gsdme","Necroptosis"
1.24586721586022,0.407952357658075,0.488854190762031,1.09120268584792,"Cycs","Necroptosis"
0.0445400098034417,0.0413691267198657,0.0421425458701388,0.0298080973013768,"Gadd45a","Apoptosis"
0.553285886977239,0.419776590535012,0.347939780308988,0.475913159216834,"Chmp3","Necroptosis"
0.0171512418019645,0.0450805823342837,0.0301132546339397,0.0156429031193586,"Retsat","Apoptosis"
0.97906158786981,0.634194076374188,0.504911396553686,0.939706679502111,"Pcbp1","Ferroptosis"
