"dataset","cell_type","pathway","n_core_genes","mean_stroke","mean_ctrl","delta","delta_z","first_auth","journal_tier","weight","time_bin","days_post","assay","species"
"GSE197341","Oligodendrocyte","Necroptosis",8,0.669519729409363,0.658956745275929,0.0105629841334342,-0.349259034872278,"Park JH",2,0.131698543875631,"Multi",NA,"snRNA","Mouse"
"GSE197341","Pericyte","Apoptosis",9,0.83095203400481,0.727092894913919,0.103859139090891,0.404131277507425,"Park JH",2,0.131698543875631,"Multi",NA,"snRNA","Mouse"
"GSE197341","Pericyte","Ferroptosis",9,0.423383484234961,0.342564639314065,0.0808188449208958,0.201422567772089,"Park JH",2,0.131698543875631,"Multi",NA,"snRNA","Mouse"
"GSE197341","Pericyte","Necroptosis",8,1.07113550512827,0.807296238174165,0.263839266954105,2.03545062778241,"Park JH",2,0.131698543875631,"Multi",NA,"snRNA","Mouse"
"GSE197341","Fibroblast","Apoptosis",9,0.816758211887033,0.907100065707714,-0.0903418538206807,-1.13794320317338,"Park JH",2,0.131698543875631,"Multi",NA,"snRNA","Mouse"
"GSE197341","Fibroblast","Ferroptosis",9,0.457785267393351,0.476868373408007,-0.0190831060146555,-1.05406398435301,"Park JH",2,0.131698543875631,"Multi",NA,"snRNA","Mouse"
"GSE197341","Fibroblast","Necroptosis",8,1.37962452496097,1.24742503184445,0.132199493116516,0.796003186576691,"Park JH",2,0.131698543875631,"Multi",NA,"snRNA","Mouse"
"GSE197341","Endothelial","Apoptosis",9,1.61654267640251,1.28950721192868,0.327035464473825,2.17628759301014,"Park JH",2,0.131698543875631,"Multi",NA,"snRNA","Mouse"
"GSE197341","Endothelial","Ferroptosis",9,0.494292512057327,0.533725771795045,-0.0394332597377177,-1.30980818247648,"Park JH",2,0.131698543875631,"Multi",NA,"snRNA","Mouse"
"GSE197341","Endothelial","Necroptosis",8,1.09935865212883,1.17156145112873,-0.0722027989999063,-1.12853595956959,"Park JH",2,0.131698543875631,"Multi",NA,"snRNA","Mouse"
"GSE197341","Microglia","Apoptosis",9,0.65909506362719,0.672397152452898,-0.0133020888257077,-0.526200421556964,"Park JH",2,0.131698543875631,"Multi",NA,"snRNA","Mouse"
"GSE197341","Microglia","Ferroptosis",9,0.651169729513635,0.603167647299521,0.0480020822141144,-0.21099184332609,"Park JH",2,0.131698543875631,"Multi",NA,"snRNA","Mouse"
"GSE197341","Microglia","Necroptosis",8,0.795738383077316,0.744648351013573,0.0510900320637425,0.032321276248698,"Park JH",2,0.131698543875631,"Multi",NA,"snRNA","Mouse"
"GSE197341","Astrocyte","Apoptosis",9,0.864801374815206,0.779405659737835,0.085395715077371,0.257520415377578,"Park JH",2,0.131698543875631,"Multi",NA,"snRNA","Mouse"
"GSE197341","Astrocyte","Ferroptosis",9,1.1146408566636,0.902477951984292,0.212162904679308,1.85204799784585,"Park JH",2,0.131698543875631,"Multi",NA,"snRNA","Mouse"
"GSE197341","Astrocyte","Necroptosis",8,0.831414366304431,0.812941028568455,0.0184733377359756,-0.274779512111941,"Park JH",2,0.131698543875631,"Multi",NA,"snRNA","Mouse"
"GSE197341","OPC","Apoptosis",9,0.656919086294895,0.656699507457246,0.000219578837648782,-0.418830122737722,"Park JH",2,0.131698543875631,"Multi",NA,"snRNA","Mouse"
"GSE197341","OPC","Ferroptosis",9,0.366664234284749,0.25788156539772,0.108782668887029,0.552849187639826,"Park JH",2,0.131698543875631,"Multi",NA,"snRNA","Mouse"
"GSE197341","OPC","Necroptosis",8,0.633496494325715,0.672320829583797,-0.0388243352580827,-0.814262770926602,"Park JH",2,0.131698543875631,"Multi",NA,"snRNA","Mouse"
"GSE227651","Endothelial","Apoptosis",9,0.457789658309384,0.462494069480036,-0.00470441117065173,-1.039872029525,"Zeng F",3,0.119569557521123,"Acute",NA,"scRNA","Mouse"
