"cluster","cell_type"
"g0","Neuron"
"g1","Neuron"
"g2","Oligodendrocyte"
"g3","Astrocyte"
"g4","Microglia"
"g5","Neuron"
"g6","Neuron"
"g7","Neuron"
"g8","Neuron"
"g9","Neuron"
"g10","Neuron"
"g11","OPC"
"g12","Fibroblast"
"g13","Endothelial"
"g14","Pericyte"
"g15","Neuron"
"g16","Astrocyte"
