"Astrocyte_MCAO","Astrocyte_Sham","Endothelial_MCAO","Endothelial_Sham","Fibroblast_MCAO","Fibroblast_Sham","Macrophage_MCAO","Macrophage_Sham","Microglia_MCAO","Microglia_Sham","Oligodendrocyte_MCAO","Oligodendrocyte_Sham","Pericyte_MCAO","Pericyte_Sham","SMC_MCAO","SMC_Sham","gene","pathway"
0.409071077932218,0.336242911025696,2.2080510020118,3.85820041288583,0.151021955527623,0.274034747849138,0.539051099578386,2.06005796248826,0.482526752648391,1.14839289318247,0.169942161701579,0.217610971139644,0.450779368656626,1.59753892796711,0.238601722046726,0.292022576789693,"Slc40a1","Ferroptosis"
0.481497238298624,0.425315453753904,0.717514150691369,0.481215829272896,0.6736619262963,0.470771332949967,0.694887551207578,0.587226750053331,0.782305259440618,0.880640768454081,0.234923587442915,0.195813381666531,0.607292326805799,0.635696408152369,0.521877136511722,0.391511520761325,"Cflar","Apoptosis"
0.219526452793885,0.142847934066888,0.8978005324688,0.782058152980825,0.183079468117685,0.30720277337173,1.08819863647799,0.9877797180544,0.753873020741776,1.37560688940867,0.114680693244827,0.0838389777518566,0.469300022013223,0.453356842178199,0.226670131865123,0.135067619588141,"Casp8","Apoptosis"
5.85438451583216,6.12042586362855,0.427456480005057,0.466546542115482,0.452544344660668,0.345430641063138,0.256525537757668,0.229261173505524,0.275300828423877,0.163407938609657,0.906865500617582,1.11825389312399,0.3993886377864,0.237645046539594,0.329769910414587,0.224729827563373,"Acsl3","Ferroptosis"
0.159083208627394,0.277685864936505,0.176096821767474,0.122971109222861,0.511907583031438,0.785277918324863,0.0599149786891328,0.0327458854113674,0.0438787245989637,0.0229708270429263,0.144312390667276,0.0143657091703413,0.0882844735887821,0.0762318195586934,0.0310842794893933,0.0221628470818332,"Steap3","Ferroptosis"
1.59268131490958,1.32615249923057,5.55286223627207,5.72789676022777,4.37347242790996,3.85454116261064,8.27440822931533,10.2168563095038,10.0146151796308,17.4874877441312,2.37598413365411,0.926362644537637,6.25404839922131,6.69332558653014,8.49922604428074,8.00806956542598,"Btg2","Apoptosis"
0.0237176215087018,0.0179303001610334,0.0167110770083063,0.0169906096517614,0.050522020944492,0.131578745060622,0.3249027847401,0.861954442741279,0.101432214126524,0.214602277664269,0.0192983970139146,0.0172137964978113,0.066753845624301,0.0582933821319108,0.0281477374699204,0.0179129835930202,"Rnasel","Apoptosis"
0.00109092847889439,0,0.000353325253491436,0.000740569830012299,0,0,0.00222101775731017,0,0.0203686091303563,0.0114748409970547,0,0,0.00559839885792663,0,0,0,"Fasl","Apoptosis"
1.77147082035476,1.68285376502613,1.78656909633417,1.72005941412674,0.848869786608511,0.603518409973548,0.67656951964746,1.2610934434637,0.984578177399123,0.886382870172325,2.93988586686755,2.78712881808566,1.77271512430752,1.59062334127749,1.0040595755501,1.00868939943731,"Pea15a","Apoptosis"
0.221844201396127,0.203378215832988,0.283811762354653,0.240978431772856,0.228203249513963,0.17473506172233,0.430236536295298,0.272759827253902,0.467324111912333,0.202774057413425,0.291504340729853,0.291684135485997,0.243041074028717,0.109103612334086,0.194189624277384,0.118535954084733,"Psen2","Apoptosis"
0.56142655919248,0.661649662962675,0.639656577612873,1.63112213937727,0.107279449870744,0.187306865939969,0.0681213988538298,0.163208498705794,0.215611133320019,0.23163253850182,0.0730801809343233,0.091377717965558,0.43860223861269,0.633701662492603,0.966533001441449,1.21083127600952,"Tgfb2","Apoptosis"
0.625769649667313,0.294387306211551,0.972072538812549,0.520661425701066,0.688254797918899,0.378111980040673,2.80851434739895,1.6511628760225,3.00189527095713,1.22854281545822,1.43499553071434,0.233447589765872,0.966804440429131,0.561994529585913,1.36218769991614,0.608139553631458,"Atf3","Apoptosis"
