"dataset","signature","cell_type","timepoint","ctrl_mean","stroke_mean","delta","n_genes"
"GSE174574","Pan_reactive","Microglia","Stroke",0.176713824166667,0.271218681666667,0.0945048575,6
"GSE174574","Pan_reactive","NK_cell","Stroke",0.604554784633333,0.542201591666667,-0.0623531929666666,6
"GSE174574","Pan_reactive","OPC","Stroke",0.128842308483333,0.241146815,0.112304506516667,6
"GSE174574","Pan_reactive","Oligodendrocyte","Stroke",0.0996544986666667,0.330495848333333,0.230841349666667,6
"GSE174574","Pan_reactive","Pericyte","Stroke",0.51964719355,0.558764670666667,0.0391174771166667,6
"GSE174574","M1_markers","Astrocyte","Stroke",0.0458523768304348,0.21662769914913,0.170775322318696,23
"GSE174574","M1_markers","Endothelial","Stroke",0.0387501814713044,0.158194400152174,0.11944421868087,23
"GSE174574","M1_markers","Macrophage","Stroke",0.385836950204348,0.637408158489565,0.251571208285217,23
"GSE174574","M1_markers","Microglia","Stroke",0.284542965944783,0.633629714598696,0.349086748653913,23
"GSE174574","M1_markers","NK_cell","Stroke",0.253804054,0.529901914565217,0.276097860565217,23
"GSE174574","M1_markers","OPC","Stroke",0.0452004703608696,0.164555623897826,0.119355153536957,23
"GSE174574","M1_markers","Oligodendrocyte","Stroke",0.0418874006391304,0.161859205859565,0.119971805220435,23
"GSE174574","M1_markers","Pericyte","Stroke",0.0437030754721739,0.176844376852174,0.13314130138,23
"GSE174574","M2_markers","Astrocyte","Stroke",0.167323908381111,0.212596404477778,0.0452724960966667,18
"GSE174574","M2_markers","Endothelial","Stroke",0.166774575783333,0.207430195172778,0.0406556193894445,18
"GSE174574","M2_markers","Macrophage","Stroke",0.550674462111111,0.568100399055556,0.0174259369444444,18
"GSE174574","M2_markers","Microglia","Stroke",1.00105453801111,0.884775429261111,-0.11627910875,18
"GSE174574","M2_markers","NK_cell","Stroke",0.221254178777778,0.245205416844444,0.0239512380666667,18
"GSE174574","M2_markers","OPC","Stroke",0.156140668477778,0.156057972733333,-8.26957444444443e-05,18
"GSE174574","M2_markers","Oligodendrocyte","Stroke",0.148152025166667,0.16414651965,0.0159944944833333,18
"GSE174574","M2_markers","Pericyte","Stroke",0.179870893444444,0.216249831272222,0.0363789378277778,18
"GSE174574","DAM_markers","Astrocyte","Stroke",1.18792744303333,1.45201961366667,0.264092170633333,24
"GSE174574","DAM_markers","Endothelial","Stroke",0.913703302824167,1.12401366142917,0.210310358605,24
"GSE174574","DAM_markers","Macrophage","Stroke",1.68221119045167,2.09847906095833,0.416267870506666,24
"GSE174574","DAM_markers","Microglia","Stroke",1.7672930324,1.93754947158333,0.170256439183333,24
"GSE174574","DAM_markers","NK_cell","Stroke",1.16316634016667,1.57618326358333,0.413016923416667,24
"GSE174574","DAM_markers","OPC","Stroke",1.1329148755375,1.31012193039167,0.177207054854167,24
"GSE174574","DAM_markers","Oligodendrocyte","Stroke",1.200084955675,1.36284278954167,0.162757833866667,24
"GSE174574","DAM_markers","Pericyte","Stroke",0.9898292117125,1.16124872914167,0.171419517429167,24
"GSE279666","A1_markers","Astrocyte","D3",0.0281750676748319,0.168549234759824,0.140374167084992,13
"GSE279666","A1_markers","Astrocyte","D14",0.0281750676748319,0.28806388218725,0.259888814512418,13
"GSE279666","A1_markers","Endothelial","D3",0.125298405586687,0.190804406593902,0.0655060010072155,13
"GSE279666","A1_markers","Endothelial","D14",0.125298405586687,0.153619303142956,0.0283208975562688,13
"GSE279666","A1_markers","Fibroblast","D3",0.109045167821109,0.192502006425787,0.0834568386046781,13
"GSE279666","A1_markers","Fibroblast","D14",0.109045167821109,0.171526798808455,0.062481630987346,13
"GSE279666","A1_markers","Macrophage","D3",0.133045573072095,0.161558593666077,0.0285130205939821,13
"GSE279666","A1_markers","Macrophage","D14",0.133045573072095,0.120210888575776,-0.0128346844963188,13
"GSE279666","A1_markers","Microglia","D3",0.122628755334426,0.116400703842205,-0.00622805149222015,13
"GSE279666","A1_markers","Microglia","D14",0.122628755334426,0.209703824429837,0.0870750690954112,13
"GSE279666","A1_markers","Neuron","D3",0.0134880608940294,0.048069104547412,0.0345810436533826,13
"GSE279666","A1_markers","Neuron","D14",0.0134880608940294,0.0316480399700007,0.0181599790759713,13
"GSE279666","A1_markers","Oligodendrocyte","D3",0.00794554407261415,0.097331476426372,0.0893859323537578,13
"GSE279666","A1_markers","Oligodendrocyte","D14",0.00794554407261415,0.059239774983602,0.0512942309109879,13
"GSE279666","A1_markers","OPC","D3",0.0174154082519291,0.136207794582635,0.118792386330706,13
"GSE279666","A1_markers","OPC","D14",0.0174154082519291,0.19046421349736,0.173048805245431,13
