"Neuron--Stroke-core","Fibroblast--Stroke-core","Oligodendrocyte--Stroke-core","Microglia--Stroke-core","Astrocyte--Stroke-core","Endothelial--Stroke-core","OPC--Stroke-core","Pericyte--Stroke-core","Neuron--Peri-infarct","Astrocyte--Peri-infarct","Oligodendrocyte--Peri-infarct","Fibroblast--Peri-infarct","OPC--Peri-infarct","Microglia--Peri-infarct","Endothelial--Peri-infarct","Pericyte--Peri-infarct","Neuron--Control","Endothelial--Control","Astrocyte--Control","Fibroblast--Control","Oligodendrocyte--Control","OPC--Control","Microglia--Control","gene","pathway"
0.0209883286954048,0.0384648105570154,0.00558148704523007,0.193135847811151,0.0172712825877656,0.453890210283561,0.0169682584075834,0.0456951206827109,0.0228290237648641,0.0143947412654786,0,0.0223019457547961,0,0.212028666167781,0.752345436648468,0,0.0207553235825669,1.38340037645128,0,0,0,0.173360413260182,0.0948888435782251,"Slc40a1","Ferroptosis"
0.0634036530509382,0.369849423918562,0.105476529691954,0.727298455125095,0.350917948634635,0.521458106945487,0.0929955998138403,0.388196055622264,0.0258790224097351,0.211150070679342,0.0527407716103101,0.157483217412903,0.092400904168505,0.695805719806838,0.287528013841575,0.115354713469782,0.0251902571309187,0.359172321489688,0.168126110484174,0.355685887410924,0,0,0.425457371904431,"Cflar","Apoptosis"
0.0136358217239265,0.13939491009286,0.018044403783044,0.435250782415231,0.0479918283323771,0.303139246690997,0.0102266536482109,0.159126325411019,0.00235856420467185,0.015225788106325,0.0150247109415605,0.0549404444545892,0.0195968909757739,0.413435479671703,0.215158809938841,0,0.00291679345717926,0.358948478820531,0.0192669272730026,0.125475408289574,0,0.0435782620806515,0.254674362721217,"Casp8","Apoptosis"
0.368791334180887,0.455774747719357,0.405188080344587,0.257492320723818,1.68677954317343,0.301684076929967,0.535978030204949,0.236268648903026,0.273871954956067,1.62987225225349,0.395626292994332,0.410207844913449,0.267841826276747,0.192870183363179,0.360840690577491,0.472884291043371,0.267360825271638,0.505324639618845,1.78387195860902,0.420777453978735,0.83408842668119,0.313569348353655,0.174776449903896,"Acsl3","Ferroptosis"
0.0273109258251568,0.371874971782544,0.0928194634559367,0.144438580605934,0.242664178582827,0.0905592026386802,0.0785399153138579,0.0231135249318543,0.00534532496119631,0.105561651717522,0.0210901923064029,0.157639168893203,0.0563637472045529,0.0253139338516933,0.0910880911960634,0,0.002341033281177,0,0.137870334911246,0,0,0,0,"Steap3","Ferroptosis"
0.0824144967611812,0.0539921601880484,0.00648347497210105,0.120097195304492,0.0509193674458652,0.23920194737182,0.0167475556466287,0.213667332691568,0.0842055907151498,0.0507015255152645,0.00900935587044051,0.0512406758741378,0.0218787602326649,0.136234680303589,0.242727761324216,0,0.0839969430559684,0.167937980754799,0.139197417318038,0.127133497859667,0,0,0,"Btg2","Apoptosis"
0.115475459471509,0.0543604281151488,0.00816880562082062,0.16374966976859,0.0199077318802262,0.0122065263234834,0.0781065160175805,0.0251350257890095,0.0801674902798258,0.00704382818657092,0.00447767926486207,0,0,0.0965751723301601,0.0191374954696151,0,0.0842453713042428,0,0.020299957075342,0,0,0,0.10247650233441,"Rnasel","Apoptosis"
0.215155811448432,0.227816800979509,0.178984974589754,0.206499756242003,0.276468825601493,0.270538938512364,0.138620342204929,0.155522518241898,0.159778759340652,0.298747175347673,0.197612256650651,0.353064796237089,0.143150344639589,0.151539616879979,0.340100906514781,0.240279188720728,0.153548904365117,0.352937353633022,0.418489791081058,0.818588716862399,0.83341116119332,0.0433152528864999,0.296110962728669,"Pea15a","Apoptosis"
0.0783911175841102,0.0721138208347699,0.0539270621855339,0.0954254717340203,0.0485724588653402,0.0911243576737365,0.0724251235313036,0,0.0467013871211186,0.0328652856909422,0.0555455555871553,0.00756262425012741,0.0482922226658328,0.0572298202047048,0.0766651053597113,0,0.0440195026310501,0,0.0537968717986669,0,0,0,0.128477187439366,"Psen2","Apoptosis"
0.080813256043862,0.262008312719554,0.0340198208954468,0.0589847294292834,0.366186872907176,0.427596176150126,0.222388309031955,0.497855977779537,0.0335776447750232,0.20058165030727,0.0127259833951203,0.0748965258855947,0.0765275131273939,0.0320171648603624,0.637303160401099,0.125816614245542,0.0212906676538384,0.702799583914359,0.230009419899886,0,0,0.0665166896151596,0.045424433549028,"Tgfb2","Apoptosis"
