"cell_type","condition","n_cells","mean_apoptosis","sd_apoptosis","mean_necroptosis","sd_necroptosis","mean_ferroptosis","sd_ferroptosis","dataset","n_apop_genes","n_necro_genes","n_ferro_genes"
"Astrocyte","MCAO_contra",782,-0.00522298560246068,0.0354548275960208,0.0055633136236671,0.0614315462513342,0.0347421698665032,0.0704104039314856,"GSE250245",149,49,53
"Astrocyte","MCAO_ipsi",1230,0.0180297913731957,0.0449500121931865,0.0257373961685509,0.0680487770213564,0.0510789021391752,0.0822742527503605,"GSE250245",149,49,53
"Astrocyte","Sham",521,-0.0107412837434822,0.0336538052190434,0.00179986239959523,0.0569578114554337,0.02691678533429,0.075049818011026,"GSE250245",149,49,53
"Endothelial","MCAO_contra",182,0.0637782072388752,0.0623442155351831,0.0668150864651259,0.0918582124936931,0.0370256552301398,0.0762862522136827,"GSE250245",149,49,53
"Endothelial","MCAO_ipsi",423,0.0612444647820283,0.0561764519984107,0.0852967783606761,0.0915415204280338,0.0375800781017899,0.0834436288040567,"GSE250245",149,49,53
"Endothelial","Sham",162,0.0507683574438872,0.0548554995720425,0.039641123652204,0.0825425184202636,0.0274771159144377,0.0716056910360544,"GSE250245",149,49,53
"Fibroblast","MCAO_contra",299,0.0163805893284285,0.0427084520178849,0.0132510725257313,0.067523216420838,0.027520336282005,0.0735869132329265,"GSE250245",149,49,53
"Fibroblast","MCAO_ipsi",617,0.030178218811682,0.0490632409394539,0.0373675801929887,0.0699109801433384,0.0433185599108302,0.0830311117693422,"GSE250245",149,49,53
"Fibroblast","Sham",151,0.00172413226110488,0.038555969373252,0.00368166315143278,0.0704994344537233,0.0101670639928907,0.0625798052224947,"GSE250245",149,49,53
"Microglia","MCAO_contra",344,0.00663466268152046,0.0423611645644931,0.0460563937894907,0.0815723752734096,0.00751130999195519,0.0670443641258114,"GSE250245",149,49,53
"Microglia","MCAO_ipsi",2682,0.024492693306453,0.0440638413753353,0.0759354691203727,0.0858075292759212,0.0413732174790302,0.0802766107750657,"GSE250245",149,49,53
"Microglia","Sham",49,-0.00403758976571255,0.037551223087987,0.0384288144704455,0.078531535473764,-0.00805484677427216,0.0443607849666008,"GSE250245",149,49,53
"Neuron","MCAO_contra",20400,-0.0265346998115975,0.0272240734915648,-0.0196826779962856,0.0466951775409389,-0.00253886650584691,0.0522611185526328,"GSE250245",149,49,53
"Neuron","MCAO_ipsi",13610,-0.0231108205198969,0.0285814010394911,-0.00843101173618162,0.0500735147176416,0.00310988236854561,0.053057353281028,"GSE250245",149,49,53
"Neuron","Sham",23938,-0.026238774572674,0.0273074252650662,-0.0202317328648573,0.0460219163521392,-0.00619817947561147,0.0500314274433909,"GSE250245",149,49,53
"Oligodendrocyte","MCAO_contra",3298,-0.00595741622910113,0.0325802524927181,0.0121539120389078,0.0591754739399955,0.00258911678728918,0.058974027982638,"GSE250245",149,49,53
"Oligodendrocyte","MCAO_ipsi",3180,0.00490585105480529,0.0404241768634275,0.0364437195733509,0.0764032402575729,0.0226703702129873,0.0742111026453607,"GSE250245",149,49,53
"Oligodendrocyte","Sham",1948,-0.0101149514058963,0.0323904072773515,0.012514329323725,0.0586041744959851,0.000180425027353834,0.0566780334064744,"GSE250245",149,49,53
