"","Astrocyte__Sham","Oligodendrocyte__Sham","Neuron__Sham","Microglia__Sham","Endothelial__Sham","Fibroblast__Sham","Neuron__MCAO_contra","Astrocyte__MCAO_contra","Oligodendrocyte__MCAO_contra","Microglia__MCAO_contra","Endothelial__MCAO_contra","Fibroblast__MCAO_contra","Fibroblast__MCAO_ipsi","Microglia__MCAO_ipsi","Neuron__MCAO_ipsi","Oligodendrocyte__MCAO_ipsi","Astrocyte__MCAO_ipsi","Endothelial__MCAO_ipsi"
"Bmf",0.0198261751864455,0.0100788553763526,0.00124637086414462,0,0,0,0.00199539448594553,0.0367639133258256,0.0297171052461585,0.0543733406129948,0.0281904989262577,0.0403726631497703,0.0284361350061635,0.085049367391771,0.00270553403151688,0.0239473317146178,0.0452033104873371,0.04625424109805
"Bmp2",0,0,0.00259691385227535,0,0,0,0.00473935307891339,0,0.00163986599719781,0,0.0126082007252995,0.0150571862323741,0.0524264042633712,0,0.0046374178949359,0.00258445724765879,0.00499358111975009,0.00335526930176917
"Bnip3l",0.134065899631824,0.147482787352064,0.266990355722159,0.292395365328024,0.305269348535485,0.21986803550187,0.335894069237558,0.197211773051569,0.179120684578962,0.256552948421669,0.435346311290669,0.21058973885587,0.28464019689073,0.246326655266211,0.34981331792456,0.18569751541934,0.268369394827493,0.457168902433871
"Brca1",0.0198425716377888,0.0239444756613105,0.0339876864169946,0,0.0215202227960471,0.00967533467776196,0.0374751248451398,0.0180440498414472,0.0209139331242906,0.124368549204648,0.0213585403931564,0.0296576056201015,0.173503215220647,0.265861672134176,0.0750307488970542,0.0466255126603488,0.181368578193004,0.101426796009917
"Btg2",0.0315937644000281,0.00717650819135125,0.0194939702389639,0,0.669551382394599,0.0211391190973434,0.0321115106785958,0.0189293767823462,0.00653622988131152,0.0157447609646323,1.00232698550931,0.0552495557978127,0.0655235671042929,0.0500773661401151,0.0264016384213405,0.0548528893597275,0.0491508801937189,0.400729383501045
"Btg3",0.018876916584686,0.0572587072406937,0.0763077916227398,0,0.212505082622244,0.191727496455207,0.094029470355844,0.0271866563790011,0.0437077510553108,0.0354754679317281,0.352771710918007,0.079214016406249,0.219955694233016,0.0342568524054251,0.0986941218107198,0.113440281588843,0.0451866219778763,0.224704683932045
"Casp1",0,0.00150418532952719,0.00056164387756858,0,0.0277343277942136,0,0.00175587744262027,0.00789004750205268,0.000808842714094908,0.0942830263277184,0.0336808646360543,0,0.0079181015754844,0.138684691750258,0.00717223586589511,0.00153050300253538,0,0.107027142320351
"Casp2",0,0.00246766552332577,0.006990564177843,0,0,0,0.0087382869074124,0.00309582834647765,0.00384181981446305,0,0,0,0.0166135809711834,0.00790953019155631,0.00661547222416001,0.00376350881357672,0.00197800594813769,0
"Casp3",0.0302228444235887,0.0220651106368618,0.0501087907999299,0,0.0350261448855941,0.0295044686904448,0.0562818129296333,0.0327279946005885,0.0319360319609225,0.0710903430261117,0.0761061552304156,0.0357417445880104,0.100362824383401,0.0880869611851179,0.105449673686834,0.045928778005449,0.0703209014504746,0.218073513500373
"Casp4",0.0207159367148601,0.00736454297649974,0.00369832579300177,0.28396944528011,0.0702763017788708,0.0384426985403862,0.00555274423027087,0.0483473623762911,0.00462681427423286,0.188463025343176,0.0422965109909315,0.0257968104379269,0.0806132905903148,0.135855177717044,0.0176892124820444,0.017198210474333,0.205174835388258,0.119685080918822
"Casp6",0.0147758431527307,0.0055120584708418,0.00333944999920468,0,0.0170087243679805,0,0.00452239407056586,0.0195434537949294,0.00874855831704137,0,0.0296215864137878,0,0.0161186115523798,0.0318852175833167,0.00627153917989234,0.0127896531079648,0.0336755469002386,0.0205864739722104
"Casp7",0.011217731755299,0.00699470503908741,0.00473218416686218,0.0544146273409864,0.026560508864345,0.0109929152627421,0.00642757662780114,0.00958533521101673,0.00274762989100181,0.0453691032357971,0.0181565812630443,0.0177561349906504,0.0486897607773726,0.0304669041209985,0.00896503122505005,0.00647676912127013,0.0176867295748063,0.0281662546562953
"Casp8",0,0.00204794462174532,0.00223988961952547,0.120748655450897,0.135061177757824,0.0706399971723736,0.00499246270288431,0.0063020939310179,0.00241664251194353,0.204968924814751,0.117532929175104,0.0829767442342927,0.143197267669896,0.263485805896766,0.0161028974452459,0.00389454883855973,0.0282885036210529,0.205587949830695
"Casp9",0.0241258070267152,0.0238896678649887,0.0970159450633263,0.0590276998472507,0.0688650562418091,0.0532381935834264,0.120320950210144,0.0443277530562228,0.0307481250728275,0.107071086349079,0.0108415166837859,0.0849734289132692,0.0680361324720044,0.0936280816316574,0.106022547676111,0.0264658162506242,0.0760642218041105,0.0478344061567549
"Cav1",0.010674694223763,0.019569330347734,0.00365016037907111,0,0.190579571014645,0.0520830665359133,0.00964831501962935,0.0361492007641979,0.0113188964938635,0,0.22513711473676,0.0381053453598239,0.0421581681364702,0.00910750548939232,0.0192408628036642,0.00990585504795082,0.070258966912977,0.309367652640877
"Ccna1",0.0166443112539544,0.00880692022005332,0.0345114968814647,0,0.0154577001806081,0,0.041763753875914,0.00425068606539002,0.0185163922332067,0.00794266121641674,0.0125865851666992,0.0204873263529372,0.0178192994867188,0.000980510500458309,0.0442286143936838,0.0113892315344966,0.0343050600832157,0.00166423210866813
"Ccnd1",0,0.00118625068614475,0.003492095228832,0.0570682205764875,0.0182449870751375,0.00835124821701073,0.00823465322131334,0.00532474016071845,0.00458803018430857,0.070337762784099,0.00906220471004864,0.0235121571759106,0.0927703988068018,0.106610885802172,0.0471128689535914,0.0183910710974577,0.0639249576655376,0.0848236480162461
"Ccnd2",0.100611605585413,0.0135520966183699,0.0528481015614927,0.141470027322574,0.0854064848733174,0.0134739508308016,0.0678546943883444,0.089073164705024,0.0110328915798408,0.120974876021345,0.186530773481275,0.114821423103533,0.0927399198630434,0.0651309388849604,0.0623551705991396,0.057436430338992,0.137661777386357,0.137497495317198
"Cd14",0,0,0,0,0,0,0.000208830192061734,0.00256120849358412,0,0,0,0,0.014283817410805,0.0373761554468585,0.00244001933466436,0.00386536661611375,0.00830988713238971,0.0268016677142306
"Cd2",0,0,0,0,0,0,0.000194770567939335,0,0,0,0,0,0,0.0171813015046197,0.000318981350749574,0.00339351340019814,0,0
"Cd38",0.0860165604972827,0.00155130806760004,0.000937900745872915,0,0.0151560134871082,0.0190386081397488,0.00131692515630052,0.108265787887978,0.000802859349412589,0.0532545393849385,0.0111630887813222,0,0.0679655321580729,0.26679972092208,0.00940070970963304,0.00605970102383511,0.266617002048107,0.0421524268233976
"Cd44",0.0195275025687356,0,0.0102508591323279,0,0,0.0460901388757946,0.011094511591006,0.0913371551010427,0.000841827383984873,0.0223851539984477,0.0051225536549028,0.0467007553328087,0.253509559635066,0.367422199138871,0.0593657189249069,0.0388819779154289,0.83291034284422,0.0337032539513075
"Cd69",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00265581005798465,0,0,0,0.00138755225514944
"Cdc25b",0.0258487834405869,0.0391806348854702,0.0774513449769622,0,0.0152113502000321,0.0976995736442816,0.0994304533651075,0.0168028765665843,0.0485297115894226,0.0885190424487154,0.0608521589716043,0.0698711520545626,0.0659449712372491,0.0428117768056016,0.0790995127443887,0.0440632324030929,0.087476162256841,0.0599437967792372
"Cdk2",0.00646647865842846,0.00878128440343257,0.00242096702056195,0,0.0187117038702473,0.0107549363408454,0.00477569865425434,0.0181006687256234,0.0118736269472366,0.047166665693568,0.0253139937953454,0.0341834576437888,0.0796534847140788,0.0498579508834534,0.0131478856619432,0.0295950063446289,0.0492014696471512,0.0296680697308766
"Cdkn1a",0,0.00812584360738436,0.00523124554243525,0,0.120187999081021,0,0.00590324212219815,0.0303208713250576,0.0219831677249273,0,0.13721691904373,0.0191226252235695,0.0432016289752169,0.0256907344680715,0.0126049653558252,0.0598385092467664,0.0385349284345296,0.106522561765983
"Cdkn1b",0.0679529887427628,0.0889047033795357,0.0150154715472447,0,0.0940109654692457,0.0894526822932424,0.0223078843000125,0.0641777025874185,0.113608239258017,0.0875430814043119,0.301027728836598,0.041014322510285,0.135686662711091,0.128884272416863,0.0326980984151163,0.147854898180936,0.127599321595374,0.245428846340367
"Cflar",0.0428345849284905,0.0128253707318332,0.0450767963436142,0.172428039400565,0.497637561179184,0.139727162356384,0.0566785767785152,0.117982582778752,0.0176446571507299,0.229517665645584,0.55660944476313,0.195609963870561,0.411440105917996,0.322352042932433,0.0942863805779001,0.0402458442266597,0.157877522652689,0.47062876968504
"Clu",0.232468387240177,0.0346868981656498,0.0782449436521883,0,0.0625490113269694,0.155991255904483,0.120804265735785,0.452887601953773,0.0340366553755799,0.0305362605461863,0.128818356364656,0.465091565070773,0.395794076311179,0.071191584558981,0.129791527553302,0.0973835806720166,1.00637809865786,0.232319168239596
"Crebbp",0.353613511527921,0.440260342656369,0.56898534129104,0.82042037104569,0.706223555910098,0.40863258754272,0.631382262086411,0.523324885730081,0.500241672730029,0.553440928829335,0.81780463155031,0.701814919573034,0.693196117055382,0.719490845671824,0.660902964765392,0.57666761317906,0.676296553048947,0.731675712492232
"Cth",0.0544165449909717,0.00150851354345555,0.00500383149187887,0,0,0.0185475969987663,0.00597228590690711,0.0428681958367465,0.00326186770327525,0.00644165743811054,0,0,0.00728000958115634,0,0.00622927674318298,0.00769632607179711,0.129007272361193,0.00201048207572012
"Ctnnb1",0.0644924842038083,0.0666535852516026,0.117556928624362,0.29762108385536,0.311044748477623,0.220149089935837,0.155692972387435,0.126523954844922,0.0790601477055987,0.272203989454554,0.564247461479684,0.317936975414644,0.244851232000938,0.44855141463102,0.167194099219264,0.122509808675268,0.218920154334463,0.678076541860543
"Cyld",0.234567974156054,0.254808440105274,0.492618659474977,0.169589020812961,0.204675660318747,0.32954424721471,0.558203722011466,0.186263985524963,0.264676259558189,0.324693237094738,0.369551667786825,0.400381816098327,0.356490520827828,0.418522308679899,0.545094382905161,0.289646010753901,0.281065907155167,0.185641491161081
"Dap",0.018383279374656,0.00365687159597388,0.00978767465094327,0.057667666366335,0.137736447636532,0.0736200167565479,0.0128433887999986,0.0301343772215576,0.00535504021323111,0.129236713435552,0.134881274352587,0.116769292136003,0.310964485943722,0.154593489647551,0.0235065199897883,0.0130080685320272,0.0746245840468456,0.21913803714557
"Dap3",0.104812030552323,0.0637742482820645,0.168497025918202,0.18475705904526,0.0912914117759158,0.116326259899892,0.184665549036364,0.122064994205964,0.0684592042499655,0.100016265404475,0.116329056176655,0.0909637715140151,0.16255598141212,0.164195001169914,0.204957498337407,0.0925179214181818,0.152691525251909,0.164983587499379
"Dcn",0,0,0.00200653293896026,0,0.0138091326910812,0.0994315422831523,0.00127393512420701,0.00486307242776389,0.00132399211174143,0,0.0109459939650455,0.108957287308989,0.313282596314443,0.00395137230941291,0.00458100708336967,0.00732926651083295,0.00191192934139542,0.0329121730732536
"Ddit3",0.0368046484456602,0.0174124181236184,0.0358098826776651,0.0532822414936836,0.146408277515796,0.0185427921074416,0.0334778591666316,0.0325934497558418,0.0195727131265881,0.0375569527864534,0.0947577435803009,0.0601812413566391,0.0364359570009177,0.0537580545366574,0.0430235751330408,0.0770233610432547,0.0436847660946787,0.0649592148738239
"Dffa",0.0236426259673721,0.0182508465737338,0.062063884920588,0,0.0570738846655834,0.100501018653477,0.0794946134701029,0.0173396477967687,0.0199592207899936,0.0630234651574037,0.0704537482730748,0.0161359370219017,0.0335579256174669,0.0389891409597135,0.0641028971393766,0.0208388938509548,0.0356675816044661,0.0509092847024143
