"Neuron--Control","Oligodendrocyte--Control","Astrocyte--Control","Fibroblast--Control","Pericyte--Control","Microglia--Control","OPC--Control","Endothelial--Control","Neuron--Sham","Astrocyte--Sham","Oligodendrocyte--Sham","Endothelial--Sham","Fibroblast--Sham","Microglia--Sham","OPC--Sham","Pericyte--Sham","Neuron--D3","Astrocyte--D3","Microglia--D3","OPC--D3","Oligodendrocyte--D3","Fibroblast--D3","Endothelial--D3","Pericyte--D3","Neuron--D14","Microglia--D14","Fibroblast--D14","Oligodendrocyte--D14","Astrocyte--D14","OPC--D14","Pericyte--D14","Endothelial--D14","gene","pathway"
0.00734963779577588,0.00724263471659747,0.00706540546875509,0,0,0.399884007089374,0,0.444439741799601,0.00999991693115108,0.0154616799633958,0,0.40113197667445,0,0.237511762453274,0,0.0548869934063269,0.0111011113451374,0.00306163922727387,0.0326459223607675,0,0,0.0153540396549608,0.185510389188814,0,0.0221115320149514,0.0930253108689334,0.0631889957687987,0,0.0126586163955335,0.0114715622321675,0.016037433595273,0.179055218042755,"Slc40a1","Ferroptosis"
0.0312826694771021,0.0540202100796479,0.188240523753207,0.289935014697109,0.0577480063576697,0.741146918483637,0.0718234951290044,0.182867118091621,0.0302552927212748,0.202719573656058,0.0654620687050861,0.166789408655904,0.270805875606181,0.661661878629606,0.103554221717225,0.0499349805781224,0.147878289549563,0.283621815641839,0.534984366451434,0.140372236604028,0.0936984914196954,0.445830387734421,0.495421969487034,0.345560454831119,0.0493691915568273,0.48167015373099,0.375888423967433,0.0940769968432784,0.283908827217612,0.156407338081227,0.324686499931061,0.449624216433327,"Cflar","Apoptosis"
0.00122077137409733,0,0.0143662454679708,0.0850078972833929,0,0.431449108768483,0,0.0459872654439137,0.00196370334800501,0.0068741733496592,0,0.109697026889988,0.100408991113121,0.315957813249047,0.0212754954389199,0,0.0179734820982673,0.0835507661684539,0.37615263167535,0.0942854306149935,0.0132546614861331,0.176830769417452,0.403511709280697,0.214136742060871,0.00784178767080041,0.297365818606993,0.143258353674272,0,0.037603439281236,0.0233918274770207,0.0823406121970729,0.24982363434,"Casp8","Apoptosis"
0.174955467359159,0.319694318378955,1.61966610672066,0.145944761058054,0.227639781001546,0.0476105456716699,0.243038034151809,0.0477044205881733,0.172513713293445,1.8296718521249,0.415812690026127,0.210477982429553,0.169133290060492,0.059042921593487,0.254288139926421,0,0.252669570151194,0.864808291692798,0.0398790529337862,0.37775230539178,0.274111730262579,0.262706803490138,0.101290221463609,0.122102748573221,0.183688860843138,0.0868489384844722,0.240103176470271,0.323048063790405,2.08948328546552,0.603365861121913,0.0806050254716491,0.0709121474510962,"Acsl3","Ferroptosis"
0.00305273309766226,0.00909149593409858,0.0867332660284752,0.181351886306828,0,0,0.0108215794536853,0,0.00183626276532025,0.0674729702404066,0.00898053542026172,0,0.0934396660235312,0,0.0137498862550708,0,0.00571779425222798,0.0367405942734639,0.0479123111408643,0.0189374147802724,0.131628471822084,0.203903707535103,0.167118102449927,0.0128786607265039,0.0123034902464992,0.0521297396668146,0.401474581160508,0.0337454226618306,0.145720465468004,0.0334225350759535,0.0576347331154713,0.108451523536573,"Steap3","Ferroptosis"
0.088631701445629,0.0387380293138413,0.0434827973732662,0.227567366037222,0.199217977796828,0.207779166671061,0.0377521918956261,0.535692648430635,0.0816739583982184,0.0726724451486948,0.00681482021625819,0.522949853013826,0.0831934483579031,0.192935936730892,0.0342545447262426,0.17404523594309,0.0334096858966374,0.156597473277309,0.0588133331047834,0.0178053646779471,0.0532284039533245,0.044144997042121,0.133376029658546,0.100712186168871,0.0261999167459947,0.0232339197718554,0.0454090880824297,0.0120281348851764,0.0356491319591455,0.0101926889458743,0.0747215963606173,0.167840660359104,"Btg2","Apoptosis"
0.0322020192777786,0.0162902735845532,0.00470036697175113,0.0233035369052291,0,0.0492704879626184,0,0,0.0327750197778178,0,0.00728530919935466,0,0.0161840971950616,0.0188333214824526,0,0,0.0838234091544238,0.00711463277069359,0.101785641254952,0.142627203084078,0.00533470656531617,0.0447483376712673,0.0194007347876218,0,0.0452853654524441,0.0659954829152565,0.0477870635002508,0.01052767097368,0.0108177006043445,0.0131071935486727,0.0581841096169769,0.00871081304116809,"Rnasel","Apoptosis"
0.181683820621766,0.0780493192849128,0.120935751028368,0.0860585860599163,0.0645186207820762,0.120466305523096,0.0304938155205254,0.199708026388182,0.162529574792388,0.11218707360432,0.125669396168099,0.0555733367270941,0.0421132241668606,0.0498281392568402,0.0859905100055493,0.0564622757873876,0.182020800080801,0.30384200125486,0.0946744414574516,0.105823817875006,0.0632786177685625,0.0770860577153747,0.0872020281886202,0.154909948094483,0.13610858400973,0.0678927327890525,0.0713132849263773,0.127660471709974,0.129813191426245,0.0446709226551556,0.0161209258927967,0.0943853157984782,"Pea15a","Apoptosis"
0.0416994391548721,0.0623281202322834,0.0347823974126668,0.0537528182015796,0,0.0807382915108217,0.0163448592235468,0.0388802076581463,0.0363417567550886,0.0114076045113873,0.040513325681722,0.0524105678081569,0.0280987470768038,0.052280029280741,0.0199189233032303,0,0.0667432074947863,0.025597732613639,0.174840325438004,0.0811837705702236,0.041283995223693,0.0624363739486096,0.0766868694679761,0.0254690112200187,0.0543148773462108,0.0771926840975675,0.0412381437138353,0.0613421160865856,0.0427782728589591,0.0177298951573722,0.0224970882925125,0.0445031434109652,"Psen2","Apoptosis"
0.0186957538329913,0,0.167397032558546,0,0.121591835754314,0,0.0666266113664966,0.354607361315747,0.0232793262662778,0.106988522391628,0.00963408413631539,0.129003834462852,0.0109657204496118,0,0.0593212185988131,0.0517753787987615,0.0734203825636065,0.21476154741038,0.0201168856821623,0.162532700425487,0.0110707459990872,0.0973279714957131,0.0880560368812067,0.602952002341001,0.0437288349477295,0.0201172949541077,0.231902870021948,0.0286635034974831,0.287250417039899,0.265673846117869,0.290004642161661,0.0960387630997644,"Tgfb2","Apoptosis"
0.0118849752998352,0.016806118207898,0.00601535182662076,0.0405533039063464,0,0.0495083429849058,0.0276913113704053,0,0.0115504516510565,0.0397607578280045,0.0100516727011074,0,0.0391539329723251,0.0162968092010489,0.0419911185260319,0,0.0419043010442514,0.0526836966604913,0.0641179901001061,0.128117190389008,0.0608903467084614,0.0776511091388334,0.0682396986838766,0.0913035736135875,0.0232190595408781,0.0855745653665431,0.0691155833518289,0.0513576022870285,0.0422970224433029,0.060193578260898,0.0317171637563122,0.0601827164794263,"Traf2","Necroptosis"
0.900453597184215,0.194924642690355,0.397123337107341,0.432219413338882,0.24689295887877,0.0546154566372575,0.572932048547391,0.912015242804693,0.865284468145588,0.386532254447187,0.219447330874189,0.953734305541259,0.65844957616747,0.0968918819056484,0.486820644677769,0.277014039668382,1.62952972366542,0.686316725111612,0.469194107222424,1.01590122512413,0.443348673520417,1.19560965158796,1.41191804167564,0.75743679049114,1.32650702037263,0.350984302894843,0.78459790104431,0.301777505800557,0.771835559773005,0.958328988556595,0.458764836595668,1.12157244829694,"Sptan1","Apoptosis"
0.016325884810143,0.297665096628237,0.0712007141665068,0.225305409140635,0,0,0.104615509497051,0,0.0180820450761941,0.0481932858259821,0.435377078652987,0,0.201629932023561,0.0183656523146899,0.104590792346756,0.0498713190383203,0.040733476336206,0.130407255836254,0.194030699977884,0.16395482386182,0.696376028083146,0.251334770337216,0.0221343691110354,0.120598510703238,0.0391873623275131,0.100890107959174,0.175232421786802,0.582981695656669,0.158601993553135,0.144106074360629,0.115282899126463,0.0499578310514798,"Gsn","Apoptosis"
0.0310843650551665,0,0.00372684259751647,0.263840602434353,0,0,0.0473681775345161,0.0248016068749172,0.0276933065369739,0,0.0138420929584631,0.0555733367270941,0.375826648840068,0.0172180196329631,0,0,0.0208939695968387,0.0130661653477363,0.0627467369435675,0,0.018211188427395,0.228601841399285,0.0130772944185675,0,0.0471559648970514,0.0424098075124284,0.104466359839551,0,0.0150569172977774,0,0,0.0283798825997422,"Dpp4","Ferroptosis"
0.499772348609199,0.0741550093872977,0.139859870784782,0.0250740934898272,0.0551051992576588,0.281022073984852,0.248115823123596,0.0248016068749172,0.499523445300637,0.0777598842907137,0.0319546716683598,0,0.0701099699318082,0.2266532159574,0.170623374307535,0.113711199880252,0.916945459706951,0.125249459195066,0.477016776788173,0.347762775875772,0.1266269639045,0.20460632382029,0.175811975405703,0.127020229846275,0.701656496170864,0.321667588801377,0.0865812393431251,0.127371498402612,0.0884898540566259,0.206614501643078,0.193323926235276,0.149597925931673,"Madd","Apoptosis"
0.000750893723415369,0,0,0,0,0,0,0,0.00130360640831539,0,0,0,0,0,0.00944489785335212,0,0.000529803917545383,0,0,0,0,0.00665353229937805,0,0,0.000853696137137682,0,0,0,0,0,0,0,"F2","Apoptosis"
0.00758109770812084,0,0.0548296930310244,0,0,0.0189404239243142,0,0,0.00548082877202559,0.0176229367287773,0,0,0.0114051940931218,0,0,0.0466823392404912,0.0727522078200316,0.571993513363653,0.681348690134544,0.185140133473092,0.186078727526539,0.304876615067223,0.0594461037254845,0.610271767619321,0.0216544845840864,0.408693024304502,0.0661131362247657,0.0453195792506674,0.471638375383336,0.238033492692119,0.22800303685944,0.0457791521131862,"Cd44","Apoptosis"
0.000549845556306678,0.00515203213394864,0,0.0448186649165873,0,0.0526518745840278,0,0,0.0018920187265788,0,0.0122141820246595,0.0263808714799839,0.0168727750875495,0.0896870512771538,0,0,0.00333489237897305,0.00436586602278274,0.0163453986442145,0,0,0.0483190408478351,0.0165073078178443,0.00700619225914815,0.00476603389562354,0.0298482911517038,0.0453195460568501,0.0555689900153923,0.00968619121011867,0.0179198772038254,0.0400414815720481,0.0628624157774991,"Bmf","Apoptosis"
0.0052188472840374,0,0,0,0,0.0528384538460224,0,0,0.00642619791889899,0,0.0066821798233153,0,0,0.102442162963703,0,0,0.0166504236300079,0.0106473561239389,0.215389724633191,0.0251694243043334,0.0202376215045555,0.0104841643092401,0,0,0.00633564292779897,0.112496120553306,0.0052875809730137,0.00837340653947524,0.00364597349439742,0,0,0,"Plcb2","Apoptosis"
0.0191037142201357,0.0493442216418922,0.00441772618921312,0.0935615052719748,0.122571005435857,0.0147663673068848,0,0,0.0154422867399009,0.00529646229217437,0.00662325923846104,0,0.099072578579608,0.106879152945723,0.00825492902944238,0.0522076044514795,0.0311693699152002,0.0392983162180549,0.288214429103861,0.0660323097414584,0.054619606203415,0.183650267038968,0.254291156377439,0.0790320936071286,0.0301861647798021,0.339235314307224,0.243631301396658,0.0634878499321165,0.0584854755006172,0.0356785972333716,0.100128931710927,0.168173951671359,"Bcl2l11","Apoptosis"
0.152949250894189,0,0.203723692829858,0.027326692768455,0,0.0191037609484572,0.0764436706616021,0.0932370510882903,0.152766738834322,0.31560577359933,0.0357290722093255,0.0541826344317738,0.035874491159991,0.050880321937359,0.0490201487166519,0.0583656873939346,0.686626096978933,0.456266318726512,0.142570782565161,0.169869276807401,0.167866401679141,0.594999115557382,0.269598406455369,0.306868243149471,0.330501627379824,0.08812707749817,0.183771260487667,0.022187725881364,0.464590035839704,0.0630601576241426,0.035057827159414,0.0744602994249203,"Slc20a1","Apoptosis"
0.000230548845095502,0,0.0063252758137714,0,0,0,0.0106838128788716,0,0.000540519305593206,0,0,0,0,0.0711629387786886,0,0,0.00173285973237188,0,0.0124163750379727,0.0100070694162478,0,0,0,0,0.000413686742659322,0.0189765926590012,0.00316688212782839,0,0,0,0,0,"Il1a","Apoptosis"
0.081185873636356,0.00997894694082578,0.0618976096555727,0.119553018271836,0,0,0.0241972470441904,0.0284936603434586,0.0803338555046102,0.035698717618595,0.0153520086976825,0,0.0831934352484535,0.0137612149289132,0,0,0.0918280997543471,0.0266442997433668,0.0625214743061459,0.0373707063257716,0,0.149255725303797,0.0530974300250862,0.0202663702531214,0.113604076574227,0.0452314868863702,0.097833320841299,0.00970120919283555,0.0278396309007124,0.0203909222494777,0,0.018847555864681,"Cdc25b","Apoptosis"
0.187914466964052,0.420792815757095,0.349007912067993,0.0352828903981025,0,0.0196109871454874,0.140137567492216,0.215699330706449,0.196476821960077,0.43124246083953,0.307319313394187,0.0946714951795735,0.115449681502629,0.0177064409602484,0.193072863529467,0.119281653836759,0.19454124735959,1.02825487295538,0.0542316007424873,0.161126682082429,0.25878207331645,0.133868808752988,0.221727825254924,0.0280717696102331,0.173412156610658,0.0463140012105573,0.105854359903468,0.171075928614744,0.420169086366189,0.225890915999304,0.0483903553483049,0.156818815235659,"Prnp","Ferroptosis"
