"seurat_clusters","cell_type"
"0","Endothelial"
"11","Macrophage"
"16","Astrocyte"
"3","Microglia"
"10","Oligodendrocyte"
"2","Microglia"
"9","Macrophage"
"5","Endothelial"
"7","Astrocyte"
"8","Pericyte"
"14","Microglia"
"23","Microglia"
"4","Endothelial"
"6","Endothelial"
"19","NK_cell"
"12","Microglia"
"13","Pericyte"
"24","Microglia"
"15","Macrophage"
"17","Fibroblast"
"18","Microglia"
"21","Microglia"
"22","Microglia"
"20","Endothelial"
"1","Endothelial"
