gene,Astrocyte__Sham,Astrocyte__Stroke,Endothelial__Sham,Endothelial__Stroke,Macrophage__Sham,Macrophage__Stroke,Microglia__Sham,Microglia__Stroke,NK_cell__Sham,NK_cell__Stroke,OPC__Sham,OPC__Stroke,Oligodendrocyte__Sham,Oligodendrocyte__Stroke,Pericyte__Sham,Pericyte__Stroke
Myd88,0.032792635,0.10123979,0.06707643,0.11433415,0.17855005,0.30391526,0.17625009,0.26540524,0.24786289,0.26984733,0.03567354,0.06834338,0.034018483,0.053703547,0.14492986,0.20052148
Tnfrsf1a,0.18763785,0.4574927,0.21025978,0.41083038,0.4278911,0.45243528,0.46266145,0.44933817,0.3350185,0.36114848,0.16275162,0.21866454,0.056668557,0.13197492,0.27854568,0.48087046
Fn1,0.23160608,0.41080207,1.3070363,1.4450169,0.3079484,0.67229754,0.2028167,0.34977123,0.20676705,0.3242963,0.23835342,0.28678393,0.19322433,0.2786811,0.28801093,0.37865308
Cxcl9,0.0019803545,0.00075370853,0.00060255296,0.0013885399,0.015943563,0.005021435,0.00047952894,0.0028962812,0.0,0.0014846673,0.0011720628,0.00063917035,0.0,0.00096079917,0.0,0.0015054854
Tlr4,0.015629854,0.022939254,0.006435963,0.022770088,0.19062805,0.0977557,0.113155514,0.09881421,0.046408452,0.1220297,0.012919986,0.009386554,0.0097308615,0.009787295,0.01924181,0.02598868
Cd109,0.043118354,0.053684082,0.0010306417,0.00071832904,0.0,0.0012647528,0.0004164808,0.0027757415,0.0,0.0,0.002508906,0.0052400376,0.0016624652,0.0016084723,0.004095372,0.0020184184
Stat6,0.045803107,0.061922193,0.11244782,0.12514026,0.19114931,0.2012275,0.1961871,0.20406914,0.1433902,0.20410511,0.061643243,0.06713346,0.02182731,0.039144285,0.17439792,0.20091414
Nfkbia,0.851139,1.3375347,2.3464859,2.3607342,1.5756012,2.1111794,1.5345526,2.5041623,1.4273645,2.5187125,0.55873907,0.86384606,0.72322565,1.4232647,0.85966146,1.3247942
Msr1,0.006622341,0.16021232,0.003170979,0.085460775,0.42289647,1.1979374,0.0130723575,0.69157284,0.00972445,0.1404315,0.005035826,0.10268323,0.006107283,0.09395421,0.0050257016,0.09202281
Ftl1,2.4305148,3.0581312,3.0592792,3.4367952,4.1249733,4.952978,3.7048748,4.317565,3.331272,4.342921,2.6486845,3.073447,2.8086405,3.0622444,2.5403204,3.057291
Mgl2,0.01418109,0.015186382,0.010540772,0.00958255,0.67240983,0.1587997,0.012297798,0.009493962,0.004929198,0.016696919,0.011169307,0.0056627197,0.009361126,0.014596383,0.014805712,0.010709392
Il6,0.0023910298,0.009651105,0.0010837356,0.007254334,0.0033706247,0.04010676,0.06375972,0.03681367,0.007701093,0.012450892,0.0029361448,0.009143872,0.0019867707,0.0061439783,0.005164795,0.13240544
Ccl24,0.01593414,0.02785149,0.0095971655,0.014087895,0.62497056,0.26982582,0.06646796,0.030574147,0.004797134,0.028529448,0.011408377,0.020579899,0.021849291,0.013826145,0.014411584,0.014098307
