"Endothelial-D1","Oligodendrocyte-D1","Astrocyte-D1","Neuron-D1","Pericyte-D1","Microglia-D1","Fibroblast-D1","OPC-D1","SMC-D1","Macrophage-D1","Endothelial-D3","Oligodendrocyte-D3","Fibroblast-D3","Astrocyte-D3","SMC-D3","Pericyte-D3","Microglia-D3","Macrophage-D3","Neuron-D3","OPC-D3","Endothelial-D7","Microglia-D7","SMC-D7","Pericyte-D7","Oligodendrocyte-D7","Astrocyte-D7","Neuron-D7","Fibroblast-D7","Macrophage-D7","OPC-D7","Pericyte-Sham","Endothelial-Sham","Microglia-Sham","Oligodendrocyte-Sham","Neuron-Sham","SMC-Sham","Macrophage-Sham","Astrocyte-Sham","Fibroblast-Sham","OPC-Sham","gene","pathway"
0.717162073141313,0.0653930607060249,0.145871728755888,0.08010919550389,0.108934422843456,0.295749312011859,0.0663528472524886,0.108672232975839,0.0707390108509925,0.387544945662926,0.483040024562163,0.0677288083320956,0.0518163254693909,0.114182056750298,0.0389013655008858,0.0585743207816413,0.271310452739316,0.353768436985088,0.0531795562752679,0.087933430134837,0.732465526684845,0.391676024295547,0.0871385946914372,0.111920494154824,0.0802847713028684,0.12945758640008,0.0845919751999733,0.0833840285007006,0.442120724935264,0.122127718510017,0.105260707532721,0.75307577543708,0.276978598119928,0.0576715917429581,0.0622575649449808,0.0568233835083886,0.489775486857196,0.0978936999568842,0.0247755168344857,0.0488703623110121,"Slc40a1","Ferroptosis"
0.337252324677743,0.0944950076245503,0.216379770855504,0.0867552932863637,0.19632289732737,0.490073298582314,0.290000273960947,0.137088165907604,0.155098690190783,0.322570767052448,0.350903055834189,0.146600023852849,0.285979652442307,0.245333915305902,0.23890190378313,0.175060095712318,0.435226173946425,0.362785459549484,0.0804036710095827,0.125676353808631,0.332909994067484,0.463396532066341,0.248615220985331,0.204936131506496,0.11220581056914,0.253425351713201,0.100937395192995,0.264586821406418,0.329711632653099,0.167373166969501,0.22658794893129,0.356846067143338,0.421920091256769,0.0846846659240495,0.09019736805643,0.217272949235755,0.34560336623181,0.272252692154687,0.190275372833574,0.17279923020458,"Cflar","Apoptosis/Necroptosis"
0.222938565302237,0.0199606055533981,0.0316338514013469,0.022547429365521,0.0612971626629098,0.281914519662139,0.099534093286567,0.0241708236907983,0.0495592584053796,0.249930860539351,0.259075920865588,0.0716340690606509,0.123570410054404,0.0659159045912883,0.0818053715361624,0.0625914502676095,0.307814381649101,0.271274172445331,0.03490975797685,0.0308202090601047,0.233992289505108,0.254365620887118,0.0511142164735442,0.06061271449762,0.0395042975101923,0.0427598350633317,0.0316963217452164,0.126105457815593,0.251646375769038,0.0377551258067373,0.0617084199525222,0.251384661894346,0.311801613020924,0.0295955590409629,0.0198963354378099,0.0496429485612001,0.344205266601951,0.043205550596052,0.0998522268458632,0.012539546777736,"Casp8","Apoptosis/Necroptosis"
0.181054691656917,0.701160219825965,1.08259343107372,0.451676201345749,0.117710076461025,0.107461126604925,0.304474584597924,0.504576952105241,0.0993080230408086,0.0797296499238349,0.183579219086951,0.505976246088641,0.325029657272845,0.925701931271978,0.106292049115908,0.140980516747696,0.0400274434965697,0.114239173545122,0.336423072180333,0.767602679104858,0.350861417663385,0.159926057494788,0.186468752116872,0.194152341647199,0.864835683474132,1.25163088689429,0.436503901105869,0.501269511107817,0.129945314147939,0.888794859647227,0.174713458768566,0.281289084466415,0.100956446452022,0.742810389571445,0.460497716323968,0.149650379886567,0.10682309136595,1.21508810877749,0.450820384982884,0.637172207715029,"Acsl3","Ferroptosis"
0.0862549301543084,0.0347685750902211,0.0716097802173222,0.0145363718728284,0.0301165198238359,0.0416875981443766,0.298084838859871,0.0380916058958967,0.0243731634758579,0.0300782939024372,0.128206093774419,0.0414756732427453,0.458769825078139,0.134833114842993,0.0197587558784826,0.0769843070336863,0.0261337352969059,0.033373521543346,0.0155535281708837,0.0314890625747987,0.0506667686715115,0.0345746636163125,0.0117388250132368,0.0714266426671029,0.00888286713921697,0.105019229141062,0.0121126073425848,0.279350559260526,0.0901602956084002,0.0112382571175687,0.0626643484591804,0.0897227544637448,0.0421588486715841,0.00607149379388487,0.0168278881055811,0.00725989441891166,0,0.0697233714678646,0.313776773851576,0.0286267082808409,"Steap3","Ferroptosis"
0.962279516396297,0.33114005624435,0.487203722975281,0.307501293426663,0.528369027885418,0.931768357621445,0.989654785589622,0.244221494134195,2.02192791183563,1.13799761103833,0.661460245199715,0.510137830231083,0.534603723275107,0.698884198817327,1.59788532360009,0.421771317689583,1.13887959455751,1.4222969348798,0.406940242421578,0.256901013182979,1.41413777654148,1.8073898451072,2.55712973668188,1.07170508113488,0.56969642038347,0.750687409346513,0.699768570248272,1.27089594868028,2.42558688508932,0.463896003461823,0.774859488907039,1.12934563624571,1.56860784438868,0.296924646870855,0.500297594489102,2.06669572115352,2.10592090592388,0.601638834283582,0.890498493479868,0.393641707517869,"Btg2","Apoptosis"
0.00337683323500724,0.00240331934634667,0.00391035020967567,0.0982841240735601,0.00986473265462333,0.119214914436239,0.0418240145216402,0.0105101695679891,0.00561009763494344,0.233190971701198,0.000729637914633474,0.00444742741622904,0.0261903438974101,0.0188127072861439,0.00843955124261239,0.0124440799037358,0.0336138289248176,0.277089363393247,0.213357386325932,0,0.0019213288772791,0.0591546242603499,0.00761133492698184,0.0222162309579762,0.00726074400685131,0.00264467639082899,0.197055152162366,0.0383169806076182,0.28376755381067,0.00649207838453001,0.0147198107662398,0.00272665216759124,0.101475255429923,0.0013802214286757,0.129798210171846,0.0115978450317503,0.416062205462558,0,0.0163713139217226,0.00347219069199811,"Rnasel","Apoptosis"
0.000144593607042332,0.00264802228528374,0,0.000223317447890919,0,0,0,0,0,0,0,0.0325485529656021,0.00350492577323962,0,0,0,0,0,0,0,0.000235283133719318,0,0,0,0.0367728923856011,0,0,0.00857381543189201,0,0,0,0.000155869909089586,0.00848467680370229,0.0173803768407562,0,0,0,0,0,0,"Fasl","Apoptosis/Necroptosis"
0.392040724188561,0.818503611646607,0.584995401393482,0.562622334665059,0.415215317790531,0.439288729521428,0.249800281214322,0.42769011783149,0.317137512563034,0.253736687915543,0.398366334024771,0.737882921136387,0.213300300413566,0.563186543003723,0.275168810525829,0.379879953092445,0.344592305396158,0.166042099412729,0.470900569137852,0.428244854312484,0.410874810917383,0.343743079232591,0.307838426061953,0.344282401552588,0.968081046006718,0.428817715030963,0.556268765089269,0.332026482212633,0.356112233525465,0.484708992620272,0.401623699345736,0.478289586557741,0.301937081255734,1.03110493577116,0.408828970665024,0.272578594438192,0.288078110719389,0.435804563576292,0.319909695380706,0.485723957321957,"Pea15a","Apoptosis"
0.10986174559332,0.134703667046596,0.1144267951987,0.109113868808149,0.0537017625024086,0.134597765060474,0.089275340824674,0.112835457986422,0.0534970594149065,0.220854336071819,0.145619992171051,0.216836893437734,0.138618613514187,0.115840536224862,0.0815186949150748,0.0661475211512221,0.137812063634202,0.150532266592669,0.0156424599600101,0.112085120532519,0.107772834036171,0.0935309557113843,0.0680802759400183,0.0391589599389437,0.160465339240454,0.0834241523291125,0.0679563955365717,0.134180039483527,0.205960952274777,0.0852294957338148,0.0341117606033361,0.138678062907442,0.131808149304402,0.230357664218251,0.0929934713000145,0.0661873748846765,0.103106080536464,0.148250769054503,0.133995584924104,0.170397774870248,"Psen2","Apoptosis"
