"Neuron-D14","Oligodendrocyte-D14","Pericyte-D14","Fibroblast-D14","Endothelial-D14","Microglia-D14","Astrocyte-D14","OPC-D14","Astrocyte-D28","Oligodendrocyte-D28","Neuron-D28","Microglia-D28","Fibroblast-D28","Pericyte-D28","Endothelial-D28","OPC-D28","Oligodendrocyte-D3","Astrocyte-D3","Neuron-D3","Endothelial-D3","Microglia-D3","OPC-D3","Fibroblast-D3","Pericyte-D3","Astrocyte-D7","Microglia-D7","Neuron-D7","Oligodendrocyte-D7","Pericyte-D7","Endothelial-D7","OPC-D7","Fibroblast-D7","Neuron-Sham","Astrocyte-Sham","OPC-Sham","Oligodendrocyte-Sham","Microglia-Sham","Fibroblast-Sham","Pericyte-Sham","Endothelial-Sham","gene","pathway"
0.0325510429317885,0.0134499370121682,0.125483687683967,0.205815284392239,2.00970266008117,0.601617687968018,0.0384734164940721,0.0138642465570361,0.0198746221528213,0.033933516065724,0.0296656422482361,0.833240019547085,0.0559021831587969,0.0797345881362693,2.17002361173037,0,0.0278774627886186,0.0595220223916274,0.0529760103503385,1.75171966404849,0.539739720839297,0.0398403510313252,0.0859894903904195,0.06592690678976,0.0565007632261793,0.684321902550554,0.041753505223855,0.0129659670354803,0,2.33016974828977,0,0.0288076394237508,0.0370111980466863,0.0251752998095703,0.0152570791609883,0.0176550681308902,1.3168316363633,0,0.0881666752275935,2.65683528777729,"Slc40a1","Ferroptosis"
0.153121448163794,0.263126422165647,1.08594033033054,1.51765303462232,1.17473555416704,3.13574009543056,0.741329570944623,0.25757242579833,0.857950054987308,0.326819681600837,0.117525086530372,3.2671212897515,1.46131216671337,0.548509240186075,0.648102210703575,0.315432928101228,0.310545481909103,0.866863386111668,0.247403348167619,1.92187204727866,3.363409412196,0.37741302004581,1.29989813817532,0.946163275979009,0.761463993990575,3.38616634288022,0.17288849425875,0.333081239829151,0.494797080121254,1.49243693917688,0.358380738841027,1.59413487526736,0.0953739990057354,0.64773484380345,0.223585710170195,0.226986178437972,3.01329853708077,1.20931015421484,0.456852028590887,0.745279522018871,"Cflar","Apoptosis/Necroptosis"
0.0497656774781796,0.0384816096873029,0.583321011263255,0.429768033261996,0.866227812889631,1.78950272010108,0.0520990368322131,0.0892089326418981,0.0558448000466078,0.0442926977128763,0.0281701500801524,1.88458528512768,0.359757942612734,0.3442789373379,0.618006546115514,0.0613049747694766,0.0445387121421375,0.158579349970295,0.0799358569995627,0.869788429224546,1.90295595348128,0.0606376771310999,0.706188033060739,0.27375867222899,0.0461364844656395,1.80014370241606,0.0461784228108975,0.0328231320029803,0.431995017012426,0.710076495366122,0.100241784134779,0.405356942641325,0.0174894762379652,0.0596681119103735,0.0929390311799188,0.0301214641983243,2.23130116780819,0.0894097217642193,0.187286003088569,0.395285752655163,"Casp8","Apoptosis/Necroptosis"
0.808859919023321,1.79467844683212,0.967609273920112,1.18416910735536,1.53109660959826,0.749931526838359,8.51647087115974,1.50893230075525,8.15433419977182,1.66159789894437,0.832253760648828,0.798342228941463,1.30532347835454,1.44413917757052,1.6212630724221,1.35698113438155,1.41196451758767,5.67166492269505,0.766569208890664,1.01582858870898,0.562484717254532,1.37993123131649,0.791473656168355,1.38367499188744,7.73765743374716,0.725498738406287,0.798381338229903,1.50346774389623,0.881269211546363,1.09788446800754,1.49548042143792,0.965633197012097,0.893414798659379,7.22007867055299,1.25747997648748,2.11712106706469,0.824179012426631,1.15728569186201,1.64758417046194,1.50226282210071,"Acsl3","Ferroptosis"
0.0188177068294051,0.0989644153182221,0.136866923490139,1.44775805537252,0.244739857107644,0.10848018520189,0.498760497088068,0.0915951252594114,0.424405935696301,0.071767573743333,0.0211346994991644,0.0597750301762963,1.11330762555668,0,0.138773787572601,0.218530418954305,0.360695679306379,0.472725652146869,0.0369336893565018,0.585868254983723,0.12144882369577,0.0642547779322899,1.09813848496182,0.0544718883456205,0.478063213332337,0.0556490707620077,0.0251316599317316,0.147320136506097,0.131464725055516,0.407939826047232,0.103547763999566,1.1900588877197,0.0120391474939949,0.441834149561321,0.0832757725089715,0.00733710309246074,0.0152022308327222,1.18083940612225,0.0799973258968642,0.164456132070375,"Steap3","Ferroptosis"
0.288757188778278,0.113596547487623,1.44995245889813,0.311374090046992,1.5750143767612,0.574857499400394,0.288987616102159,0.0626046945207717,0.442680411831784,0.150224274692018,0.41391444266629,0.843613972755608,0.743132186670459,1.04256088661002,1.67045343662118,0.241913239454513,0.0621054514796407,0.198782783551903,0.183455739023439,0.809191609161421,0.202786310936433,0.0396748599245923,0.246520429678158,0.358943180774123,0.266263283255994,0.472737717859687,0.291730148210291,0.0670228618566922,0.770221315871581,1.18732026400257,0.135484404660142,0.351589973285411,0.278562974266835,0.28958716434118,0.216500767771957,0.125064012231555,0.757672410787935,0.750927541855668,0.679278186170096,1.38061466807967,"Btg2","Apoptosis"
0.118825839902603,0.0193789133025249,0,0.162356593745414,0,0.204819221232007,0.0691754432080963,0.0622825444283538,0.00847097049586357,0.00829320093520031,0.122843714089924,0.137555790810855,0.154969995848539,0.0514384803693644,0.0840460058082813,0,0.0240311712790254,0.023260482891263,0.152752467307573,0.0642299438234697,0.48290384758024,0.0619042556676097,0.0431292576675005,0,0.0246607023361052,0.319806144072587,0.126595725028262,0.0461689634286006,0.169145592192111,0.0354100614341504,0.0211693275948159,0.153882515795913,0.104282009981419,0.0394046528538925,0,0.0177896874361951,0.368999539967271,0.16195455756157,0,0.091631806533939,"Rnasel","Apoptosis"
0.0147776549350423,0,0,0,0,0,0,0,0,0,0.00448386698191631,0,0,0,0,0,0,0,0.00565109360845138,0,0,0,0,0,0,0,0.00220652516617006,0.00618946809167896,0,0,0,0,0.00657173865700137,0,0,0,0,0,0,0,"Fasl","Apoptosis/Necroptosis"
0.581757562205799,0.835797350770723,1.51982182305958,0.595905845643475,1.09321474706888,0.975327632688634,1.19409426652277,0.567903749384178,1.05540180669173,0.81793713113088,0.656462740310455,0.613119637418503,0.552081086940664,0.763557323939017,0.985428724077385,0.414910248392117,0.881116329890928,2.37471556164925,0.695782660267985,1.09137852121252,0.775000500884735,0.622434310790508,0.743217339339183,0.619174526361844,1.35548745354808,0.943723675145521,0.774856848648709,0.951975265235983,0.988811596218173,1.18833822106988,0.712257004035806,0.693254740160504,0.598985058744196,0.914360852698536,0.56050586115543,0.620304885453832,0.679343195045462,0.420330361617304,1.02180251155203,1.11792574404578,"Pea15a","Apoptosis"
0.173319256860874,0.274044023762127,0.12787576909377,0.183360509534068,0.136249060206828,0.26900645134852,0.151106224788188,0.192174254017573,0.183092284260074,0.185885748335675,0.147489920469934,0.309002569971008,0.284620602296606,0.048564907952427,0.331126329544845,0.1816258838513,0.249173958369638,0.193558253168214,0.18384870698793,0.32836035250812,0.366000485731739,0.124082224101721,0.172728410061582,0.048148867829813,0.177817756075739,0.31726996861385,0.170574789891207,0.286558020829768,0.314870176790207,0.256780823656266,0.134702560803768,0.180165986970834,0.152283159859614,0.193473699471809,0.137285107792459,0.23531347684406,0.108868763459959,0.395073409020418,0.110746043768949,0.0978159313206573,"Psen2","Apoptosis"
