"cluster","cell_type"
"g0","Endothelial"
"g1","Endothelial"
"g2","Oligodendrocyte"
"g3","Pericyte"
"g4","Endothelial"
"g5","Endothelial"
"g6","Pericyte"
"g7","Endothelial"
"g8","Microglia"
"g9","Neuron"
"g10","Astrocyte"
"g11","Endothelial"
"g12","Astrocyte"
"g13","Fibroblast"
"g14","OPC"
"g15","Oligodendrocyte"
"g16","Macrophage"
"g17","Neuron"
"g18","Oligodendrocyte"
"g19","Fibroblast"
"g20","Endothelial"
"g21","T_cell"
"g22","Oligodendrocyte"
"g23","Endothelial"
"g24","Endothelial"
