"Oligodendrocyte--Sham","Microglia--Sham","Neuron--Sham","Pericyte--Sham","Endothelial--Sham","Astrocyte--Sham","OPC--Sham","Fibroblast--Sham","Neuron--MCAO","Astrocyte--MCAO","Microglia--MCAO","Oligodendrocyte--MCAO","OPC--MCAO","Fibroblast--MCAO","Endothelial--MCAO","Pericyte--MCAO","gene","pathway"
0.013669133541776,0.326775179259118,0.0117903601774856,0.110422426074719,0.331808332585431,0.0133664580686527,0.0132855220226125,0.0322843119576189,0.0160739948187745,0.0198036309908915,0.129643724283881,0.0173763058877855,0.0165446278172715,0.0268987176402143,0.0700667121458401,0.0774013738665316,"Slc40a1","Ferroptosis"
0.0949670438347848,0.814093597077609,0.0661931336287548,0.281573113469373,0.340427184716,0.182118812495249,0.081306021577326,0.387474973577844,0.0987190447632044,0.436022313344547,0.794177024906308,0.193380355197742,0.216021465467566,0.495315482808901,0.267787805255863,0.469516678058952,"Cflar","Apoptosis"
0.0197131634079458,0.443545156689626,0.00945938667822768,0.0222963235651364,0.101401587521942,0.0171152265556203,0.0312868085857284,0.0822672374355409,0.02842972093558,0.0716085931432937,0.525692907945155,0.0460077896134225,0.0600291648026629,0.205029675529502,0.131781935649595,0.30933486819993,"Casp8","Apoptosis"
0.436558824367924,0.244706251029074,0.304688483665266,0.337768368832667,0.319908970204813,1.7505131581126,0.457845442727589,0.398278020836188,0.291563153772205,1.52212496148041,0.165760436243926,0.456320467792728,0.525598495582412,0.289582912969471,0.206078490885717,0.254652086282755,"Acsl3","Ferroptosis"
0.00317843574871821,0,0.00505529503811842,0.0632251117298545,0,0.0488982622772328,0.0339829301796824,0.142722469419806,0.0127745547123577,0.0583642946310879,0.0515576623710963,0.0832154943466979,0.0497195881541408,0.146814769572776,0.0310554329376256,0.050160241383871,"Steap3","Ferroptosis"
0.0351040380614921,0.210543175852754,0.050710242520755,0.279708559884641,0.256514956015734,0.0631164228029384,0.0222711757430281,0.0868221792754762,0.0568789296438704,0.196239704235381,0.0886522945277165,0.153373583558409,0.0501914689409547,0.109203327963275,0.135828803880801,0.23885547902515,"Btg2","Apoptosis"
0.0174410005589112,0.0554494316691853,0.0398830235070682,0.0110232960853166,0.00706999714487173,0.00696494054332683,0.00905356426016662,0.0216695321329249,0.0731384587215256,0.0287176649003442,0.209421673682388,0.0292621228977721,0.0567981036615801,0.062689315065292,0.0174821287064949,0.0397556707637594,"Rnasel","Apoptosis"
0.00148216365591832,0,0.00279198644542194,0,0,0,0,0.00320087236211372,0.00253337248873121,0.00119698276964537,0.00348355194338239,0.00234556367593713,0.00245695654051507,0,0.000406795511045237,0,"Fasl","Apoptosis"
0.236777048070088,0.198384635326412,0.212478329467449,0.251796416068794,0.250232118078491,0.222753652414699,0.224658530335016,0.185540094612657,0.2219612969783,0.363440249160936,0.184111045460726,0.236133972920596,0.255339074086358,0.24746325053174,0.220454559143739,0.300113462695519,"Pea15a","Apoptosis"
0.0357220452834435,0.0439520223819619,0.0510194375215256,0.0341055857959329,0.0930678082354219,0.0486502640025802,0.0200575104843395,0.0279450663241294,0.0751844598363245,0.0614203983316514,0.211246296605382,0.0695224585739228,0.0802517179520383,0.0957883379548623,0.056199206666162,0.105186638816292,"Psen2","Apoptosis"
