"dataset","assay_type","species","model","stroke_condition","control_condition","cell_type","n_cells_stroke","n_cells_ctrl","mean_apoptosis_stroke","mean_apoptosis_ctrl","delta_apoptosis","mean_necroptosis_stroke","mean_necroptosis_ctrl","delta_necroptosis","mean_ferroptosis_stroke","mean_ferroptosis_ctrl","delta_ferroptosis"
"GSE227651","scRNA","Mouse","MCAO","Stroke","Sham","Pericyte",2702,532,0.0683018729531203,0.0714692768209901,-0.00316740386786979,0.0640837799087921,0.0660100474757144,-0.0019262675669223,0.0947223113412541,0.0724323907512094,0.0222899205900447
"GSE227651","scRNA","Mouse","MCAO","Stroke","Sham","SMC",4004,968,0.119047366176408,0.096621333051265,0.022426033125143,0.116309125611187,0.121707353640073,-0.005398228028886,0.0905234573049816,0.078173436926203,0.0123500203787786
"GSE244576","snRNA","Mouse","MCAO","MCAO","Sham","Astrocyte",3567,1471,0.0301201250239124,0.0129677306129683,0.0171523944109441,0.0272003918302191,0.0471999794651788,-0.0199995876349597,0.0808405360281044,0.0658584277607311,0.0149821082673733
"GSE244576","snRNA","Mouse","MCAO","MCAO","Sham","Endothelial",6084,216,0.0523223492962722,0.0720494375849908,-0.0197270882887186,0.0996346710335132,0.0954576170983306,0.0041770539351826,0.0989999273840965,0.0534748387313045,0.045525088652792
"GSE244576","snRNA","Mouse","MCAO","MCAO","Sham","Fibroblast",1570,253,0.0386676004780455,0.0364048237548013,0.0022627767232442,0.0421802066103504,0.0753799853938688,-0.0331997787835184,0.0677811362762055,0.0564949571498896,0.0112861791263159
"GSE244576","snRNA","Mouse","MCAO","MCAO","Sham","Microglia",5340,373,0.0246511901264762,0.0249310799586116,-0.000279889832135401,0.0812555453152403,0.11436654153674,-0.0331109962214997,0.042178906285923,0.020869204684743,0.02130970160118
"GSE244576","snRNA","Mouse","MCAO","MCAO","Sham","Neuron",22508,7900,-0.0194833971176015,-0.016973608805354,-0.0025097883122475,-0.0104578148349822,-0.0232419339917409,0.0127841191567587,-0.0208959841912874,-0.0379722738519458,0.0170762896606584
"GSE244576","snRNA","Mouse","MCAO","MCAO","Sham","OPC",1659,451,-0.0105950884177372,-0.00699480647166273,-0.00360028194607447,-7.02387056900558e-05,0.0114441598010565,-0.0115143985067466,-0.0283586810244836,-0.0317426134565301,0.0033839324320465
"GSE244576","snRNA","Mouse","MCAO","MCAO","Sham","Oligodendrocyte",7937,2451,0.0211510871768586,0.0183983881634307,0.0027526990134279,0.0291192862614429,0.0428764669493218,-0.0137571806878789,0.0472181718984026,0.0166784266750977,0.0305397452233049
"GSE244576","snRNA","Mouse","MCAO","MCAO","Sham","Pericyte",1058,250,0.0463848182495587,0.0630699946524645,-0.0166851764029058,0.0530671434636764,0.0889704256633922,-0.0359032821997158,0.026588189122725,0.0611668156148253,-0.0345786264921003
"GSE250245","snRNA","Rat","MCAO","MCAO_ipsi","Sham","Astrocyte",1232,523,0.0102816722311087,-0.00391935596663698,0.0142010281977457,0.00648081045943081,0.00238147236317623,0.00409933809625458,0.0330293421487997,0.0327926124121278,0.000236729736671895
"GSE250245","snRNA","Rat","MCAO","MCAO_ipsi","Sham","Endothelial",504,183,0.0476273861967892,0.0567668852169265,-0.0091394990201373,0.0650469544187846,0.0485898524203569,0.0164571019984277,0.0237509382582866,0.0349051696242724,-0.0111542313659858
"GSE250245","snRNA","Rat","MCAO","MCAO_ipsi","Sham","Fibroblast",544,122,0.028711736520865,0.0112237694293418,0.0174879670915232,0.021951186508553,0.0140830275532463,0.0078681589553067,0.0303945732030494,0.0171661628838886,0.0132284103191608
"GSE250245","snRNA","Rat","MCAO","MCAO_ipsi","Sham","Microglia",2659,44,0.0211307761068922,0.00617567619616024,0.014955099910732,0.0599627445097587,0.0460431416721352,0.0139196028376235,0.0301395072632063,-0.00114928087785635,0.0312887881410627
"GSE250245","snRNA","Rat","MCAO","MCAO_ipsi","Sham","Neuron",13802,24255,-0.0295279924889782,-0.0191795975324591,-0.0103483949565191,-0.0218043866722307,-0.013961650412757,-0.0078427362594737,-0.00963554732686318,0.0043271394456778,-0.013962686772541
"GSE250245","snRNA","Rat","MCAO","MCAO_ipsi","Sham","Oligodendrocyte",3001,1642,0.00292168323781631,-0.00461847143870279,0.0075401546765191,0.0225690781952107,0.0146372777159498,0.0079318004792609,0.0103568040464218,0.00371666381540651,0.00664014023101529
"GSE276202","snRNA","Human","Stroke","Stroke_core","Control","Astrocyte",1733,84,0.00590504100584923,0.037438530642456,-0.0315334896366068,0.00234282719082347,0.0863348584514258,-0.0839920312606023,0.0517608416640084,0.137531172944207,-0.0857703312801986
"GSE276202","snRNA","Human","Stroke","Stroke_core","Control","Endothelial",502,11,0.0500523484806255,0.133054435592156,-0.0830020871115305,0.055221168633726,0.13192264270418,-0.076701474070454,-0.00945037345297309,0.111147643349899,-0.120598016802872
"GSE276202","snRNA","Human","Stroke","Stroke_core","Control","Fibroblast",4866,18,0.0263180793172639,0.0577301585929187,-0.0314120792756548,0.0341175916504773,0.107607698815251,-0.0734901071647737,0.0216804626892102,0.0536403247962104,-0.0319598621070002
"GSE276202","snRNA","Human","Stroke","Stroke_core","Control","Microglia",726,35,0.0239527093540438,0.0157127360152361,0.0082399733388077,0.06807755849796,0.0666687211798565,0.0014088373181035,0.014133593731461,0.0158809862895708,-0.0017473925581098
"GSE276202","snRNA","Human","Stroke","Stroke_core","Control","Neuron",1919,3844,-0.0541596290392088,-0.0132761016426865,-0.0408835273965223,-0.0725438250121657,-0.000801024107549897,-0.0717428009046158,-0.101928231272543,-0.0147177698750796,-0.0872104613974634
