"seurat_clusters","cell_type"
"7","Macrophage"
"3","Microglia"
"11","Macrophage"
"2","Microglia"
"15","Endothelial"
"4","Microglia"
"1","Endothelial"
"0","Endothelial"
"9","Microglia"
"5","Endothelial"
"13","Microglia"
"6","T_cell"
"14","Astrocyte"
"10","Endothelial"
"16","Microglia"
"12","B_cell"
"8","Pericyte"
