"seurat_clusters","cell_type"
"8","NK_cell"
"0","Macrophage"
"7","T_cell"
"5","Macrophage"
"6","B_cell"
"16","Microglia"
"19","NK_cell"
"21","Macrophage"
"15","Macrophage"
"10","T_cell"
"18","T_cell"
"11","Macrophage"
"9","Microglia"
"23","B_cell"
"20","B_cell"
"22","B_cell"
"24","B_cell"
"2","Microglia"
"13","Macrophage"
"26","Neuron"
"12","Microglia"
"14","Macrophage"
"1","Microglia"
"3","Microglia"
"4","Microglia"
"17","Oligodendrocyte"
"25","Microglia"
