"seurat_clusters","cell_type"
"5","Neuron"
"1","Neuron"
"7","Oligodendrocyte"
"9","Neuron"
"10","Macrophage"
"3","Astrocyte"
"2","Fibroblast"
"15","Astrocyte"
"4","Neuron"
"11","Neuron"
"12","Endothelial"
"0","Neuron"
"13","Neuron"
"14","OPC"
"8","Neuron"
"16","Astrocyte"
"19","Neuron"
"18","Neuron"
"20","Pericyte"
"6","Neuron"
"17","Neuron"
