"Endothelial--Stroke","Oligodendrocyte--Stroke","Astrocyte--Stroke","Neuron--Stroke","Pericyte--Stroke","Microglia--Stroke","Fibroblast--Stroke","OPC--Stroke","SMC--Stroke","Macrophage--Stroke","Pericyte--Sham","Endothelial--Sham","Microglia--Sham","Oligodendrocyte--Sham","Neuron--Sham","SMC--Sham","Macrophage--Sham","Astrocyte--Sham","Fibroblast--Sham","OPC--Sham","gene","pathway"
0.661840516594502,0.0711638436744791,0.136033055529471,0.0785145996611698,0.0940057873186731,0.311856826843668,0.0664810384761458,0.108899579527744,0.0718843365412367,0.391095005537403,0.105260707532721,0.75307577543708,0.276978598119928,0.0576715917429581,0.0622575649449808,0.0568233835083886,0.489775486857196,0.0978936999568842,0.0247755168344857,0.0488703623110121,"Slc40a1","Ferroptosis"
0.33904466325027,0.112413830465811,0.229164353627409,0.0876610809145129,0.192545000634455,0.469045857645048,0.283851798162722,0.141940316725792,0.22677519577014,0.336724349072871,0.22658794893129,0.356846067143338,0.421920091256769,0.0846846659240495,0.09019736805643,0.217272949235755,0.34560336623181,0.272252692154687,0.190275372833574,0.17279923020458,"Cflar","Apoptosis"
0.237050901374794,0.0384285460587816,0.041135991508151,0.0243740008138935,0.0614721228006722,0.282357296030499,0.110557757717126,0.0277956368327311,0.0583255364924684,0.256913973039896,0.0617084199525222,0.251384661894346,0.311801613020924,0.0295955590409629,0.0198963354378099,0.0496429485612001,0.344205266601951,0.043205550596052,0.0998522268458632,0.012539546777736,"Casp8","Apoptosis"
0.252262079349584,0.715087027723184,1.07696815302114,0.441495984692743,0.151336249287879,0.101756518112962,0.349635522724516,0.616326235667714,0.148651922354058,0.103111508957673,0.174713458768566,0.281289084466415,0.100956446452022,0.742810389571445,0.460497716323968,0.149650379886567,0.10682309136595,1.21508810877749,0.450820384982884,0.637172207715029,"Acsl3","Ferroptosis"
0.0825226028002562,0.0271506800297469,0.0913526364656144,0.0143764111065757,0.0591522784656507,0.0358313770071201,0.331468560983086,0.0317312603768982,0.0163362266066184,0.0464014008707151,0.0626643484591804,0.0897227544637448,0.0421588486715841,0.00607149379388487,0.0168278881055811,0.00725989441891166,0,0.0697233714678646,0.313776773851576,0.0286267082808409,"Steap3","Ferroptosis"
1.07074336981559,0.455316757631792,0.579404790692749,0.353318572995981,0.681207006230298,1.1942814313972,0.941956566936322,0.291165355548545,2.21028648539409,1.55334542599191,0.774859488907039,1.12934563624571,1.56860784438868,0.296924646870855,0.500297594489102,2.06669572115352,2.10592090592388,0.601638834283582,0.890498493479868,0.393641707517869,"Btg2","Apoptosis"
0.00207477860851268,0.0045730345407529,0.0069905509545024,0.116615791448672,0.0149239893795499,0.0820429292936011,0.0374818761905787,0.00838649909095056,0.00739832443097705,0.259544337379791,0.0147198107662398,0.00272665216759124,0.101475255429923,0.0013802214286757,0.129798210171846,0.0115978450317503,0.416062205462558,0,0.0163713139217226,0.00347219069199811,"Rnasel","Apoptosis"
0.000144175567688967,0.0213738898859337,0,0.000184652051807697,0,0,0.00257211658233947,0,0,0,0,0.000155869909089586,0.00848467680370229,0.0173803768407562,0,0,0,0,0,0,"Fasl","Apoptosis"
0.401531383417618,0.853139673209198,0.553285806392364,0.555079388850942,0.37965913035516,0.391289721392384,0.258223071221723,0.439538116673427,0.301752488745117,0.25293254712628,0.401623699345736,0.478289586557741,0.301937081255734,1.03110493577116,0.408828970665024,0.272578594438192,0.288078110719389,0.435804563576292,0.319909695380706,0.485723957321957,"Pea15a","Apoptosis"
0.118414399825715,0.162189481639577,0.109403151817102,0.0980396030483572,0.0526498930074008,0.125756300404067,0.109925947186907,0.107039898977271,0.0683455472904335,0.195491154313525,0.0341117606033361,0.138678062907442,0.131808149304402,0.230357664218251,0.0929934713000145,0.0661873748846765,0.103106080536464,0.148250769054503,0.133995584924104,0.170397774870248,"Psen2","Apoptosis"
0.596132557792368,0.0924876121617262,0.322902337863999,0.101715781603769,0.229337518223541,0.113131172837932,0.0876351777070497,0.198278294614223,0.498805174335912,0.0445881177063085,0.268433454966475,0.725214367589184,0.121972733127011,0.0685242224162488,0.0996806719293001,0.558243591969858,0.0691417040739985,0.359082906681242,0.0803717582908263,0.162473627575989,"Tgfb2","Apoptosis"
0.724782547013298,0.315823785437997,0.614357181008545,0.186322947106315,0.242316237128969,1.36079743360511,0.801866492282781,0.229832885555327,1.7540061992923,1.50219646809622,0.423675700273955,0.970271583551608,1.60909446062234,0.155002618796571,0.167869753597916,1.65316618204968,2.07223540234883,0.46700714552168,0.655441371470505,0.194817783455137,"Atf3","Apoptosis"
0.0597443206319208,0.047681142161793,0.0765473192336506,0.0537392091633597,0.0418403793119633,0.0562735630692695,0.0496109359690365,0.0390676076809931,0.0519729637111561,0.0453214098068418,0.0483072140748603,0.0940028364072061,0.0414661914843726,0.0563888850828891,0.0257711707571373,0.0610353454083893,0.0731230465145055,0.0668747386629506,0.0940142627675827,0.0330677344114701,"Traf2","Necroptosis"
0.985291271186143,0.308606593245787,0.860384286883936,0.84135119418131,0.404007673656611,0.304387986409661,0.650523762417947,0.519147683856302,0.597375428221057,0.234014351769433,0.483174209198538,1.13182632074688,0.357471009736592,0.310086735062373,0.808260821667861,0.469684935434213,0.230013372979582,0.852698208897469,0.774109642552658,0.561374445618129,"Sptan1","Apoptosis"
0.0895495930494692,2.04701871802265,1.01314997253717,0.223544154989183,0.200406146806045,0.201864653375319,1.59561620989803,0.627575306159855,1.65674327071264,0.660403857292591,0.237711104611269,0.110413596402807,0.136918594882436,2.24063765861854,0.20151081513616,1.50552889218403,0.517100201881755,0.680655681365052,1.93768126878968,0.672206836188166,"Gsn","Apoptosis"
0.045994830880165,0.0075308975163468,0.0086655695857601,0.0173224394020359,0.00616616796380927,0.0119521814908196,0.170169595099175,0,0.0047718815345438,0.0496460913707845,0.00521748879100636,0.0908252093628766,0.00766226966180801,0.00811265173266968,0.00904577875649655,0.00459330059979628,0.0756930581845723,0,0.264110002053589,0,"Dpp4","Ferroptosis"
0.0807193398469124,0.0397499183600377,0.0430299762414953,0.511402623177341,0.0750465773173177,0.0928428174170703,0.0736453005199179,0.169247197883189,0.0267847303735892,0.0856636380038658,0.0836366235937868,0.0992878974833836,0.180692285309395,0.0360090078791815,0.414968627373398,0.0241538028854432,0.243428654749873,0.0487856431164384,0.0498576033693836,0.106125694130883,"Madd","Apoptosis"
0.0010281041647243,0.000922073527572369,0.000581485851960523,0.0011086962204666,0,0.000256956641996887,0,0,0.000600994590024558,0.00119246920756212,0,0.00124585779372478,0,0.000433319201158319,0,0.000668316469241176,0,0,0,0,"F2","Apoptosis"
0.00167587690934818,0.0229498124383082,0.090710788825347,0.018383995501218,0.0217545715911516,0.0454652201765535,0.0722486642291145,0.0128723759511273,0.0141781269768869,0.605467224914018,0.0108703818204101,0.000794004377306499,0.0106690598326801,0.00713498642980146,0.00619241398593761,0.010851964768167,0.456747428105655,0.0468264696153357,0.066144390929718,0,"Cd44","Apoptosis"
0.0261823206812082,0.0189968135776412,0.0115271626585596,0.0125807328209719,0.0604086310573514,0.0880408369355647,0.0419875795583818,0.0186264075456857,0.0269302903840102,0.0595519627585405,0.0424941769164141,0.0144641277427913,0.0577504273210118,0.0177151992248232,0.0110551623155862,0.0174198988374369,0.0254416903991634,0.0019705158536324,0.0140378357474095,0.00937129913183834,"Bmf","Apoptosis"
